Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Pt
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Cell membrane
Physics,What is the formula for velocity?,v = d/t,a = vf - vi/t,p = m/v,F = m*a
Chemistry,What is the pH of a neutral solution?,7,1,14,0
Biology,Which of these is not an organ of the digestive system?,Lungs,Stomach,Liver,Small intestine
Physics,What is the unit for electric current?,Ampere,Volt,Ohm,Watt
Chemistry,What type of reaction is the burning of gasoline in an engine?,Combustion,Synthesis,Decomposition,Single replacement
Biology,What is the function of white blood cells?,Fight infections,Digest food,Transport oxygen,Filter blood
Physics,What type of force is responsible for the gravitational attraction between objects?,Gravity,Electromagnetic force,Weak force,Strong force
Chemistry,What is the chemical formula for Water?,H2O,CO2,NaCl,KCl
Biology,What is the largest organ in the human body?,Skin,Liver,Lungs,Brain
Physics,What is the formula for work done?,W = F*d,P = F/A,V = d/t,a = F/m
Chemistry,What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2
Biology,What is the smallest unit of life?,Cell,Organ,Tissue,Organ system
Physics,What is the formula for acceleration?,a = (vf - vi)/t,v = d/t,F = m*a,E = m*c^2
Chemistry,What type of compounds contain carbon and hydrogen atoms?,Organic,Inorganic,Ionic,Covalent
Biology,What is the function of the heart?,Pump blood,Filter blood,Produce red blood cells,Digest food
Physics,What is the unit for force?,Newton,Joule,Watt,Meter
Chemistry,What is the chemical formula for glucose?,C6H12O6,C12H22O11,CH4,H2O
Biology,What is the site of protein synthesis in a cell?,Ribosome,Mitochondria,Nucleus,Cell membrane
Physics,What type of energy is stored in an object due to its position?,Potential energy,Kinetic energy,Thermal energy,Radiant energy
Chemistry,What type of substance releases hydrogen ions in water?,Acid,Base,Neutral,Alkali
Biology,What is the function of the lungs?,Exchange gases,Pump blood,Filter blood,Digest food
Physics,What is the formula for potential difference?,V = IR,R = V/I,P = IV,F = ma
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CO,C,H2O
Biology,What is the function of the kidneys?,Filter blood,Pump blood,Produce insulin,Digest food
Physics,What type of energy is associated with an object due to its motion?,Kinetic energy,Potential energy,Thermal energy,Radiant energy
Chemistry,What type of reaction occurs when two or more substances combine to form a new substance?,Synthesis,Decomposition,Acid-base,Oxidation-reduction
Biology,What is the function of the liver?,Detoxify blood,Pump blood,Produce insulin,Filter blood
Physics,What is the formula for torque?,T = r x F,F = ma,P = F/A,W = F*d
Chemistry,What is the chemical formula for methane?,CH4,CH3OH,C2H6,C2H5OH
Biology,What is the function of the pancreas?,Produce insulin,Digest food,Filter blood,Pump blood
Physics,What type of force causes objects to float in water?,Buoyant force,Electromagnetic force,Weak force,Strong force
Chemistry,What type of bond is formed when electrons are shared between atoms?,Covalent,Ionic,Hydrogen,Metallic
Biology,What is the function of the small intestine?,Absorb nutrients,Pump blood,Filter blood,Digest food
Physics,What is the formula for pressure?,P = F/A,V = d/t,F = ma,W = F*d
Chemistry,What is the chemical formula for ammonia?,NH3,HNO3,HCl,NaOH
Biology,What is the function of the large intestine?,Absorb water,Digest food,Produce red blood cells,Pump blood
Physics,What is the formula for momentum?,p = m*v,F = ma,W = F*d,P = F/A
Chemistry,What is the chemical formula for sodium hydroxide?,NaOH,H2SO4,HCl,NH3
Biology,What is the function of the spleen?,Filter blood,Digest food,Pump blood,Produce insulin
Physics,What type of force causes objects to stick together?,Adhesive force,Cohesive force,Electromagnetic force,Weak force
Chemistry,What type of reaction occurs when a compound breaks down into two or more simpler substances?,Decomposition,Synthesis,Acid-base,Oxidation-reduction
Biology,What is the function of the gallbladder?,Store bile,Digest food,Pump blood,Produce insulin
Physics,What is the formula for electric power?,P = IV,F = ma,W = F*d,P = F/A
Chemistry,What is the chemical formula for hydrochloric acid?,HCl,H2SO4,NaOH,NH3
Biology,What is the function of the endocrine system?,Regulate hormones,Digest food,Pump blood,Filter blood
Physics,What type of electromagnetic wave has the longest wavelength?,Radio waves,Microwaves,Infrared,Visible light
Chemistry,What type of reaction occurs when a substance gains oxygen?,Oxidation,Reduction,Neutralization,Precipitation
Biology,What is the function of the urinary system?,Eliminate waste,Digest food,Pump blood,Produce insulin
Physics,What is the formula for electric potential energy?,U = qV,W = F*d,P = F/A,P = IV
Chemistry,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,NH3
Biology,What is the function of the lymphatic system?,Fight infections,Digest food,Pump blood,Filter blood
Physics,What is the formula for electric resistance?,R = V/I,F = ma,W = F*d,P = F/A
