Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the SI unit of force?,Newton,Watt,Joule,Tesla
Physics,What property of a moving object remains constant in the absence of external forces?,Momentum,Velocity,Acceleration,Kinetic Energy
Physics,What type of wave is responsible for transmitting information through the atmosphere in telecommunications?,Electromagnetic,Sound,Water,Surface
Physics,What type of energy is stored in an object due to its position in a gravitational field?,Potential,Kinetic,Thermal,Radiant
Physics,What type of energy is stored in the chemical bonds of food?,Chemical,Thermal,Electrical,Nuclear
Physics,What is the formula for the period of a simple pendulum?,T=2π√(l/g),T=2π(g/l),T=2(l/g),T=2g
Physics,What was the first law of motion as formulated by Isaac Newton?,Objects at rest remain at rest unless acted upon by an external force,Force is equal to mass times acceleration,For every action| there is an equal and opposite reaction,Energy cannot be created or destroyed
Physics,What type of lens converges light rays?,Convex,Concave,Plano-concave,Plano-convex
Physics,What type of force is responsible for preventing objects from sinking in fluids?,Buoyancy,Magnetic,Electrostatic,Gravitational
Physics,What type of energy is stored in stretched or compressed springs?,Elastic Potential,Thermal,Nuclear,Chemical
Chemistry,What type of bonding involves the exchange of electrons between atoms?,Ionic,Covalent,Hydrogen,Van der Waals
Chemistry,What type of bonding involves the sharing of electrons between atoms?,Covalent,Ionic,Hydrogen,Van der Waals
Chemistry,What type of substance reacts with acids to produce salts and water?,Base,Acid,Neutral,Alkaline
Chemistry,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon
Chemistry,What is the process by which a gas turns into a liquid?,Condensation,Vaporization,Boiling,Sublimation
Chemistry,What is the process by which a solid turns into a gas?,Sublimation,Vaporization,Boiling,Condensation
Chemistry,What is the pH range of a basic solution?,8-14,0-6,7,14-20
Chemistry,What is the oxidation state of oxygen in most compounds?,-2,+2,0,-1
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Chemistry,What is the chemical formula for water?,H20,HO,H2O2,H3O+
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Endoplasmic Reticulum,Golgi Apparatus
Biology,What is the genetic material found in all living organisms?,DNA,RNA,Protein,Carbohydrates
Biology,What process do plants use to turn sunlight into energy?,Photosynthesis,Respiration,Metabolism,Digestion
Biology,What structure separates the inside of the cell from the outside environment?,Cell Membrane,Cell Wall,Nuclear Membrane,Cytoplasm
Biology,What type of molecule is an enzyme?,Protein,Carbohydrate,Lipid,Nucleic Acid
Biology,What is the process by which cells divide into identical copies?,Mitosis,Meiosis,Fermentation,Diffusion
Biology,What is the branch of biology that deals with the study of plants?,Botany,Zoology,Ecology,Microbiology
Biology,What is the study of the interactions between living organisms and their environment called?,Ecology,Genetics,Evolution,Physiology
Biology,What type of cells are responsible for carrying oxygen in the blood?,Red Blood Cells,White Blood Cells,Platelets,Stem Cells
Biology,What type of tissue is responsible for contracting and producing movement?,Muscle,Nerve,Epithelial,Connective
Geology,What is the natural movement of the Earth's tectonic plates called?,Plate Tectonics,Volcanism,Glaciation,Erosion
Geology,What type of rock is formed from molten lava or magma?,Igneous,Sedimentary,Metamorphic,Mineral
Geology,What type of rock is formed from the accumulation of sediments?,Sedimentary,Igneous,Metamorphic,Mineral
Geology,What is the process by which rocks are broken down into smaller pieces by weathering and erosion called?,Denudation,Erosion,Weathering,Destruction
Geology,What is the name for the point in the Earth's crust where an earthquake originates?,Hypocenter,Epicenter,Fault,Seismic Zone
Geology,What is the process by which parts of the Earth's crust are lifted up by tectonic forces?,Uplift,Subsidence,Erosion,Folding
Geology,What is a large| bowl-shaped depression formed by a volcanic eruption or meteor impact?,Crater,Canyon,Cave,Valley
Geology,What type of rock is formed from existing rock that undergoes heat and pressure?,Metamorphic,Sedimentary,Igneous,Mineral
Astronomy,What is the name of the nearest star to Earth?,Proxima Centauri,Sirius,Alpha Centauri A,Alpha Centauri B
Astronomy,What type of galaxy is the Milky Way?,Spiral,Elliptical,Irregular,Dwarf
Astronomy,What is the term for the alignment of the Sun| Earth| and Moon that causes a lunar or solar eclipse?,Syzygy,Zenith,Nadir,Ecliptic
Astronomy,What is the name of the process by which stars produce energy?,Nuclear Fusion,Nuclear Fission,Electron Capture,Beta Decay
Astronomy,What is the name of the force that holds galaxies together?,Gravity,Electromagnetic,Strong Nuclear,Weak Nuclear
Astronomy,What type of object is a pulsar?,Neutron Star,Black Hole,White Dwarf,Red Giant
Astronomy,What is the name of the imaginary line that runs through the Earth's poles?,Axis,Equator,Meridian,Tropic
Astronomy,What is the name of the largest planet in our Solar System?,Jupiter,Saturn,Uranus,Neptune
Astronomy,What is the term for the point in the orbit of a planet or comet that is closest to the Sun?,Perihelion,Aphelion,Zenith,Nadir
