Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for gold?,Au,Ag,Pt,Fe
Biology,What is the powerhouse of the cell?,Mitochondria,Endoplasmic reticulum,Ribosomes,Lysosomes
Physics,Which law states that for every action| there is an equal and opposite reaction?,Newton's Third Law,Newton's Second Law,Newton's First Law,Law of Conservation of Energy
Geology,What type of rock is formed from magma or lava?,Igneous,Sedimentary,Metamorphic,None of the above
Astronomy,What is the closest planet to the Sun?,Mercury,Venus,Earth,Mars
Biology,What is the process by which plants convert sunlight into food?,Photosynthesis,Respiration,Fermentation,Glycolysis
Chemistry,What is the chemical formula for water?,H2O,CO2,C6H12O6,NaCl
Physics,What is the unit used to measure electric current?,Ampere,Watt,Volt,Ohm
Geology,What type of rock is formed from the compression of sediment?,Sedimentary,Igneous,Metamorphic,None of the above
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Biology,Which part of the eye controls the amount of light that enters?,Pupil,Iris,Cornea,Retina
Chemistry,What is the chemical symbol for silver?,Ag,Au,Pt,Fe
Physics,What type of energy is stored in an object due to its position or configuration?,Potential energy,Kinetic energy,Thermal energy,Radiant energy
Geology,What type of rock is formed from the alteration of existing rock due to heat and pressure?,Metamorphic,Sedimentary,Igneous,None of the above
Astronomy,What is the name of the galaxy we live in?,Milky Way,Andromeda,Black Eye,Whirlpool
Biology,What is the substance that makes up the cell walls of plants?,Cellulose,Collagen,Chitin,Keratin
Chemistry,What is the chemical formula for methane?,CH4,CO2,H2O,C6H12O6
Physics,What type of force keeps objects in orbit around each other?,Gravity,Friction,Electromagnetic force,Strong force
Geology,What type of rock is formed from the accumulation and cementation of sediment?,Sedimentary,Igneous,Metamorphic,None of the above
Astronomy,What is the name of the largest moon in our solar system| orbiting Jupiter?,Ganymede,Io,Europa,Callisto
Biology,Which type of cell division results in the production of gametes with half the number of chromosomes as the parent cell?,Meiosis,Miosis,Mitosis,Cytokinesis
Chemistry,What is the chemical formula for sodium chloride?,NaCl,H2O,CO2,C6H12O6
Physics,What type of energy is produced by the motion of electric charges?,Electrical energy,Thermal energy,Radiant energy,Nuclear energy
Geology,What type of rock is formed from the cooling and solidification of lava or magma?,Igneous,Sedimentary,Metamorphic,None of the above
Astronomy,What is the name of the dwarf planet that was formerly known as the ninth planet in our solar system?,Pluto,Eris,Haumea,Makemake
Biology,What is the process by which food is broken down into smaller molecules that can be absorbed by the body?,Digestion,Respiration,Fermentation,Photosynthesis
Chemistry,What is the chemical formula for carbon dioxide?,CO2,H2O,NaCl,C6H12O6
Physics,What type of energy is produced by the movement of waves| such as light or sound?,Radiant energy,Kinetic energy,Potential energy,Nuclear energy
Geology,What type of rock is formed from the weathering and erosion of other rocks?,Sedimentary,Igneous,Metamorphic,None of the above
Astronomy,What is the name of the massive black hole located at the center of our Milky Way galaxy?,Sagittarius A*,Cygnus X-1,V404 Cygni,Messier 87
Biology,What is the name of the molecule that carries genetic information in cells?,DNA,RNA,Protein,Carbohydrate
Chemistry,What is the chemical formula for glucose?,C6H12O6,CO2,H2O,NaCl
Physics,What type of energy is produced by the vibration of matter| such as air molecules?,Sound energy,Mechanical energy,Thermal energy,Radiant energy
Geology,What type of rock is formed from the accumulation of organic material| such as dead plants and animals?,Sedimentary,Igneous,Metamorphic,None of the above
Astronomy,What is the name of the spacecraft that was the first to land humans on the Moon?,Apollo 11,Voyager 1,Columbia,Challenger
Biology,What is the name of the tiny structures inside cells that produce proteins?,Ribosomes,Mitochondria,Lysosomes,Golgi apparatus
Chemistry,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH
Physics,What type of energy is produced by the flow of electrons through a conductor?,Electrical energy,Mechanical energy,Radiant energy,Thermal energy
Geology,What type of rock is formed from the evaporation of water| leaving behind minerals?,Sedimentary,Igneous,Metamorphic,None of the above
Astronomy,What is the name of the massive star that exploded in a supernova in 1987?,SN 1987A,Betelgeuse,Rigel,Vega
Biology,What is the name of the process by which plants release oxygen into the atmosphere?,Photosynthesis,Respiration,Fermentation,Glycolysis
Chemistry,What is the chemical formula for hydrochloric acid?,HCl,H2SO4,NaOH,CH3COOH
Physics,What type of energy is produced by the movement of charged particles| such as electrons or ions?,Electrical energy,Mechanical energy,Radiant energy,Nuclear energy
Geology,What type of rock is formed from the alteration of existing rock due to the presence of hot fluids?,Metamorphic,Sedimentary,Igneous,None of the above
Astronomy,What is the name of the largest volcano in our solar system| located on Mars?,Olympus Mons,Elysium Mons,Tharsis Montes,Arsia Mons
Biology,What is the name of the organelle in animal cells that processes and packages proteins?,Golgi apparatus,Endoplasmic reticulum,Mitochondria,Lysosomes
Chemistry,What is the chemical formula for ammonia?,NH3,H2SO4,NaOH,CH3COOH
Physics,What type of energy is produced by the splitting or merging of atomic nuclei?,Nuclear energy,Mechanical energy,Radiant energy,Thermal energy
Geology,What type of rock is formed from the compaction and cementation of plant and animal remains?,Sedimentary,Igneous,Metamorphic,None of the above
Astronomy,What is the name of the spacecraft that landed on the surface of Mars in 2012?,Curiosity,Opportunity,Spirit,Pathfinder
