Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the atomic number of carbon?,6,7,8,9
Biology,What is the function of the mitochondria in a cell?,Energy production,Protein synthesis,Nucleic acid synthesis,Lipid synthesis
Physics,Which of the following is a scalar quantity?,Temperature,Force,Velocity,Acceleration
Earth Science,What is the outermost layer of the Earth called?,Crust,Mantle,Core,Plate
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Biology,What is the function of the ribosomes in a cell?,Protein synthesis,Energy production,Nucleic acid synthesis,Lipid synthesis
Physics,What is the SI unit for electric current?,Ampere,Volt,Ohm,Watt
Earth Science,Which of the following is a type of rock formed from compacted and cemented sediments?,Sedimentary,Igneous,Metamorphic,Volcanic
Chemistry,What is the chemical formula for water?,H2O,HO,O2,H2
Biology,What is the function of the cell membrane?,Regulates what enters and exits the cell,Energy production,Protein synthesis,Nucleic acid synthesis
Physics,Which law states that every action has an equal and opposite reaction?,Newton's 3rd Law,Newton's 1st Law,Newton's 2nd Law,Einstein's Theory of Relativity
Earth Science,What layer of the atmosphere is closest to the Earth's surface?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Chemistry,What is the chemical name for table salt?,Sodium Chloride,Ammonium Nitrate,Potassium Nitrate,Calcium Carbonate
Biology,What is the function of the lysosomes in a cell?,Contain enzymes that breakdown waste,Energy production,Protein synthesis,Nucleic acid synthesis
Physics,What is the unit of measurement for pressure?,Pascal,Newton,Joule,Watt
Earth Science,What is the name of the supercontinent that existed millions of years ago?,Pangaea,Gondwana,Laurasia,Eurasia
Chemistry,What is the chemical formula for methane?,CH4,CO2,O2,N2
Biology,Which of the following is NOT a type of blood cell?,Neurons,Red,White,Platelets
Physics,What is the SI unit for frequency?,Hertz,Meters,Seconds,Watts
Earth Science,What type of rock is formed from cooling lava?,Igneous,Sedimentary,Metamorphic,Volcanic
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CH4,O2,N2
Biology,What is the function of the nucleus in a cell?,Contains DNA,Energy production,Protein synthesis,Nucleic acid synthesis
Physics,What is the unit of measurement for energy?,Joule,Newton,Pascal,Watt
Earth Science,What is the name of the layer of the Earth's atmosphere that contains the protective ozone layer?,Stratosphere,Troposphere,Mesosphere,Thermosphere
Chemistry,What is the chemical formula for hydrochloric acid?,HCl,NaOH,H2SO4,HNO3
Biology,What is the function of the golgi apparatus in a cell?,Processes and packages proteins,Energy production,Nucleic acid synthesis,Lipid synthesis
Physics,What is the name of the force exerted by moving air or water?,Drag,Friction,Lift,Thrust
Earth Science,What is the name of the process by which rocks are broken down by weathering and erosion?,Rock Cycle,Water Cycle,Nitrogen Cycle,Carbon Cycle
Chemistry,What is the chemical formula for ammonia?,NH3,H2O,CO2,HCl
Biology,Which of the following is NOT an example of a monosaccharide?,Sucrose,Glucose,Fructose,Galactose
Physics,What is the unit of measurement for power?,Watt,Joule,Newton,Meter
Earth Science,What is the name of the layer of the Earth's atmosphere that contains the Northern Lights?,Ionosphere,Exosphere,Stratosphere,Magnetosphere
Chemistry,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,HNO3
Biology,What is the function of the endoplasmic reticulum in a cell?,Processes and transports proteins,Energy production,Nucleic acid synthesis,Lipid synthesis
Physics,What is the name of the phenomenon where light waves bend when passing through a medium?,Refraction,Reflection,Diffraction,Absorption
Earth Science,What is the name of the process by which water changes from a liquid to a gas?,Evaporation,Condensation,Precipitation,Runoff
Chemistry,What is the chemical formula for sodium hydroxide?,NaOH,HCl,H2SO4,HNO3
Biology,Which of the following is NOT an example of a polysaccharide?,Glucose,Starch,Cellulose,Glycogen
Physics,What is the name of the force that holds two atoms together in a molecule?,Chemical Bond,Electric Force,Magnetic Force,Gravitational Force
Earth Science,What is the name of the process by which water changes from a gas to a liquid?,Condensation,Evaporation,Precipitation,Runoff
Chemistry,What is the chemical formula for nitric acid?,HNO3,HCl,NaOH,H2SO4
Biology,What is the function of the chloroplasts in a cell?,Converts light energy into chemical energy,Energy production,Protein synthesis,Nucleic acid synthesis
Physics,What is the name of the force that opposes motion between two surfaces in contact?,Friction,Drag,Lift,Thrust
Earth Science,What is the name of the process by which sediment is transported by wind or water?,Erosion,Deposition,Formation,Weathering
Chemistry,What is the chemical formula for acetic acid?,CH3COOH,NaOH,HCl,H2SO4
Biology,Which of the following is NOT a component of a nucleotide?,Glucose,Phosphate,Nitrogenous Base,Sugar
Physics,What is the name of the force that acts upon objects in a liquid or gas and opposes their motion?,Drag,Friction,Buoyancy,Thrust
Earth Science,What is the name of the narrow| deep part of the ocean floor that forms where two tectonic plates meet?,Trench,Ridge,Shelf,Island
Chemistry,What is the chemical formula for hydrofluoric acid?,HF,NaOH,HCl,HNO3
Biology,Which of the following is NOT an example of a nucleic acid?,Insulin,DNA,RNA,ATP
Physics,What is the name of the force that pulls objects towards each other?,Gravity,Electric Force,Magnetic Force,Friction
Earth Science,What is the name of the scale used to measure the magnitude of earthquakes?,Richter Scale,Fahrenheit Scale,Kelvin Scale,Celsius Scale
