Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the basic unit of life?,Cell,Organism,Tissue,Atom
Chemistry,Which element is represented by the symbol Na?,Sodium,Nitrogen,Nickel,Neodymium
Physics,What is the SI unit of force?,Newton,Watt,Volt,Ohm
Biology,Which organism produces insulin?,Pancreas,Brain,Heart,Lungs
Chemistry,What is the formula for water?,H2O,CO2,NaCl,NO2
Physics,What is the speed of light?,299|792|458 m/s,3|000|000 m/s,30|000 m/s,300 m/s
Biology,What is the process where plants use sunlight to create their own food?,Photosynthesis,Respiration,Fermentation,Digestion
Chemistry,What is the pH scale used for?,Measuring acidity and basicity,Measuring temperature,Measuring pressure,Measuring mass
Physics,What is the formula for calculating velocity?,v=d/t,a=v/t,m=d/v,F=ma
Biology,What is the correct order of the scientific classification system?,Kingdom| Phylum| Class| Order| Family| Genus| Species,Kingdom| Class| Order| Family| Phylum| Genus| Species,Class| Kingdom| Order| Family| Genus| Phylum| Species,Kingdom| Phylum| Class| Genus| Order| Family| Species
Chemistry,What is the process called when a gas changes into a liquid?,Condensation,Melting,Freezing,Sublimation
Physics,What is the law stating that energy cannot be created or destroyed| only transferred or transformed?,Law of Conservation of Energy,Newton's Law,Pascal's Law,Hooke's Law
Biology,Which organ system is responsible for removing waste from the body?,Urinary System,Digestive System,Respiratory System,Circulatory System
Chemistry,What type of reaction occurs when two or more elements combine to form a compound?,Synthesis,Decomposition,Combustion,Single Replacement
Physics,What is the unit for measuring electrical current?,Ampere,Volt,Ohm,Farad
Biology,What is the process by which a sperm and egg combine to form a zygote?,Fertilization,Meiosis,Mitosis,Implantation
Chemistry,What is the difference between a physical change and a chemical change?,A physical change does not change the composition of the substance| while a chemical change does.,A chemical change does not change the composition of the substance| while a physical change does.,A physical change increases the mass of the substance| while a chemical change decreases the mass.,A chemical change increases the mass of the substance| while a physical change decreases the mass.
Physics,What is the force that opposes motion called?,Friction,Tension,Gravity,Magnetism
Biology,Which organelle is responsible for processing and packaging proteins in the cell?,Golgi Apparatus,Mitochondria,Ribosomes,Nucleus
Chemistry,What is the process of separating mixtures by boiling and condensing the vapor called?,Distillation,Filtration,Crystallization,Chromatography
Physics,What is the formula for calculating work?,W=Fd,W=mg,h,W=mv
Biology,Which type of blood vessels carry blood away from the heart?,Arteries,Veins,Capillaries,Lymph vessels
Chemistry,What is the process by which a metal reacts with oxygen to form a metal oxide called?,Oxidation,Reduction,Combustion,Neutralization
Physics,What is the study of motion and its causes called?,Mechanics,Thermodynamics,Electromagnetism,Optics
Biology,What is the name of the process where an organism's body temperature drops to conserve energy?,Hibernation,Migration,Huddling,Estivation
Chemistry,What is the process by which a compound breaks down into two or more simpler substances called?,Decomposition,Synthesis,Combustion,Double Replacement
Physics,What is the bending of a wave as it passes from one medium to another called?,Refraction,Reflection,Interference,Diffraction
Biology,Which part of the cell is responsible for producing ATP through cellular respiration?,Mitochondria,Nucleus,Golgi Apparatus,Ribosomes
Chemistry,What is the process of adding hydrogen to a substance called?,Reduction,Oxidation,Hydrogenation,Estherification
Physics,What is the SI unit for pressure?,Pascal,Watt,Volt,Ohm
Biology,Which organ is responsible for producing bile?,Liver,Pancreas,Gallbladder,Stomach
Chemistry,What is the process of adding an acid or base to a solution to change its pH called?,Neutralization,Titration,Oxidation,Reduction
Physics,What is the law that states that for every action| there is an equal and opposite reaction called?,Newton's Third Law,Newton's First Law,Newton's Second Law,Pascal's Law
Biology,Which type of blood cells are responsible for carrying oxygen to the body's cells?,Red Blood Cells,White Blood Cells,Platelets,Lymphocytes
Chemistry,What is the process of passing an electric current through a substance called?,Electrolysis,Reduction,Oxidation,Hydrolysis
Physics,What is the force that accelerates objects towards the center of a circular path called?,Centripetal Force,Friction,Gravity,Tension
Biology,What is the name of the chemical messengers that carry signals between cells in the body?,Hormones,Neurotransmitters,Enzymes,Antibodies
Chemistry,What is the process of adding oxygen to a substance called?,Oxidation,Reduction,Combustion,Hydrogenation
Physics,What is the measure of how much matter is in an object called?,Mass,Volume,Density,Weight
Biology,What is the name of the process through which plants lose water?,Transpiration,Photosynthesis,Respiration,Fermentation
Chemistry,What is the process of separating solid particles from a liquid by passing it through a filter called?,Filtration,Distillation,Crystallization,Chromatography
Physics,What is the force that opposes the motion of an object through a fluid called?,Drag,Lift,Buoyancy,Turbulence
Biology,Which part of the brain controls our thoughts| actions| and emotions?,Cerebrum,Cerebellum,Brain Stem,Thalamus
Chemistry,What is the process of combining two or more elements to form a new product called?,Synthesis,Combustion,Decomposition,Single Replacement
Physics,What is the rate at which work is done called?,Power,Energy,Force,Momentum
Biology,Which part of the eye is responsible for focusing light onto the retina?,Lens,Cornea,Iris,Pupil
Chemistry,What is the process of decreasing the size of particles in a solution by adding energy called?,Homogenization,Agglomeration,Emulsification,Dispersion
Physics,What is the force that pulls objects towards each other called?,Gravity,Friction,Tension,Magnetism
