index,topic,question,answer,distractor1,distractor2,distractor3,topic_relevance,correctness,difficulty,clarity,distractor_relevance
1103,Chemistry,What is the process of a solid changing directly to a gas called?,Sublimation,Evaporation,Condensation,Melting,6,5,5,6,6
1234,Chemistry,Which gas is known as laughing gas?,Nitrous Oxide,Carbon Dioxide,Hydrogen,Oxygen,7,7,7,7,7
3296,Biology,What is the function of a neuron?,To produce hormones,To protect the brain,To transmit electrical signals,To contract muscle tissue,7,7,5,7,5
1266,Physics,What type of force is responsible for the gravitational attraction between objects?,Gravity,Electromagnetic force,Weak force,Strong force,7,7,5,5,7
1597,Geology,What is the process by which sediments are compacted and cemented together?,Lithification,Erosion,Weathering,Metamorphism,7,7,5,6,7
2644,Biology,Which organ produces insulin in the body?,Pancreas,Liver,Kidney,Stomach,7,5,7,7,7
1722,Earth Science,What is the term for a frozen mixture of snow and ice?,glacier,avalanche,frost,permafrost,5,7,5,7,6
2,Biology,What is the name for the smallest particle of an element?,Atom,Molecule,Ion,Electron,7,7,5,7,7
2341,Chemistry,What is the name of the particle that carries a positive charge?,Proton,Electron,Neutron,Photon,7,6,7,7,7
832,Physics,What is the name for the quantity of matter in an object?,Mass,Weight,Density,Volume,7,7,5,6,7
927,Physics,What is the name for the force that opposes motion between two surfaces in contact?,Friction,Gravity,Magnetic force,Electrical force,7,1,4,7,6
1273,Earth Science,What is the largest layer in the Earth's atmosphere?,Stratosphere,Troposphere,Mesosphere,Thermosphere,5,7,3,6,7
3304,Geology,What is the term for the shaking of the Earth's surface caused by the sudden release of energy in the Earth's crust?,Earthquake,Volcanic eruption,Tsunami,Landslide,6,7,4,6,7
389,Chemistry,What is the formula for sulfur dioxide?,SO3,S2O3,SO2,H2SO4,7,7,2,6,6
2383,Physics,What is the formula used to calculate force?,F=ma,E=mc²,P=mv,W=Fd,2,7,5,6,6
2546,Physics,What is the measure of an object's motion| calculated by dividing the distance traveled by the time it takes to travel it?,Speed,Force,Acceleration,Momentum,7,7,4,7,6
2131,Chemistry,Which element has the symbol Pb?,Lead,Lithium,Beryllium,Copper,5,5,5,6,6
760,Biology,What is the name of the process by which proteins are made from RNA?,Translation,Transcription,Replication,Fertilization,5,5,5,3,6
2686,Geology,What type of volcano is broad and flat| with gently sloping sides?,Shield,Cinder cone,Composite,Caldera,7,6,5,6,7
1372,Biology,What is the name for the pigment responsible for giving skin its color?,Melanin,Hemoglobin,Chlorophyll,Keratin,6,7,3,6,6
914,Chemistry,What is the formula for calculating pH?,-log[H+],-log[OH-],[H+]/[OH-],[OH-]/[H+],5,6,5,6,6
891,Physics,What is Newton's Third Law?,"For every action, there is an equal and opposite reaction",The force applied equals the mass times the acceleration,An object in motion will stay in motion unless acted upon by a force,Acceleration is directly proportional to the net force acting on an object and inversely proportional to its mass,7,6,4,6,6
1825,Biology,What is the name of the protein molecule that carries oxygen in the blood?,Hemoglobin,Enzyme,Antibody,Chlorophyll,7,5,6,5,6
123,Zoology,What is the name for the study of fish?,Ichthyology,Herpetology,Ornithology,Entomology,7,6,4,6,7
409,Chemistry,What is the atomic number for helium?,2,3,11,15,7,5,4,6,6
2743,Biology,Which process involves the conversion of nitrogen into a usable form by plants?,Nitrogen Fixation,Photosynthesis,Cellular Respiration,Fermentation,7,6,4,7,7
2785,Physics,What is the acceleration due to gravity on Earth's surface?,9.8 m/s^2,1 m/s^2,0.1 m/s^2,100 m/s^2,5,6,5,5,6
2809,Biology,What type of tissue is responsible for transporting nutrients and oxygen throughout the body?,Blood,Muscle,Nerve,Connective,7,4,6,2,7
485,Biology,What is the process of cells dividing called?,Mitosis,Meiosis,Replication,Fertilization,6,6,5,5,7
3041,Chemistry,What is the process by which a solid turns into a gas without going through the liquid phase?,Sublimation,Vaporization,Deposition,Condensation,7,7,5,7,7
1000,Chemistry,What is the state of matter in which the molecules have the most energy?,Plasma,Gas,Liquid,Solid,7,7,5,7,7
953,Biology,What is the name for the soft tissue found inside bones that produces red and white blood cells?,Bone marrow,Cartilage,Ligament,Tendon,7,6,7,7,7
306,Physics,What is the first law of motion?,"An object at rest will stay at rest, and an object in motion will stay in motion with a constant velocity, unless acted upon by a net external force",Force equals mass times acceleration,"For every action, there is an equal and opposite reaction",None of the above,7,7,7,5,7
1141,Physics,What type of force causes objects to float in water?,Buoyant force,Electromagnetic force,Weak force,Strong force,7,7,5,7,7
1784,Geology,What is the process by which rocks change due to heat and pressure?,Metamorphism,Erosion,Weathering,Deposition,5,5,6,7,7
2981,Biology,What is the science of classifying and naming organisms?,Taxonomy,Biology,Ecology,Genetics,7,5,5,5,7
2346,Chemistry,What is the chemical formula for hydrogen peroxide?,H2O2,CO2,CH4,N2,7,7,7,7,7
1314,Chemistry,What is the term for the process by which an atom loses or gains electrons?,Oxidation-reduction reaction,Ionization,Combustion,Hydration,7,7,5,7,7
754,Chemistry,What is the element most commonly found in organic molecules?,Carbon,Nitrogen,Oxygen,Hydrogen,7,7,7,7,7
1959,Geology,What type of rock is formed from the weathering and erosion of other rocks?,Sedimentary,Igneous,Metamorphic,None of the above,7,7,3,7,7
2081,Earth Science,What is the name for the process by which rocks are chemically broken down into new minerals?,Chemical weathering,Mechanical weathering,Erosion,Deposition,7,7,5,7,7
1868,Biology,What is the process by which proteins are broken down into amino acids in the body?,Protein hydrolysis,Protein synthesis,Protein denaturation,Protein folding,7,7,7,7,7
1252,Biology,What is the process by which a cell divides into two new cells?,Mitosis,Meiosis,Fertilization,Apoptosis,7,7,5,7,5
2568,Geology,What type of rock is formed from existing rock that undergoes heat and pressure?,Metamorphic,Sedimentary,Igneous,Mineral,5,7,5,7,7
2879,Chemistry,What is the name of the scale used to measure the acidity or basicity of a solution?,pH scale,Kelvin scale,Celsius scale,Fahrenheit scale,7,7,6,7,7
822,Chemistry,What is the chemical formula for calcium carbonate?,CaCO3,CO2,NaCl,H2O,7,7,7,7,7
916,Biology,What is the name of the long| coiled structures that carry genes?,DNA,RNA,Ribosomes,Lysosomes,7,7,5,3,7
1276,Meteorology,What is the name for the boundary between two air masses?,Front,Cold front,Warm front,Occluded front,7,7,5,7,7
