Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Brain
Physics,What is the equation for force?,F=ma,E=mc^2,PV=nRT,V=IR
Geology,What type of rock forms from cooled lava or magma?,Igneous,Sedimentary,Metamorphic,Plutonic
Botany,What is the process of plants making their own food called?,Photosynthesis,Respiration,Transpiration,Pollination
Chemistry,What is the most abundant element in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Biology,What is the job of the mitochondria in a cell?,Produce energy,Store genetic information,Transport nutrients,Create waste
Physics,What is the concept of inertia?,An object at rest tends to stay at rest,Every action has an equal and opposite reaction,The force that pulls objects towards each other,The resistance of an object to change its state of motion
Geology,What type of rock forms from the accumulation and compression of sediment?,Sedimentary,Igneous,Metamorphic,Plutonic
Botany,What is the male part of a flower called?,Stamen,Pistil,Sepal,Petal
Chemistry,What is the symbol for the element sodium?,Na,K,Au,Fe
Biology,Which group of animals has a backbone?,Vertebrates,Invertebrates,Amphibians,Reptiles
Physics,What is the process of heat transfer through a solid?,Conduction,Convection,Radiation,Absorption
Geology,What type of rock undergoes a physical or chemical change due to heat and pressure?,Metamorphic,Igneous,Sedimentary,Plutonic
Botany,What is the female part of a flower called?,Pistil,Stamen,Sepal,Petal
Chemistry,What is the symbol for the element carbon?,C,N,H,O
Biology,What is the powerhouse of a cell called?,Mitochondria,Nucleus,Endoplasmic reticulum,Golgi apparatus
Physics,What is the unit of electric current?,Ampere,Volt,Ohm,Watt
Geology,What type of rock is formed from molten material that cools quickly?,Igneous,Sedimentary,Metamorphic,Plutonic
Botany,What is the process of plants releasing water vapor called?,Transpiration,Photosynthesis,Respiration,Pollination
Chemistry,What is the formula for water?,H2O,CO2,NaCl,NH3
Biology,What is the process of cell division called?,Mitosis,Meiosis,Fermentation,Respiration
Physics,What is the unit of force?,Newton,Joule,Watt,Ampere
Geology,What type of rock is formed from the cooling of magma below the surface?,Plutonic,Igneous,Sedimentary,Metamorphic
Botany,What is the process of pollen being transferred to the female reproductive organ of a flower called?,Pollination,Transpiration,Photosynthesis,Respiration
Chemistry,What is the symbol for the element oxygen?,O,N,H,C
Biology,What is the study of life called?,Biology,Geology,Physics,Chemistry
Physics,What is the difference between speed and velocity?,Velocity has direction and speed does not,Speed has direction and velocity does not,They are the same thing,Velocity is the magnitude of speed
Geology,What is the process of breaking down rocks through physical or chemical means called?,Weathering,Erosion,Deposition,Compaction
Botany,What is the process of a seed growing into a plant called?,Germination,Photosynthesis,Pollination,Transpiration
Chemistry,What is the symbol for the element iron?,Fe,Na,K,Au
Biology,What is the process of breaking down food into smaller molecules called?,Digestion,Transport,Excretion,Respiration
Physics,What is the concept of potential energy?,Energy stored due to position or configuration,Energy stored due to motion,Energy released due to chemical reaction,Energy released due to nuclear reaction
Geology,What type of rock is most commonly found near the Earth's surface?,Sedimentary,Igneous,Metamorphic,Plutonic
Botany,What is the name for the process of fruit production?,Fruiting,Fertilization,Germination,Photosynthesis
Chemistry,What is the symbol for the element helium?,He,H,C,O
Biology,What is the process of moving materials through a cell membrane called?,Transport,Excretion,Digestion,Respiration
Physics,What is the concept of kinetic energy?,Energy of motion,Stored energy,Energy released due to chemical reaction,Energy released due to nuclear reaction
Geology,What is the name for the theory that explains how the Earth's crustal plates move?,Plate tectonic theory,Continental drift theory,Volcanic eruption theory,Tsunami theory
Botany,What is the process of a plant growing towards light called?,Phototropism,Transpiration,Photosynthesis,Pollination
Chemistry,What is the symbol for the element copper?,Cu,Ag,Au,Fe
Biology,What is the process of producing offspring called?,Reproduction,Respiration,Digestion,Transport
Physics,What is the concept of work?,Force over a distance,Energy of motion,Energy stored due to configuration,Energy released due to nuclear reaction
Geology,What is the name for the process of rock and sediment being transported by water or wind?,Erosion,Deposition,Weathering,Compaction
Botany,What is the process of a plant producing its own food called?,Photosynthesis,Transpiration,Pollination,Germination
Chemistry,What is the symbol for the element nitrogen?,N,O,H,C
Biology,What is the process of obtaining oxygen and releasing carbon dioxide called?,Respiration,Transport,Digestion,Excretion
Physics,What is the concept of force?,A push or pull on an object,Energy of motion,Stored energy,Energy released due to chemical reaction
Geology,What type of rock is formed from the accumulation and cementation of shells and other organic material?,Sedimentary,Igneous,Metamorphic,Plutonic
Botany,What is the name for the process of water moving through a plant from the roots to the leaves?,Transpiration,Photosynthesis,Pollination,Germination
