Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the process by which green plants and some other organisms use sunlight to synthesize foods with the help of chlorophyll?,Photosynthesis,Cellular Respiration,Fermentation,Enzymatic Digestion
Chemistry,What is the lightest element present in the periodic table?,Hydrogen,Oxygen,Nitrogen,Helium
Physics,What is the unit of resistance in an electric circuit?,Ohm,Ampere,Volt,Watt
Biology,Which nutrient is essential for the development of strong bones and teeth?,Calcium,Iron,Potassium,Sodium
Chemistry,Which gas comprises the largest percentage of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Hydrogen
Physics,What is the speed of light in a vacuum?,299|792|458 meters per second,186|284 miles per second,100|000 miles per second,1|000|000 meters per second
Biology,Which organ holds bile and is responsible for breaking down fats in the human body?,Liver,Pancreas,Kidney,Lungs
Chemistry,What is the process by which a solid changes directly into a gas| without going through the liquid state| called?,Sublimation,Evaporation,Condensation,Distillation
Physics,What is the term used to describe the amount of matter in an object?,Mass,Density,Volume,Weight
Biology,What is the fluid that circulates through the body in blood vessels and carries oxygen and nutrients to cells and waste products away from cells?,Blood,Lymph,Plasma,Cerebrospinal fluid
Chemistry,Which four elements are the most abundant in Earth's crust?,Oxygen| Silicon| Aluminum| Iron,Carbon| Hydrogen| Helium| Nitrogen,Gold| Silver| Platinum| Mercury,Carbon| Nitrogen| Oxygen| Fluorine
Physics,What is the measure of an object's motion| calculated by dividing the distance traveled by the time it takes to travel it?,Speed,Force,Acceleration,Momentum
Biology,What is the main site of protein synthesis in a eukaryotic cell?,Ribosome,Endoplasmic reticulum,Nucleus,Mitochondria
Chemistry,Which chemical element has the atomic symbol Fe and atomic number 26?,Iron,Iodine,Indium,Iridium
Physics,What is the term for the resistance of an object to changes in its state of motion?,Inertia,Velocity,Acceleration,Gravity
Biology,What cell organelle is responsible for the breakdown of large molecules and cellular waste?,Lysosome,Golgi Apparatus,Mitochondria,Nucleus
Chemistry,What is the process by which two or more atoms combine to form a compound with different properties than the individual elements?,Chemical Bonding,Ionic Equations,Titration,Esterification
Physics,What is the SI unit of power?,Watt,Volt,Ohm,Ampere
Biology,What is the scientific term for the smallest unit of life?,Cell,Atom,Molecule,Organelle
Chemistry,What is the electronic configuration of helium?,1s2,1s1,1p1,1p3
Physics,What is the formula for calculating density?,Density = mass/volume,Density = volume/mass,Density = force/mass,Density = acceleration/mass
Biology,Which part of the human digestive system is responsible for the absorption of water and electrolytes from undigested food?,Large Intestine,Small Intestine,Pancreas,Stomach
Chemistry,What is the term for a solution with a pH of less than 7?,Acidic,Basic,Neutral,Alkaline
Physics,What is the term for the force that opposes motion between two surfaces in contact with each other?,Friction,Gravity,Momentum,Acceleration
Biology,What is the pigment that gives skin its color and protects against UV radiation?,Melanin,Hemoglobin,Carotene,Keratin
Chemistry,Which gas is known as laughing gas and is commonly used as an anesthetic?,Nitrous Oxide,Oxygen,Carbon Dioxide,Hydrogen
Physics,What is the term for the energy an object possesses because of its position or state| such as the compressed spring in a toy car?,Potential Energy,Kinetic Energy,Thermal Energy,Magnetic Energy
Biology,What type of tissue connects muscles to bones in the human body?,Tendon,Ligament,Cartilage,Blood vessel
Chemistry,Which group of elements makes up the majority of the metal elements in the periodic table?,Transition Metals,Noble Gases,Alkali Metals,Alkaline Earth Metals
Physics,What is the term for the force that attracts all objects toward each other and is directly proportional to the product of their masses and inversely proportional to the square of the distance between them?,Gravity,Magnetic Force,Electrostatic Force,Nuclear Force
Biology,What is the largest gland in the human body?,Liver,Pancreas,Spleen,Kidney
Chemistry,What is the process by which a liquid changes into a gas called?,Evaporation,Condensation,Sublimation,Freezing
Physics,What is the formula for calculating work?,Work = force x distance,Work = force x acceleration,Work = mass x velocity,Work = power x time
Biology,What is the process by which cells divide and produce new cells with identical genetic information called?,Mitosis,Meiosis,Protein Synthesis,DNA Replication
Chemistry,What is the chemical symbol for sodium?,Na,N,Si,Ne
Physics,What is the term for the measure of an object's resistance to rotational motion?,Moment of Inertia,Angular Velocity,Angular Acceleration,Angular Momentum
Biology,What blood cells are responsible for carrying oxygen from the lungs to the body tissues?,Red Blood Cells,White Blood Cells,Platelets,Stem Cells
Chemistry,What is the term for the attractive force between two atoms resulting from the sharing of electrons between them?,Covalent Bond,Ionic Bond,Hydrogen Bond,Van der Waals Forces
Physics,What is the term for the physical quantity that is the product of an object's mass and velocity?,Momentum,Force,Work,Power
Biology,What is the process by which food is broken down into smaller molecules that can be absorbed by cells?,Digestion,Absorption,Transport,Excretion
Chemistry,What is the term for a substance that speeds up a chemical reaction without getting used up in the process?,Catalyst,Reactant,Product,Enzyme
Physics,What is the term for the change in frequency or wavelength of a wave in relation to an observer who is moving relative to the source of the wave?,Doppler Effect,Interference,Diffraction,Reflection
Biology,What type of tissue is responsible for regulating and coordinating body activities?,Nervous Tissue,Muscle Tissue,Epithelial Tissue,Connective Tissue
Chemistry,What is the term for a homogeneous mixture of two or more substances?,Solution,Mixture,Compound,Element
Physics,What is the term for the ratio of displacement to time for a moving object?,Velocity,Acceleration,Momentum,Force
Biology,What is the term for the process of converting glucose into energy in the presence of oxygen?,Cellular Respiration,Fermentation,Photosynthesis,Glycolysis
Chemistry,What is the term for the smallest unit of an element that retains the properties of that element?,Atom,Molecule,Ion,Electron
Physics,What is the term for the rate of change of velocity over time?,Acceleration,Momentum,Force,Power
