Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Astronomy,What is the force that keeps planets and other objects in orbit around the sun?,Gravity,Magnetism,Electromagnetism,Nuclear force
Biology,What are the basic building blocks of proteins?,Amino acids,Nucleotides,Fatty acids,Glucose
Chemistry,What is the pH of a neutral solution?,7,1,14,0
Physics,What is the SI unit for force?,Newton,Meter,Second,Joule
Geology,What is the hardest mineral on the Mohs scale?,Diamond,Quartz,Feldspar,Topaz
Astronomy,What is the name of the belt of asteroids between Mars and Jupiter?,Asteroid Belt,Kuiper Belt,Oort Cloud,Haumea
Biology,What is the process by which plants produce glucose from sunlight and carbon dioxide?,Photosynthesis,Respiration,Transpiration,Fermentation
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Hg
Physics,What is the force that opposes motion between two surfaces in contact?,Friction,Gravity,Magnetism,Inertia
Geology,What are the three types of rocks?,Igneous| sedimentary| metamorphic,Igneous| sedimentary| volcanic,Metamorphic| sedimentary| volcanic,Metamorphic| volcanic| plutonic
Astronomy,What is the name given to a star that suddenly becomes much brighter?,Nova,Supernova,Hypernova,Red giant
Biology,What is the name of the organelles that produce energy within cells?,Mitochondria,Lysosomes,Ribosomes,Golgi apparatus
Chemistry,What is the process by which a gas changes to a solid without going through the liquid state?,Deposition,Sublimation,Condensation,Evaporation
Physics,What type of energy is associated with motion?,Kinetic,Potential,Thermal,Radiant
Geology,What type of rock is formed from cooled lava or magma?,Igneous,Sedimentary,Metamorphic,Volcanic
Astronomy,What type of galaxy is our Milky Way?,Spiral,Elliptical,Irregular,Dwarf
Biology,What is the name given to the outermost layer of skin?,Epidermis,Dermis,Subcutaneous tissue,Hypodermis
Chemistry,What is the atomic number of carbon?,6,8,10,12
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transformed,Energy always flows from hot to cold,Energy is always conserved in mechanical systems,Energy is equivalent to mass times the speed of light squared
Geology,What is the name of the supercontinent that existed before the current continents began to separate?,Pangaea,Laurasia,Gondwana,Riftingia
Astronomy,What is the name of the nearest star to our solar system?,Proxima Centauri,Alpha Centauri A,Alpha Centauri B,Barnard's Star
Biology,What is the pigment that gives skin and hair its color?,Melanin,Keratin,Collagen,Elastin
Chemistry,What is the formula for water?,H2O,HCl,NaCl,CO2
Physics,What is the acceleration due to gravity on Earth?,9.81 m/s2,8.71 m/s2,10.01 m/s2,7.51 m/s2
Geology,What is the name of the process by which rocks are broken down over time?,Weathering,Erosion,Dehydration,Oxidation
Astronomy,What is the name of the largest moon of Saturn?,Titan,Enceladus,Mimas,Rhea
Biology,What is the name of the process by which DNA is copied?,Replication,Transcription,Translation,Mutation
Chemistry,What is the formula for methane?,CH4,CO2,H2O,CaCO3
Physics,What is the law of conservation of momentum?,The total momentum of a system is conserved if no external forces act on it,The force acting on an object is equal to its mass times its acceleration,The work done on an object is equal to its change in kinetic energy,The velocity of light is constant for all observers
Geology,What is the name of the process by which rocks are moved from one location to another?,Erosion,Weathering,Deposition,Subduction
Astronomy,What is a black hole?,A region of space with an extremely strong gravitational field,A region of space with no mass,A region of space with very little gravity,A region of space with no stars
Biology,What is the name of the molecule that stores genetic information?,DNA,RNA,ATP,Amino acids
Chemistry,What is the formula for sulfuric acid?,H2SO4,HCl,NaOH,CaCO3
Physics,What is the difference between speed and velocity?,Velocity includes direction| while speed does not,Speed includes direction| while velocity does not,Velocity is always constant| while speed is not,Speed is always constant| while velocity is not
Geology,What is the name of the process by which the Earth's magnetic field is periodically reversed?,Geomagnetic reversal,Plate tectonics,Volcanic eruption,Earthquake
Astronomy,What is the name of the process by which stars produce energy?,Nuclear fusion,Nuclear fission,Radioactive decay,Carbon fixation
Biology,What is the name of the protein that forms the fibers of muscle tissue?,Actin,Myosin,Keratin,Collagen
Chemistry,What is the formula for glucose?,C6H12O6,HCl,NaCl,H2O
Physics,What is the difference between mass and weight?,Mass is the amount of matter in an object| while weight is the force of gravity on an object,Mass is the force of gravity on an object| while weight is the amount of matter in an object,Mass and weight are the same thing,Mass and weight cannot be measured
Geology,What is the name of the boundary between the Earth's crust and mantle?,Mohorovicic discontinuity,Gutenberg discontinuity,Lehmann discontinuity,Conrad discontinuity
Astronomy,What is a comet?,A small| icy object that orbits the sun,A large| rocky object that orbits the sun,A small| rocky object that orbits the sun,A type of star
Biology,What is the name of the organelle that processes and packages proteins for transport?,Golgi apparatus,Lysosome,Mitochondrion,Ribosome
Chemistry,What is the formula for sodium chloride?,NaCl,HCl,H2SO4,CO2
Physics,What is the difference between work and power?,Work is the amount of energy transferred| while power is the rate at which work is done,Power is the amount of energy transferred| while work is the rate at which work is done,Work and power are the same thing,Work and power cannot be measured
Geology,What is the name of the type of rock that is formed from the accumulation of organic material?,Sedimentary,Igneous,Metamorphic,Volcanic
Astronomy,What is the name of the process by which stars run out of fuel and die?,Supernova,Planetary nebula,White dwarf,Red giant
