Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the primary function of the heart?,Pumping blood,Digestion,Respiration,Vision
Chemistry,What is the formula for water?,H2O,CO2,NaCl,CH4
Physics,What is the formula for force?,F=ma,E=mc^2,P=mv,V=IR
Biology,Which cell organelle is responsible for protein synthesis?,Ribosome,Mitochondria,Golgi apparatus,Lysosome
Chemistry,What is the atomic number of carbon?,6,8,14,18
Physics,What is the speed of light?,299|792|458 m/s,10 m/s,100 m/s,1|000 m/s
Biology,What is the function of the mitochondria in the cell?,Energy production,Protein synthesis,Waste disposal,Storage
Chemistry,What is the pH of neutral water?,7,1,14,10
Physics,What is the definition of velocity?,Speed in a given direction,Displacement over time,Acceleration over time,Force in a given direction
Biology,What is the function of the cell membrane?,Regulating what enters and exits the cell,Energy production,Protein synthesis,Waste disposal
Chemistry,What is the name for the type of bond formed between two nonmetals?,Covalent bond,Ionic bond,Metallic bond,Hydrogen bond
Physics,What is the first law of thermodynamics?,Energy cannot be created or destroyed| only transferred or transformed,Energy decreases over time,Energy increases over time,Energy remains constant over time
Biology,What is the function of the ribosome?,Protein synthesis,Energy production,Waste disposal,Storage
Chemistry,What is the formula for methane?,CH4,CO2,H2O,NaCl
Physics,What is the definition of acceleration?,Change in velocity over time,Speed in a given direction,Displacement over time,Force in a given direction
Biology,What is the function of the Golgi apparatus?,Processing and packaging proteins,Energy production,Waste disposal,Storage
Chemistry,What is the name for the type of bond formed between a metal and a nonmetal?,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond
Physics,What is the second law of thermodynamics?,Entropy always increases over time,Entropy always decreases over time,Energy cannot be created or destroyed| only transferred or transformed,Energy remains constant over time
Biology,What is the function of the lysosome?,Digestion and waste removal,Energy production,Protein synthesis,Storage
Chemistry,What is the formula for carbon dioxide?,CO2,H2O,CH4,NaCl
Physics,What is the definition of momentum?,Mass times velocity,Force times velocity,Displacement over time,Energy in a given direction
Biology,What is the function of the endoplasmic reticulum?,Processing and transporting proteins,Energy production,Waste disposal,Storage
Chemistry,What is the name for the type of bond formed between a metal and another metal?,Metallic bond,Ionic bond,Covalent bond,Hydrogen bond
Physics,What is the definition of energy?,The ability to do work,Mass times velocity,Force times velocity,Displacement over time
Biology,What is the function of the chloroplast?,Photosynthesis,Energy production,Waste disposal,Protein synthesis
Chemistry,What is the name for the chemical reaction in which oxygen is added to a substance?,Oxidation,Reduction,Combustion,Neutralization
Physics,What is the definition of work?,Force times distance,Mass times velocity,Force times velocity,Displacement over time
Biology,What is the function of the nucleus in the cell?,Contains genetic material,Energy production,Protein synthesis,Waste disposal
Chemistry,What is the name for a substance that speeds up a chemical reaction?,Catalyst,Reactant,Product,Enzyme
Physics,What is the definition of power?,Work over time,Mass times velocity,Force times velocity,Displacement over time
Biology,What is the function of the cytoplasm in the cell?,Holds organelles and fills space inside the cell,Energy production,Protein synthesis,Waste disposal
Chemistry,What is the name for a substance that dissolves in water?,Polar,Nonpolar,Hydrophobic,Hydrophilic
Physics,What is the definition of frequency?,The number of cycles per second,Mass times velocity,Force times velocity,Displacement over time
Biology,What is the function of the plant cell wall?,Provides structure and support,Energy production,Protein synthesis,Waste disposal
Chemistry,What is the name for the process of converting a solid directly to a gas?,Sublimation,Condensation,Evaporation,Freezing
Physics,What is the definition of wavelength?,The distance between two points on a wave,Mass times velocity,Force times velocity,Displacement over time
Biology,What is the function of the vacuole in the cell?,Storage,Energy production,Protein synthesis,Waste disposal
Chemistry,What is the name for a substance that resists changes in pH?,Buffer,Acid,Base,Salt
Physics,What is the definition of refraction?,The bending of light as it passes through a medium,Mass times velocity,Force times velocity,Displacement over time
Biology,What is the function of the flagella in the cell?,Movement,Energy production,Protein synthesis,Waste disposal
Chemistry,What is the name for the process of converting a gas directly to a solid?,Deposition,Sublimation,Condensation,Evaporation
Physics,What is the definition of reflection?,The bouncing of light off a surface,Mass times velocity,Force times velocity,Displacement over time
Biology,What is the function of the cilia in the cell?,Movement and filtering,Energy production,Protein synthesis,Waste disposal
Chemistry,What is the name for a substance that releases hydrogen ions in water?,Acid,Base,Buffer,Salt
Physics,What is the definition of diffraction?,The bending of waves around a barrier or through an opening,Mass times velocity,Force times velocity,Displacement over time
Biology,What is the function of the centriole in the cell?,Cell division,Energy production,Protein synthesis,Waste disposal
Chemistry,What is the name for the attraction between opposite charges?,Electrostatic force,Van der Waals force,Hydrogen bond,Covalent bond
Physics,What is the definition of interference?,The combination of two or more waves that results in a new wave,Mass times velocity,Force times velocity,Displacement over time
