Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the unit of force?,Newton,Joule,Watt,Ohm
Biology,What is the process by which living organisms produce energy?,Cellular Respiration,Photosynthesis,Fermentation,Digestion
Chemistry,What is the formula for water?,H2O,CO2,CH4,HCl
Astronomy,What is the closest star to Earth (besides the Sun)?,Proxima Centauri,Alpha Centauri,Betelgeuse,Sirius
Earth Science,What is the layer of the Earth's atmosphere where weather occurs?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Physics,What is the law of gravity?,All objects in the universe are attracted to one another,All objects in motion stay in motion unless acted upon by an external force,The force of an object is equal to its mass times acceleration,Energy cannot be created or destroyed| only converted from one form to another
Biology,What is the largest organ in the human body?,Skin,Lungs,Heart,Liver
Chemistry,What is the atomic number of carbon?,6,12,16,20
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Whirlpool,Black Eye
Earth Science,What is the process by which rocks are broken down by chemical and physical means?,Weathering,Erosion,Deposition,Compaction
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only converted from one form to another,All objects in motion stay in motion unless acted upon by an external force,The force of an object is equal to its mass times acceleration,All objects in the universe are attracted to one another
Biology,What is the name of the process by which cells divide?,Mitosis,Meiosis,Osmosis,Diffusion
Chemistry,What is the pH of a neutral solution?,7,1,14,0
Astronomy,What is the name of the force that keeps planets in orbit around the Sun?,Gravity,Electromagnetic force,Strong force,Weak force
Earth Science,What is the process by which sediment is moved from one location to another?,Erosion,Weathering,Deposition,Compaction
Physics,What is the unit of power?,Watt,Newton,Joule,Ohm
Biology,What is the process by which plants produce energy?,Photosynthesis,Cellular Respiration,Fermentation,Digestion
Chemistry,What is the formula for methane?,CH4,H2O,CO2,HCl
Astronomy,What is the name of the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Earth Science,What is the process by which sediment is deposited in a new location?,Deposition,Erosion,Weathering,Compaction
Physics,What is the formula for acceleration?,a = (vf - vi)/t,F = m*a,p = m*v,a = F/m
Biology,What is the name of the process by which organisms use energy from food without oxygen?,Fermentation,Cellular Respiration,Photosynthesis,Digestion
Chemistry,What is the symbol for sodium on the periodic table?,Na,Cl,O,H
Astronomy,What is the name of the force that causes tides on Earth?,Gravity,Electromagnetic force,Strong force,Weak force
Earth Science,What is the name of the process by which sediment is squeezed and compacted together?,Compaction,Erosion,Weathering,Deposition
Physics,What is the formula for work?,W = F*d*cos(theta),W = m*g*h,W = m*v^2/2,W = P*t
Biology,What is the name of the process by which sex cells are produced?,Meiosis,Mitosis,Osmosis,Diffusion
Chemistry,What is the formula for sulfuric acid?,H2SO4,HCl,HNO3,H3PO4
Astronomy,What is the name of the force that causes light to bend when it passes through a medium?,Refraction,Reflection,Diffraction,Absorption
Earth Science,What is the name of the process by which rocks are transported from one location to another?,Erosion,Weathering,Deposition,Compaction
Physics,What is the formula for power?,P = W/t,P = F*v,P = m*v^2/2,P = F*d
Biology,What is the name of the process by which organisms use oxygen to produce energy?,Cellular Respiration,Fermentation,Photosynthesis,Digestion
Chemistry,What is the formula for glucose?,C6H12O6,H2O,CO2,CH4
Astronomy,What is the name of the small planet-like bodies that orbit the Sun?,Asteroids,Comets,TNOs,Moons
Earth Science,What is the name for the process by which rocks are physically broken down into smaller pieces?,Mechanical weathering,Chemical weathering,Erosion,Deposition
Physics,What is the formula for force?,F = m*a,F = P*A,F = m*v,F = W/d
Biology,What is the name of the process by which organisms take in oxygen and release carbon dioxide?,Breathing,Photosynthesis,Cellular Respiration,Fermentation
Chemistry,What is the formula for hydrochloric acid?,HCl,H2SO4,HNO3,H3PO4
Astronomy,What is the name of the process by which stars convert hydrogen into helium?,Nuclear Fusion,Nuclear Fission,Electron Capture,Beta Decay
Earth Science,What is the name for the process by which rocks are chemically broken down into new minerals?,Chemical weathering,Mechanical weathering,Erosion,Deposition
Physics,What is the formula for momentum?,p = m*v,p = F*d,p = W/t,p = P*A
Biology,What is the name for the process by which organisms produce offspring?,Reproduction,Photosynthesis,Cellular Respiration,Fermentation
Chemistry,What is the formula for oxygen?,O2,H2O,CO2,CH4
Astronomy,What is the name of the force that causes the Moon to orbit the Earth?,Gravity,Electromagnetic force,Strong force,Weak force
Earth Science,What is the name for the process by which soil is exposed and moved by wind and water?,Aeolian erosion,Water erosion,Glacial erosion,Marine erosion
Physics,Which law states that every action has an equal and opposite reaction?,Newton's Third Law of Motion,Newton's Second Law of Motion,Newton's First Law of Motion,The Law of Inertia
Biology,What is the name for the process by which organisms grow and develop?,Development,Photosynthesis,Cellular Respiration,Fermentation
Chemistry,What is the formula for carbon dioxide?,CO2,H2O,CH4,O2
Astronomy,What is the name of the largest moon in our solar system?,Ganymede,Titan,Callisto,Io
Earth Science,What is the name for the process by which rocks and sediment are moved downstream by a river?,Fluvial erosion,Glacial erosion,Aeolian erosion,Marine erosion
