Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What unit is used to measure electric current?,Ampere,Watt,Ohm,Volt
Chemistry,What is the chemical symbol for gold?,Au,Fe,Ag,Cu
Biology,What part of the cell is responsible for protein synthesis?,Ribosome,Mitochondria,Nucleus,Golgi Apparatus
Physics,What is the formula for calculating force?,F=ma,F=mv,F=md,F=me
Chemistry,What is the state of matter of a substance with a definite shape and volume?,Solid,Liquid,Gas,Plasma
Biology,What is the process by which plants use sunlight to make glucose called?,Photosynthesis,Cellular Respiration,Fermentation,Glycolysis
Physics,What law states that for every action| there is an equal and opposite reaction?,Newton's Third Law,Newton's Second Law,Newton's First Law,Boyle's Law
Chemistry,What is the pH of a neutral solution?,7,8,6,5
Biology,What is the main function of the mitochondria in the cell?,Produce energy,Produce proteins,Package and distribute proteins,Store and transport nutrients
Physics,What is the formula for calculating work?,W=Fd,W=F/v,W=F/m,W=F*a
Chemistry,What is the name of the process in which a solid changes directly into a gas without first becoming a liquid?,Sublimation,Deposition,Condensation,Melting
Biology,What is the name of the process in which cells break down glucose to make energy?,Cellular Respiration,Photosynthesis,Fermentation,Glycolysis
Physics,"What does the acronym ""AC"" stand for in regards to electrical current?",Alternating Current,Anode Cathode,Amperes Current,Acoustic Current
Chemistry,What is the name of the bond formed between two nonmetals that is characterized by the sharing of electrons?,Covalent Bond,Ionic Bond,Metallic Bond,Hydrogen Bond
Biology,What are the three types of muscle tissue in the human body?,Skeletal| Cardiac| and Smooth,Skeletal| Nervous| and Cardiac,Smooth| Epithelial| and Nervous,Skeletal| Epithelial| and Smooth
Physics,What is the acceleration due to gravity on Earth?,9.8 m/s^2,2.5 m/s^2,5.0 m/s^2,19.6 m/s^2
Chemistry,What is the name given to substances that cannot be broken down into simpler substances by chemical means?,Element,Mixture,Compound,Solution
Biology,What disease is caused by the human immunodeficiency virus (HIV)?,AIDS,Cancer,Malaria,Tuberculosis
Physics,What is the name of the law that states that the buoyant force on an object is equal to the weight of the fluid displaced by the object?,Archimedes' Principle,Newton's Third Law,The Law of Thermodynamics,Charles' Law
Chemistry,What is the name of the process that occurs when a gas turns into a liquid?,Condensation,Vaporization,Sublimation,Deposition
Biology,"What is the name of the organelle that acts as the cell's ""powerhouse|"" producing energy for the cell?",Mitochondria,Golgi Apparatus,Endoplasmic Reticulum,Lysosome
Physics,What is the name of the law that states that the pressure of a gas is inversely proportional to its volume?,Boyle's Law,Charles' Law,Gay-Lussac's Law,Avogadro's Law
Chemistry,What is the name of the bond formed between a metal and a nonmetal in which electrons are transferred?,Ionic Bond,Covalent Bond,Metallic Bond,Hydrogen Bond
Biology,What is the name of the process by which DNA is copied?,Replication,Transcription,Translation,Interphase
Physics,What is the SI unit for measuring energy?,Joule,Watt,Volt,Ohm
Chemistry,What is the name given to substances made up of two or more different elements bonded together?,Compound,Mixture,Solution,Element
Biology,What is the name of the circular muscle that separates the chest cavity from the abdominal cavity?,Diaphragm,Sphincter,Esophagus,Trachea
Physics,What is the name of the force that opposes motion between two objects in contact?,Friction,Tension,Gravity,Acceleration
Chemistry,What is the name of the process in which a liquid changes into a gas?,Vaporization,Condensation,Sublimation,Deposition
Biology,What is the name of the tube that carries urine from the bladder to the outside of the body?,Urethra,Ureter,Ovaries,Fallopian Tube
Physics,What is the name of the type of energy that an object possesses due to its position or state?,Potential Energy,Kinetic Energy,Thermal Energy,Electric Energy
Chemistry,What is the name of the process in which a gas turns directly into a solid without first becoming a liquid?,Deposition,Sublimation,Condensation,Vaporization
Biology,What is the name of the process by which RNA is made from DNA?,Transcription,Replication,Translation,Interphase
