Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Topic,Question,Answer,Distractor1,Distractor,Distractor3
Biology,What is the process by which plants make their food?,Photosynthesis,Cellular Respiration,Digestion,Fermentation
Chemistry,What is the atomic number of oxygen?,8,9,7,10
Physics,What is the formula for acceleration?,a=(vf-vi)/t,a=vf*t-vi,a=t/vf-vi,a=vf+vi/t
Biology,What happens to a cell in a hypertonic solution?,It shrinks,It swells,It stays the same,It divides
Chemistry,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon
Physics,What is the formula for force?,F=ma,F=mv,F=at,F=kh
Biology,What is the function of the cell membrane?,To control what enters and exits the cell,To produce energy,To make proteins,To store genetic information 
Chemistry,What is the formula for water?,H2O,CO2,HCl,NaCl
Physics,What is the formula for momentum?,p=mv,p=mv2,p=ma,p=kh
Biology,What is the powerhouse of the cell?,Mitochondria,Golgi Apparatus,Endoplasmic Reticulum,Lysosome
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Physics,What is the formula for work?,W=Fd,W=Ft,W=F/v,W=F+v
Biology,What is the function of red blood cells?,To transport oxygen,To kill bacteria,To produce antibodies,To form blood clots
Chemistry,What is the chemical formula for glucose?,C6H12O6,H2O2,NaCl,HNO3
Physics,What is the formula for potential energy?,PE=mgh,PE=mv2,PE=ma,PE=kh
Biology,What is the function of white blood cells?,To fight infection,To circulate blood,To produce insulin,To form bone
Chemistry,What is the chemical symbol for lead?,Pb,Fe,Cu,Ag
Physics,What is the formula for kinetic energy?,KE=1/2mv2,KE=mgh,KE=ma,KE=kh
Biology,What is the function of the pancreas?,To secrete insulin,To digest food,To filter blood,To transport oxygen
Chemistry,What is the chemical symbol for sodium?,Na,K,Cl,Fe
Physics,What is the formula for power?,P=W/t,P=Fv,P=F/t,P=k/t
Biology,What system is responsible for regulating the body's metabolism?,Endocrine,Nervous,Circulatory,Digestive
Chemistry,What is a chemical bond formed by the sharing of electrons?,Covalent,Ionic,Metallic,Hydrogen
Physics,What is the formula for pressure?,P=F/A,P=Ft,P=F/v,P=k/t
Biology,What is the function of the spleen?,To filter blood,To regulate body temperature,To absorb nutrients,To secrete hormones
Chemistry,What is the chemical symbol for helium?,He,H,O,N
Physics,What is the formula for density?,D=m/v,D=Ft,D=F/v,D=k/t
Biology,What system is responsible for transporting nutrients and waste throughout the body?,Circulatory,Respiratory,Muscular,Skeletal
Chemistry,What is the chemical formula for carbon dioxide?,CO2,H2O,NaCl,CaCO3
Physics,What is the formula for frequency?,f=1/T,f=T+1,f=T/v,f=kh
Biology,What is the organ that produces insulin?,Pancreas,Liver,Gallbladder,Spleen
Chemistry,What is a material that cannot be broken down into simpler substances called?,Element,Compound,Mixture,Atom
Physics,What is the formula for wavelength?,λ=c/f,λ=f/c,λ=F/A,λ=F/t
Biology,What is the function of the lungs?,To exchange gases,To produce urine,To regulate body temperature,To filter blood
Chemistry,What is the chemical formula for table salt?,NaCl,H2O,CO2,HCl
Physics,What is the formula for wave velocity?,v=λf,v=f/λ,v=F/A,v=P/t
Biology,What is the organ that produces bile?,Liver,Pancreas,Gallbladder,Spleen
Chemistry,What is the unit for measuring electric current?,Ampere,Ohm,Volt,Watt
Physics,What is the formula for electric power?,P=IV,P=I/R,P=V/R,P=k
Biology,What are the tiny air sacs in the lungs called?,Alveoli,Bronchioles,Larynx,Trachea
Chemistry,What is the chemical symbol for iron?,Fe,Cu,Ag,Pb
Physics,What is the formula for electrical resistance?,R=V/I,R=I/V,R=P/I,R=P/V
Biology,What is the organ that pumps blood throughout the body?,Heart,Lungs,Kidneys,Liver
Chemistry,What is the process by which a solid becomes a gas without passing through the liquid state?,Sublimation,Evaporation,Melting,Boiling
Physics,What is the formula for electric current?,I=V/R,I=P/V,I=PR,I=k*t
