Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Golgi apparatus,Endoplasmic reticulum
Chemistry,"Which element has the symbol ""Na""?",Sodium,Nickel,Nobelium,Nesium
Physics,Which law states that for every action| there is an equal and opposite reaction?,Newton's third law,Newton's first law,Newton's second law,Einstein's law
Biology,What is the process by which plants make their food called?,Photosynthesis,Respiration,Digestion,Assimilation
Chemistry,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Physics,What is the SI unit for force?,Newton,Joule,Watt,Meter
Biology,What is the smallest unit of life?,Cell,Tissue,Organ,Organ system
Chemistry,What is the chemical symbol for gold?,Au,Ag,Hg,Pd
Physics,What is the speed of light in a vacuum?,299|792|458 m/s,299|792|458 km/s,299|792|458 mph,299|792|458 ft/s
Biology,Which body system is responsible for carrying oxygen and nutrients to all parts of the body?,Cardiovascular system,Digestive system,Respiratory system,Endocrine system
Chemistry,What type of bond is formed when electrons are shared between atoms?,Covalent bond,Ionic bond,Polar bond,Hydrogen bond
Physics,What is the process by which heat is transferred through a solid object?,Conduction,Convection,Radiation,Evaporation
Biology,What is the largest organ in the human body?,Skin,Heart,Lungs,Liver
Chemistry,What is the pH of a neutral solution?,7,8,6,5
Physics,What is the force that opposes the motion of objects through air?,Air resistance,Gravity,Inertia,Friction
Biology,What is the function of the kidneys?,To filter blood and remove waste products,To digest food,To circulate oxygen throughout the body,To regulate body temperature
Chemistry,What is the process by which a solid turns into a gas without going through the liquid phase called?,Sublimation,Vaporization,Melting,Boiling
Physics,Which law states that the total energy in a closed system remains constant?,Law of conservation of energy,Newton's first law,Second law of thermodynamics,Law of thermodynamics
Biology,What are the tiny hair-like structures on the surface of cells called?,Cilia,Flagella,Microvilli,Chromosomes
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,SO2
Physics,What is the name for the energy stored in an object due to its position or state?,Potential energy,Kinetic energy,Thermal energy,Gravitational energy
Biology,What type of tissue connects bones to other bones?,Ligaments,Tendons,Muscles,Cartilage
Chemistry,What is the process by which a gas changes into a liquid?,Condensation,Vaporization,Sublimation,Deposition
Physics,What is the acceleration due to gravity on Earth?,9.8 m/s^2,6.7 m/s^2,7.8 m/s^2,8.9 m/s^2
Biology,What is the function of the pancreas?,To produce insulin and regulate blood sugar,To break down food in the small intestine,To ovetsee the immune system,To regulate body temperature
Chemistry,What is the smallest unit of matter?,Atom,Molecule,Compound,Element
Physics,What is the rate of change of velocity called?,Acceleration,Speed,Momentum,Force
Biology,What part of the brain controls balance and coordination?,Cerebellum,Cerebrum,Brain stem,Hippocampus
Chemistry,What is the name for substances that cannot be broken down into simpler substances?,Elements,Compounds,Mixtures,Solutions
Physics,What is the law that states that the pressure and volume of a gas are inversely proportional to each other?,Boyle's law,Charles' law,Gay-Lussac's law,Archimedes' principle
Biology,What part of the eye is responsible for focusing light rays?,Lens,Pupil,Cornea,Retina
Chemistry,What is the formula for the compound calcium chloride?,CaCl2,NaCl,KCl,MgCl2
Physics,What is the name for the force that attracts all objects toward each other?,Gravity,Electrostatic force,Magnetic force,Nuclear force
Biology,What is the function of the white blood cells?,To fight off infections and foreign invaders,To regulate blood sugar,To remove waste products from the blood,To carry oxygen to the body's tissues
Chemistry,What is the process by which a solid turns into a liquid called?,Melting,Freezing,Condensation,Sublimation
Physics,What is the SI unit for frequency?,Hertz,Watt,Meter,Newton
Biology,What is the name for the group of organs that produces and secretes hormones?,Endocrine system,Nervous system,Digestive system,Respiratory system
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CH4,H2O,NaCl
Physics,What is the name for a body at rest or in uniform motion in a straight line?,Inertia,Velocity,Acceleration,Momentum
Biology,What is the name for the protective outer layer of a plant cell?,Cell wall,Nucleus,Cytoplasm,Plasma membrane
Chemistry,What is the process by which electrons are lost or gained by atoms?,Redox reaction,Acid-base reaction,Precipitation reaction,Combustion reaction
Physics,What is the force that opposes motion between two surfaces?,Friction,Gravity,Inertia,Air resistance
Biology,What part of the respiratory system are tiny air sacs where gas exchange takes place?,Alveoli,Bronchi,Trachea,Larynx
Chemistry,What is the name for the measure of the amount of matter in an object?,Mass,Weight,Density,Volume
Physics,What is the name for an object's resistance to changes in motion?,Inertia,Velocity,Acceleration,Momentum
Biology,What is the process by which cells use oxygen to produce energy?,Cellular respiration,Photosynthesis,Fermentation,Glycolysis
Chemistry,What is the process by which substances combine to form a new substance with different properties called?,Chemical reaction,Physical change,Phase change,Nuclear reaction
Physics,What is the name for the force that opposes motion through a fluid?,Viscosity,Inertia,Friction,Gravity
