Index,Question,Answer,Distractor1,Distractor2,Distractor3,The topic and question are related,The marked answer is correct,The question is difficult,The meaning of the question is clear,The distractor answers are relavant to the question,Notes
3059,"Some fish will be over-fished to the point that their species ceases to exist, which is also known as what?",extinction,endangered,accumulation,abundance,[N/A],7 - Strongly Agree,1 - Strongly Disagree,7 - Strongly Agree,3 - Somewhat Disagree,
5040,What is the study of rock strata called?,stratigraphy,biochemistry,chemistry,biology,[N/A],7 - Strongly Agree,2 - Disagree,7 - Strongly Agree,1 - Strongly Disagree,
9552,What is the most commonly used source of energy in the world?,oil,electricity,wind,water,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,7 - Strongly Agree,6 - Agree,
10960,Which  type of cell division halves the number of chromosomes?,meiosis,fragmentation,budding,mitosis,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,6 - Agree,5 - Somewhat Agree,
574,How many ways are there for a species to go extinct?,two,four,eight,Ten,[N/A],4 - Neither Agree nor Disagree,7 - Strongly Agree,2 - Disagree,3 - Somewhat Disagree,This is just a bad question
9358,Light from objects at different distances is focused by what part of the eye?,lens,iris,pupil,meniscus,[N/A],7 - Strongly Agree,5 - Somewhat Agree,7 - Strongly Agree,7 - Strongly Agree,
282,What is the official name for the study of life?,biology,chemistry,geology,botany,[N/A],7 - Strongly Agree,1 - Strongly Disagree,7 - Strongly Agree,7 - Strongly Agree,
848,Types of radiation that cause cancer include ultraviolet (uv) radiation and what?,radon,thermal,molecular,vibrational,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,5 - Somewhat Agree,6 - Agree,
6586,"The earliest cells were prokaryotes, surrounded by a cell membrane but lacking which key structure?",nucleus,mitochondria,ribosomes,lysosomes,[N/A],5 - Somewhat Agree,2 - Disagree,3 - Somewhat Disagree,6 - Agree,They lacked several of these structures
22,"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",dead zones,inhabitable zones,hostile zones,fresh zones,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,7 - Strongly Agree,7 - Strongly Agree,
201,The noble gases are unreactive because of their?,electron configurations,cell configurations,proton configurations,carbon content,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,7 - Strongly Agree,6 - Agree,
7178,Electrical energy consumed can be expressed as the product of power multiplied by what else?,time,work,energy,speed,[N/A],7 - Strongly Agree,5 - Somewhat Agree,5 - Somewhat Agree,7 - Strongly Agree,Poor wording
6040,What structure of a cell is enclosed by a membrane and contains most of the cell’s dna?,nucleus,vacuole,ribosome,epidermis,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,7 - Strongly Agree,7 - Strongly Agree,
10468,The mechanical advantage of a machine is related to how it changes what?,force,pressure,nature,example,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,
5446,About one-third of the human cerebral cortex is dedicated to analyzing and perceiving information related to what sense?,vision,hearing,touch,taste,[N/A],7 - Strongly Agree,6 - Agree,6 - Agree,7 - Strongly Agree,Odd question
4721,Glucocorticoids and mineralocorticoids are the two main types of what in humans?,corticosteroids,carotenoids,metabolites,hormones,[N/A],7 - Strongly Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,
6643,Prokaryotes divide via binary fission and do not undergo what process of cell division?,mitosis,prophase,meiosis,fusion,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,6 - Agree,7 - Strongly Agree,
52,During what part of a person's development are they generally at their physical peak?,early adulthood,late adulthood,infancy,senility,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,
11657,What is the term for tough protein fibers that connects bones to each other?,ligaments,tetons,cords,muscles,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,6 - Agree,7 - Strongly Agree,
5239,What are two ways cnidarians are able to reproduce?,asexually and sexually,mitosis and meiosis,spawning and sexual,internally and externally,[N/A],7 - Strongly Agree,2 - Disagree,6 - Agree,6 - Agree,
8869,Which factor causes a cannon ball to move horizontally and then fall on the ground?,projectile motion,cone motion,fluid motion,downward motion,[N/A],6 - Agree,2 - Disagree,6 - Agree,6 - Agree,
4850,"What are drumlins, eskers, and kettle lakes formed by?",glaciers,earthquakes,meteors,tsunamis,[N/A],7 - Strongly Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,
