Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the force that keeps an object in circular motion?,Centripetal force,Gravity,Magnetic force,Friction
Biology,What is the genetic material found in all living organisms?,DNA,RNA,Protein,Carbohydrates
Biology,What is the name for the smallest particle of an element?,Atom,Molecule,Ion,Electron
Astronomy,What is the term for a small body of frozen gas| rock and dust that orbits the sun?,Comet,Asteroid,Meteor,Meteorite
Biology,In what part of the body are red blood cells produced?,Bone marrow,Spleen,Liver,Kidney
Chemistry,What is the symbol for carbon?,C,Cr,Cl,Co
Geology,What is the name of the process by which the Earth's magnetic field is periodically reversed?,Geomagnetic reversal,Plate tectonics,Volcanic eruption,Earthquake
Biology,What is the name of the hormone that stimulates ovulation in females?,Luteinizing hormone,Insulin,Adrenaline,Estrogen
Biology,What is the name of the process by which genetic information is passed from parent to offspring?,Inheritance,Evolution,Natural selection,Adaptation
Geology,What type of rock is formed from the accumulation of sediments?,Sedimentary,Igneous,Metamorphic,Mineral
Chemistry,What do you get when you mix acid and base?,Salt and water,Carbon dioxide and water,Hydrogen gas,Ammonia
Astronomy,What is the name of the largest volcano on Mars?,Olympus Mons,Mount Everest,Mount Kilimanjaro,Mount Rainier
Chemistry,Which of the following is a measure of the ability of a substance to dissolve in another substance?,Solubility,Concentration,Temperature,Pressure
Geology,What is the process whereby sediment is laid down in a new location?,Deposition,Erosion,Weathering,Transport
Biology,What is the name of the process by which cells divide to produce two identical daughter cells?,Mitosis,Meiosis,Fertilization,Differentiation
Physics,What is the name of the force that opposes motion through a fluid?,Drag,Gravity,Inertia,Tension
Biology,What type of cell lacks a nucleus and organelles?,Prokaryotic,Eukaryotic,Animal,Plant
Botany,What is the process of plants releasing water vapor called?,Transpiration,Photosynthesis,Respiration,Pollination
Physics,What is the unit for measuring force?,Newton,Joule,Watt,Ampere
Biology,Which of the following is not a macromolecule?,Water,Protein,Carbohydrate,Nucleic Acid
Earth Science,What is the largest layer of Earth's atmosphere?,Exosphere,Thermosphere,Mesosphere,Stratosphere
Chemistry,What is the process of a solid changing into a gas called?,Sublimation,Evaporation,Condensation,Solidification
Geology,What type of rock is formed from the accumulation of organic materials| such as shells?,Sedimentary,Igneous,Metamorphic,Plutonic
Physics,What is the speed of light in a vacuum?,"299,792,458 m/s","300,000,000 m/s","500,000,000 m/s","350,000,000 m/s"
Astronomy,What is a pulsar?,A rapidly spinning neutron star that emits beams of electromagnetic radiation,A star that is about to explode as a supernova,A black hole that emits powerful jets of radiation,A galaxy with a high rate of star formation
Biology,What is the name of the innermost layer of the skin?,Subcutis,Dermis,Epidermis,Stratum Corneum
