Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the smallest unit of life?,Cell,Organ,Tissue,Organism
Chemistry,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon
Physics,What is Newton's First Law of Motion?,An object at rest will remain at rest unless acted upon by an external force.,Force equals mass times acceleration.,For every action| there is an equal and opposite reaction.,None of the above.
Biology,What is the process by which plants convert sunlight| water| and carbon dioxide into glucose and oxygen?,Photosynthesis,Respiration,Digestion,Excretion
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Physics,What is the SI unit of force?,Newton,Joule,Watt,Pascal
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Cell Membrane,Endoplasmic Reticulum
Chemistry,Which of the following elements is a metal?,Iron,Oxygen,Nitrogen,Helium
Physics,What is the speed of light in a vacuum?,299|792|458 m/s,300|000|000 m/s,250|000|000 m/s,350|000|000 m/s
Biology,What system is responsible for transporting blood throughout the body?,Circulatory,Respiratory,Nervous,Endocrine
Chemistry,Which of the following is an example of a homogeneous mixture?,Saltwater,Oil and water,Salad dressing,Granite
Physics,What is the force that opposes motion between two surfaces that are in contact?,Friction,Gravity,Magnetism,Inertia
Biology,What is the name of the process by which cells divide?,Mitosis,Meiosis,Fermentation,Respiration
Chemistry,What type of reaction occurs when a metal reacts with an acid to produce hydrogen gas?,Single Displacement,Double Displacement,Synthesis,Decomposition
Physics,What is the unit of electric current?,Ampere,Volt,Watt,Ohm
Biology,What is the name of the molecule that carries genetic information?,DNA,RNA,Protein,Carbohydrate
Chemistry,What is the pH of a neutral solution?,7,1,14,0
Physics,What is the process by which a solid changes directly to a gas without going through the liquid phase?,Sublimation,Deposition,Melting,Freezing
Biology,What is the name of the structure that controls the movement of substances in and out of cells?,Cell Membrane,Nucleus,Mitochondria,Endoplasmic Reticulum
Chemistry,What is the formula for water?,H2O,CO2,NaCl,CH4
Physics,What is the SI unit of energy?,Joule,Newton,Meter,Watt
Biology,What is the name of the process by which food is broken down and converted into energy?,Respiration,Digestion,Photosynthesis,Fermentation
Chemistry,What is the name of the process by which a gas changes into a liquid?,Condensation,Evaporation,Sublimation,Deposition
Physics,What is the formula for calculating work?,Work = Force x Distance,Work = Mass x Velocity,Work = Energy x Time,Work = Power x Time
Biology,What is the process by which organisms produce offspring?,Reproduction,Photosynthesis,Respiration,Digestion
Chemistry,What is the name of the process by which a solid changes into a liquid?,Melting,Freezing,Sublimation,Deposition
Physics,What is the name of the force that causes an object to move in a circle?,Centripetal Force,Friction,Gravity,Inertia
Biology,What is the name of the pigment that gives skin its color?,Melanin,Carotene,Hemoglobin,Chlorophyll
Chemistry,What type of bond is formed when electrons are shared between two atoms?,Covalent,Ionic,Hydrogen,Metallic
Physics,What is the formula for velocity?,Velocity = Distance ÷ Time,Velocity = Acceleration x Time,Velocity = Force ÷ Mass,Velocity = Work ÷ Time
Biology,What type of organism is a mushroom?,Fungus,Animal,Plant,Protist
Chemistry,What is the formula for carbon dioxide?,CO2,H2O,NaCl,CH4
Physics,What is the name of the force that causes an object to resist a change in its motion?,Inertia,Friction,Gravity,Centripetal Force
Biology,What term describes the variety of life in a particular ecosystem or on Earth as a whole?,Biodiversity,Ecology,Habitat,Ecosystem
Chemistry,What is the name of the gas produced during photosynthesis?,Oxygen,Carbon Dioxide,Methane,Nitrogen
Physics,What is the name of the force that causes an object to fall to the ground?,Gravity,Friction,Inertia,Centripetal Force
Biology,What is the name of the process in which an organism changes over time in response to changes in its environment?,Evolution,Adaptation,Natural Selection,Mutation
Chemistry,What is the name of the process by which a liquid changes into a gas?,Evaporation,Condensation,Sublimation,Deposition
Physics,What is the name of the unit of pressure?,Pascal,Newton,Watt,Joule
Biology,What is the name of the process by which organisms use oxygen to release energy from glucose?,Respiration,Photosynthesis,Digestion,Fermentation
Chemistry,What type of bond is formed between a metal and a nonmetal?,Ionic,Covalent,Hydrogen,Metallic
Physics,What is the formula for acceleration?,Acceleration = (Final Velocity - Initial Velocity) ÷ Time,Acceleration = Force ÷ Mass,Acceleration = Work ÷ Time,Acceleration = Velocity ÷ Time
Biology,What is the name of the process by which DNA is copied?,Replication,Transcription,Translation,Mutation
Chemistry,What is the name of the process by which a liquid changes into a solid?,Freezing,Melting,Deposition,Sublimation
Physics,What is the name of the force that holds the nucleus of an atom together?,Strong Nuclear Force,Electromagnetic Force,Weak Nuclear Force,Gravitational Force
Biology,What is the name of the process by which plants release water vapor into the atmosphere?,Transpiration,Respiration,Photosynthesis,Fermentation
Chemistry,What is the name of the process by which a gas changes into a solid?,Deposition,Sublimation,Condensation,Evaporation
Physics,What is the name of the law that states that for every action| there is an equal and opposite reaction?,Newton's Third Law of Motion,Newton's First Law of Motion,Newton's Second Law of Motion,Law of Gravitation
Biology,What is the name of the process by which molecules move from an area of high concentration to an area of low concentration?,Diffusion,Osmosis,Active Transport,Facilitated Diffusion
Chemistry,What is the name of the process by which a solid changes into a gas without going through the liquid phase?,Sublimation,Deposition,Melting,Freezing
Physics,What is the formula for power?,Power = Work ÷ Time,Power = Force x Distance,Power = Energy ÷ Time,Power = Velocity ÷ Time
