Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,Which of the following is defined as the amount of matter in an object?,Mass,Weight,Volume,Density
Chemistry,Which of the following is a measure of how much solute is dissolved in a solution?,Concentration,Temperature,Pressure,Volume
Biology,Which of the following is NOT one of the basic tastes detected by the human tongue?,Umami,Sour,Sweet,Spicy
Physics,Which of the following is a measure of how much force is applied per unit area?,Pressure,Temperature,Volume,Density
Chemistry,Which of the following is a measure of how acidic or basic a substance is?,pH,Concentration,Temperature,Pressure
Biology,Which of the following is the process by which plants convert sunlight into energy?,Photosynthesis,Respiration,Digestion,Circulation
Physics,Which of the following is a measure of the force of gravity on an object?,Weight,Mass,Density,Volume
Chemistry,Which of the following is the study of how matter interacts with energy?,Thermodynamics,Quantum mechanics,Electromagnetism,Relativity
Biology,Which part of the human brain is responsible for regulating basic autonomic functions such as breathing and heart rate?,Medulla oblongata,Cerebrum,Cerebellum,Hypothalamus
Physics,Which of the following is a measure of how much work is done in a certain amount of time?,Power,Energy,Force,Potential energy
Chemistry,Which of the following is a bond that results from the sharing of electrons between atoms?,Covalent bond,Ionic bond,Hydrogen bond,Van der Waals forces
Biology,Which of the following is the process by which cells break down glucose to produce energy?,Cellular respiration,Photosynthesis,Reproduction,Growth
Physics,Which of the following is a measure of the amount of matter in a given volume?,Density,Mass,Weight,Volume
Chemistry,Which of the following is a measure of the speed of a chemical reaction?,Rate,Concentration,Pressure,Temperature
Biology,Which of the following is a group of similar cells that perform a specific function?,Tissue,Organ,Organ system,Organism
Physics,Which of the following is a measure of the rate at which an object changes its velocity?,Acceleration,Velocity,Momentum,Force
Chemistry,Which of the following is a measure of the amount of heat required to raise the temperature of a substance by 1 degree Celsius?,Specific heat capacity,Latent heat,Enthalpy,Gibbs free energy
Biology,Which of the following is the organelle responsible for packaging and processing proteins in eukaryotic cells?,Golgi apparatus,Endoplasmic reticulum,Mitochondria,Lysosome
Physics,Which of the following is a measure of the resistance of a fluid to flow?,Viscosity,Density,Volume,Pressure
Chemistry,Which of the following is a measure of the amount of energy required to remove an electron from an atom or ion?,Ionization energy,Electronegativity,Electron affinity,Atomic radius
Biology,Which of the following is the stage of mitosis during which chromosomes condense and become visible?,Prophase,Metaphase,Anaphase,Telophase
