Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Pt
Physics,What is the formula for force?,F=ma,E=mc^2,P=E/t,W=Fd
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Chloroplast,Ribosome
Geology,What is the hardest mineral on the Mohs scale?,Diamond,Quartz,Topaz,Corundum
Chemistry,What is the chemical symbol for iron?,Fe,Ag,Cu,Pt
Physics,What is the equation for work?,W=Fd,F=ma,P=E/t,E=mc^2
Biology,What is the smallest unit of life?,Cell,Atom,Molecule,Organ
Geology,What type of rock is formed from cooled lava or magma?,Igneous,Rhyolite,Sedimentary,Metamorphic
Chemistry,What is the chemical symbol for sodium?,Na,K,Li,Ba
Physics,What is the equation for power?,P=E/t,W=Fd,F=ma,E=mc^2
Biology,Which system in the body controls the release of hormones?,Endocrine,Nervous,Circulatory,Respiratory
Geology,What type of rock is formed from layers of sediment?,Sedimentary,Igneous,Metamorphic,Rhyolite
Chemistry,What is the chemical symbol for oxygen?,O,N,H,He
Physics,What is the equation for velocity?,v=d/t,F=ma,E=mc^2,W=Fd
Biology,Which organ in the body produces insulin?,Pancreas,Liver,Lungs,Heart
Geology,What type of rock is formed when existing rocks are subjected to heat and pressure?,Metamorphic,Sedimentary,Igneous,Rhyolite
Chemistry,What is the chemical symbol for helium?,He,Ne,Ar,Kr
Physics,What is the equation for acceleration?,a=(v2-v1)/t,F=ma,P=E/t,W=Fd
Biology,Which system in the body is responsible for removing waste and excess water?,Urinary,Circulatory,Respiratory,Nervous
Geology,What is the term for the process by which water changes from a gas to a liquid?,Condensation,Evaporation,Precipitation,Freezing
Chemistry,What is the chemical symbol for nitrogen?,N,O,H,He
Physics,What is Newton's first law of motion?,an object at rest tends to stay at rest,force equals mass times acceleration,every action has an equal and opposite reaction,an object will continue in its state of motion unless acted upon by a net external force
Biology,Which system in the body is responsible for transporting oxygen and nutrients?,Circulatory,Nervous,Respiratory,Digestive
Geology,What is the term for the process by which a solid changes into a gas without becoming a liquid first?,Sublimation,Evaporation,Condensation,Freezing
Chemistry,What is the chemical symbol for carbon?,C,N,O,H
Physics,What is Newton's second law of motion?,force equals mass times acceleration,an object at rest tends to stay at rest,every action has an equal and opposite reaction,an object will continue in its state of motion unless acted upon by a net external force
Biology,Which organ in the body produces bile?,Liver,Kidney,Stomach,Pancreas
Geology,What is the term for the process by which water changes from a liquid to a gas?,Evaporation,Condensation,Precipitation,Freezing
Chemistry,What is the chemical symbol for calcium?,Ca,Mg,K,Na
Physics,What is Newton's third law of motion?,every action has an equal and opposite reaction,force equals mass times acceleration,an object at rest tends to stay at rest,an object will continue in its state of motion unless acted upon by a net external force
Biology,Which type of blood cell fights infections and diseases?,White blood cells,Red blood cells,Platelets,Plasma
Geology,Which type of rock is formed from the buildup of plant and animal remains?,Sedimentary,Igneous,Metamorphic,Rhyolite
Chemistry,What is the chemical symbol for sulfur?,S,O,N,C
Physics,What is the unit for measuring electric current?,Ampere,Volt,Ohm,Watt
Biology,Which system in the body is responsible for producing and secreting hormones?,Endocrine,Nervous,Circulatory,Respiratory
Geology,What is the term for the theory that Earth's outer shell is broken into plates that move and interact with each other?,Plate tectonics,Erosion,Weathering,Volcanism
Chemistry,What is the chemical symbol for potassium?,K,Na,Ca,Mg
Physics,What is the unit for measuring electric potential?,Volt,Ampere,Ohm,Watt
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Lungs
Geology,What is the term for a rapid shaking of the Earth caused by the movement of rocks along a fault line?,Earthquake,Volcanic eruption,Tsunami,Landslide
Chemistry,What is the chemical symbol for chlorine?,Cl,Br,F,I
Physics,What is the law of conservation of energy?,energy cannot be created or destroyed| only transferred,an object at rest tends to stay at rest,every action has an equal and opposite reaction,an object will continue in its state of motion unless acted upon by a net external force
Biology,Which system in the body is responsible for protecting the body from foreign substances and infections?,Immune,Nervous,Circulatory,Respiratory
Geology,What is the term for the process by which rocks and soil are moved from one location to another by wind or water?,Erosion,Weathering,Deposition,Transportation
Chemistry,What is the chemical symbol for phosphorus?,P,C,N,O
Physics,What is the unit for measuring resistance?,Ohm,Ampere,Volt,Watt
Biology,What is the name for the soft tissue found inside bones that produces red and white blood cells?,Bone marrow,Cartilage,Ligament,Tendon
Geology,What is the term for the process by which rocks break down due to exposure to weather and environmental conditions?,Weathering,Erosion,Deposition,Transportation
Chemistry,What is the chemical symbol for neon?,Ne,Ar,Kr,Xe
Physics,What is the unit for measuring frequency?,Hertz,Watt,Ohm,Ampere
Biology,Which system in the body is responsible for breaking down and absorbing nutrients from food?,Digestive,Nervous,Circulatory,Respiratory
Geology,What is the term for the process by which solid rock is turned into liquid due to high temperature and pressure?,Melting,Solidification,Deposition,Crystallization
Chemistry,What is the chemical symbol for silver?,Ag,Au,Cu,Pt
Physics,What is the unit for measuring force?,Newton,Joule,Watt,Ampere
Biology,Which organ in the body produces red blood cells?,Bone marrow,Liver,Pancreas,Kidney
Geology,What is the term for the process by which sediment is dropped or settles out of water or wind?,Deposition,Erosion,Weathering,Transportation
