Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Biology,Which type of cell is prokaryotic?,Bacteria,Fungi,Plant,Animal
Physics,Which law states that for every action there is an equal and opposite reaction?,Newton's Third Law,Boyle's Law,Charles's Law,Ohm's Law
Anatomy,What is the name of the largest bone in the human body?,Femur,Tibia,Humerus,Radius
Geology,What type of rock is formed by cooling magma or lava?,Igneous,Sedimentary,Metamorphic,Plutonic
Astronomy,What planet is closest to the sun?,Mercury,Venus,Mars,Jupiter
Botany,What part of a plant is responsible for photosynthesis?,Leaves,Stems,Roots,Flowers
Chemistry,What gas is produced when acids are mixed with carbonates?,Carbon dioxide,Oxygen,Hydrogen,Nitrogen
Zoology,What is the name for animals that give birth to live young?,Mammals,Reptiles,Birds,Fish
Physics,What is the SI unit for force?,Newton,Joule,Watt,Ampere
Anatomy,What organ produces insulin in the human body?,Pancreas,Liver,Kidney,Heart
Geology,What is the name for a sudden release of energy in the Earth's crust?,Earthquake,Volcano,Tsunami,Landslide
Astronomy,What is the name of the star at the center of our solar system?,Sun,Moon,Venus,Mars
Botany,What gas is produced during photosynthesis?,Oxygen,Carbon Dioxide,Water Vapor,Nitrogen
Chemistry,What does pH stand for?,Potential of Hydrogen,Potential of Helium,Power of Hydrogen,Power of Helium
Zoology,What is the name for animals that eat only plants?,Herbivores,Carnivores,Omnivores,Scavengers
Physics,What is the SI unit for energy?,Joule,Newton,Watt,Ampere
Anatomy,What is the name for the flexible tissue found at the end of bones?,Cartilage,Tendon,Ligament,Muscle
Geology,What is the name for the movement of the Earth's crust due to tectonic plates?,Plate Tectonics,Magnetic Pole Shift,Glaciation,Erosion
Astronomy,What is the name of the largest planet in our solar system?,Jupiter,Mars,Venus,Saturn
Botany,What is the name for the male part of a flower?,Stamen,Pistil,Petals,Sepals
Chemistry,What is the name for the process by which liquids turn into gases?,Evaporation,Condensation,Boiling,Freezing
Zoology,What is the name for the process by which animals shed their skin or feathers?,Molting,Shedding,Desquamation,Exfoliation
Physics,What is the name for the force that opposes the motion of an object through a fluid?,Drag,Lift,Turbulence,Friction
Anatomy,What is the name for the muscle that separates the chest and abdomen?,Diaphragm,Abdomen,Chest,Back
Geology,What is the name for the process by which rocks are broken down into smaller pieces?,Weathering,Erosion,Deposition,Molting
Astronomy,What is the name of the first man to walk on the moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin
Botany,What is the name for the female part of a flower?,Pistil,Stamen,Petals,Sepals
Chemistry,What is the name for a substance that speeds up a chemical reaction without being consumed?,Catalyst,Solvent,Solute,Reactant
Zoology,What is the name for animals that eat both plants and animals?,Omnivores,Carnivores,Herbivores,Scavengers
Physics,What is the name for the property of an object that resists changes in motion?,Inertia,Velocity,Acceleration,Momentum
Anatomy,What is the name for the tube that carries air from the mouth to the lungs?,Trachea,Bronchi,Esophagus,Larynx
Geology,What is the name for a type of rock formed by the compression of sediment over time?,Sedimentary,Metamorphic,Igneous,Plutonic
Astronomy,What is the name for a group of stars that appear to form a pattern?,Constellation,Galaxy,Nebula,Supernova
Botany,What is the name for a plant that lives for more than two years?,Perennial,Annual,Biennial,Deciduous
Chemistry,What is the name for the substance that dissolves in a solution?,Solute,Solvent,Solution,Suspension
Zoology,What is the name for the process by which animals produce offspring?,Reproduction,Metabolism,Respiration,Digestion
Physics,What is the name for the SI unit of frequency?,Hertz,Watt,Ampere,Newton
Anatomy,What is the name for the bone in the upper arm?,Humerus,Ulna,Radius,Femur
Geology,What is the name for a type of rock formed by changes in heat and pressure?,Metamorphic,Sedimentary,Igneous,Plutonic
Astronomy,What is the name for a natural satellite that orbits a planet?,Moon,Planetoid,Asteroid,Comet
Botany,What is the name for a plant that completes its life cycle in one year?,Annual,Perennial,Biennial,Evergreen
Chemistry,What is the name for the bond between two atoms sharing electrons?,Covalent,Ionic,Hydrogen,Van der Waals
Zoology,What is the name for animals that have a backbone?,Vertebrates,Invertebrates,Arthropods,Mollusks
Physics,What is the name for the quantity of matter in an object?,Mass,Weight,Density,Volume
Anatomy,What is the name for the muscle that pumps blood throughout the body?,Heart,Lungs,Diaphragm,Liver
Geology,What is the name for a type of rock formed by solidification of magma or lava?,Igneous,Sedimentary,Metamorphic,Plutonic
Astronomy,What is the name for the study of the universe?,Cosmology,Astronomy,Astrophysics,Astrology
Botany,What is the name for a plant that loses its leaves in the fall?,Deciduous,Evergreen,Annual,Perennial
Chemistry,What is the name for a compound that donates hydrogen ions in a solution?,Acid,Base,Salt,Neutral
Zoology,What is the name for animals that have no backbone?,Invertebrates,Vertebrates,Arthropods,Mollusks
