Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Anatomy,What is the part of the eye that detects color and detail?,A) Cones,B) Rods,C) Retina,D) Optic nerve
Anatomy,Which bone is commonly referred to as the kneecap?,Patella,Femur,Tibia,Fibula
Anatomy,What is the name for the upper arm bone?,Humerus,Radius,Ulna,Femur
Anatomy,What part of the brain is responsible for regulating body temperature?,A) Hypothalamus,B) Thalamus,C) Cerebellum,D) Medulla oblongata
Anatomy,What organ produces insulin in the human body?,Pancreas,Liver,Kidney,Heart
Anatomy,What is the name of the process by which oxygen is exchanged for carbon dioxide in the lungs?,Diffusion,Osmosis,Filtration,Active transport
Anatomy,What is the largest organ in the human body?,Skin,Liver,Lung,Heart
Anatomy,What is the name for the flexible tissue found at the end of bones?,Cartilage,Tendon,Ligament,Muscle
Anatomy,What is the name for the joint that connects the upper arm bone to the shoulder blade?,Glenohumeral,Elbow,Wrist,Hip
Anatomy,What is the name of the muscle that separates the chest cavity from the abdominal cavity?,Diaphragm,Abdominal rectus,Biceps brachii,Sternocleidomastoid
Anatomy,What is the largest organ in the human body?,Skin,Liver,Brain,Lungs
Anatomy,What is the name for the muscle that separates the chest and abdomen?,Diaphragm,Abdomen,Chest,Back
Anatomy,What is the largest organ in the human body?,Skin,Liver,Lungs,Heart
Anatomy,What is the name for the tube that carries air from the mouth to the lungs?,Trachea,Bronchi,Esophagus,Larynx
Anatomy,Which organ is responsible for filtering waste products from the blood?,Kidney,Liver,Gallbladder,Bladder
Anatomy,What is the main function of the stomach?,Digestion,Pumping Blood,Filtering Waste,Breathing
Anatomy,What is the name for the bone in the upper arm?,Humerus,Ulna,Radius,Femur
Anatomy,What is the name of the tube that carries food from the mouth to the stomach?,Esophagus,Trachea,Bronchus,Larynx
Anatomy,What is the largest organ in the human body?,A) Liver,B) Brain,C) Heart,D) Skin
Anatomy,What is the name for the muscle that pumps blood throughout the body?,Heart,Lungs,Diaphragm,Liver
Anatomy,What is the part of the eye that controls how much light enters?,Pupil,Iris,Lens,Retina
Anatomy,What is the bone in the upper arm called?,Humerus,Femur,Tibia,Radius
Anatomy,What is the scientific term for the collarbone?,A) Clavicle,B) Scapula,C) Humerus,D) Radius
Anatomy,What is the name of the joint that allows for rotation of the forearm?,Hinge joint,Ball and socket joint,Pivot joint,Saddle joint
Anatomy,What is the name of the largest bone in the human body?,Femur,Tibia,Humerus,Radius
Anatomy,What is the name for the muscle that separates the chest cavity from the abdominal cavity?,Diaphragm,Abdominal oblique,Pectoralis major,Biceps femoris
Anatomy,What is the part of the brain responsible for regulating sleep cycles?,A) Pineal gland,B) Pituitary gland,C) Hippocampus,D) Corpus callosum
Anatomy,What is the largest organ in the human body?,Skin,Liver,Brain,Heart
Anatomy,What is the name for the bone in the upper leg?,Femur,Tibia,Fibula,Patella
Anatomy,What is the name for the bone that connects the elbow to the shoulder?,Humerus,Radius,Ulna,Femur
Anatomy,What is the part of the brain responsible for processing visual information?,A) Occipital lobe,B) Frontal lobe,C) Temporal lobe,D) Parietal lobe
Anatomy,What is the name of the joint that connects the upper arm bone to the shoulder blade?,Ball and socket joint,Hinge joint,Pivot joint,Cartilaginous joint
Anatomy,What is the part of the ear that vibrates when sound waves enter?,A) Eardrum,B) Cochlea,C) Auditory canal,D) Vestibular system
Anatomy,What is the name of the muscle that separates the chest cavity from the abdominal cavity?,Diaphragm,Abdominus,Latissimus dorsi,Pectoralis major
Anatomy,What is the tough| flexible tissue that connects bone to muscle?,Tendon,Cartilage,Ligament,Epidermis
Anatomy,What is the name for the bones that make up the spine?,A) Vertebrae,B) Sternum,C) Pelvis,D) Femur
Anatomy,What is the name of the tube that connects the throat to the stomach?,Esophagus,Trachea,Bronchi,Larynx
Anatomy,What is the part of the eye that controls the amount of light that enters?,A) Iris,B) Pupil,C) Cornea,D) Lens
Anatomy,What is the part of the brain that controls balance and coordination?,A) Cerebellum,B) Hypothalamus,C) Thalamus,D) Amygdala
And so on.,,,,,
Astronomy,What is the name of the largest volcano in our solar system?,Olympus Mons,Maat Mons,Arsia Mons,Pavonis Mons
Astronomy,What is a nebula?,A cloud of gas and dust in space,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Astronomy,What is a comet?,A. A type of planet.,B. A type of star.,C. A type of asteroid.,D. A small icy object that orbits the sun.
Astronomy,What is a star?,A. A celestial object that produces its own light.,B. A celestial object that reflects light from the Sun.,C. A celestial object that emits radiation.,D. None of the above.
Astronomy,What is the name of the process by which stars convert hydrogen into helium?,Nuclear Fusion,Nuclear Fission,Electron Capture,Beta Decay
Astronomy,What is the name of the space probe that visited Pluto in 2015?,New Horizons,Voyager,Cassini,Galileo
Astronomy,What is the name of the phenomenon in which light waves are compressed or stretched depending on the motion of the observer?,Doppler effect,Red shift,Gravitational lensing,Black hole
Astronomy,What is an asteroid?,A small rocky object orbiting the sun,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Astronomy,What is the name of the planet with the Great Red Spot?,Jupiter,Venus,Mars,Saturn
Astronomy,What is the name of the closest galaxy to our Milky Way?,Andromeda,Canis Major Dwarf,Sagittarius Dwarf Elliptical,Triangulum
Astronomy,What is the name of the closest star to Earth| other than the Sun?,A. Proxima Centauri,B. Alpha Centauri,C. Barnard's Star,D. Sirius
Astronomy,What is the name of the largest moon in our solar system?,A. Titan,B. Ganymede,C. Europa,D. Io
Astronomy,What is the name of the second largest planet in our solar system?,Saturn,Jupiter,Uranus,Neptune
Astronomy,What is the name of the nearest galaxy to our own?,Andromeda,Messier 87,Whirlpool,Triangulum
Astronomy,What is the name of the bright| star-like object that appears near sunset or sunrise?,Venus,Mars,Jupiter,Saturn
Astronomy,What is a black hole?,A. A region of space with a gravitational field so intense that nothing can escape.,B. A region of space with no gravitational field.,C. A region of space with a supernatural force.,D. A region of space where dark matter exists.
Astronomy,What is the name of the largest known star in the universe?,UY Scuti,Betelgeuse,VY Canis Majoris,Antares
Astronomy,What is a planet?,A large celestial body that orbits a star and does not emit light of its own,A small celestial body that orbits a planet,A star that emits radio waves,A galaxy consisting of billions of stars
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Uranus
Astronomy,What is the name of the process by which a star uses nuclear fusion to create heavier elements?,Stellar nucleosynthesis,Supernova explosion,Black hole formation,Red giant expansion
Astronomy,What is the name of the small planet-like bodies that orbit the Sun?,Asteroids,Comets,TNOs,Moons
Astronomy,What is a black hole?,A region of space where gravity is so strong that nothing can escape,A dense ball of gas that emits light,A pulsating star that emits radio waves,A supernova explosion
Astronomy,What is the largest planet in our solar system?,Jupiter,Venus,Mars,Saturn
Astronomy,What is the name of one of the moons of Mars?,Phobos,Deimos,Tethys,Europa
Astronomy,"Which planet is nicknamed the ""Red Planet""?",Mars,Venus,Jupiter,Saturn
Astronomy,What is the name of the galaxy we live in?,Milky Way,Andromeda,Black Eye,Whirlpool
Astronomy,What is the name of the brightest star in the night sky?,Sirius,Vega,Capella,Betelgeuse
Astronomy,What is the name of the largest asteroid in our solar system?,Ceres,Vesta,Eros,Hygiea
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Whirlpool,Triangulum
Astronomy,What is the name of the first man to walk on the moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Alan Shepard
Astronomy,What is the name of the region of space just outside the Earth's atmosphere where small debris can be found?,Exosphere,Thermosphere,Mesosphere,Stratosphere
Astronomy,What is a meteorite?,A piece of rock or metal that has fallen to Earth from space,A small| icy body that orbits the sun,A rocky planet,None of the above.
Astronomy,What is a galaxy?,A system of stars| gas| and dust held together by gravity,A planet orbiting a star,A small| icy body that orbits the sun,None of the above.
Astronomy,At what point in Earth's orbit is the Summer Solstice reached in the Northern Hemisphere?,A. June,B. March,C. December,D. September
Astronomy,What is a comet?,A small icy object orbiting the sun,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Astronomy,What is the planet farthest from the sun in our solar system?,A. Saturn,B. Uranus,C. Neptune,D. Pluto
Astronomy,What is the name of the galaxy that contains the solar system?,A. Andromeda,B. Milky Way,C. Triangulum,D. Sombrero
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Astronomy,What is the name of the largest asteroid in our solar system?,Ceres,Vesta,Eros,Gaspra
Astronomy,What is the name of the second largest planet in our solar system?,Saturn,Jupiter,Uranus,Neptune
Astronomy,What is a supernova?,The explosion of a star,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Astronomy,What is a supernova?,A. When a star runs out of fuel and collapses.,B. When two stars collide and merge.,C. When a star explodes and releases a tremendous amount of energy.,D. When a star emits a burst of radiation.
Astronomy,What is the name of the spacecraft that carried humans to the moon?,Apollo,Challenger,Columbia,Endeavor
Astronomy,What is a light-year?,A. The distance traveled by light in one second.,B. The distance traveled by light in one hour.,C. The distance traveled by light in one year.,D. The distance traveled by light in one minute.
Astronomy,What is a meteor?,A small| fast-moving celestial object that burns up upon entering the Earth's atmosphere,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Astronomy,What is the largest planet in our solar system?,A. Saturn,B. Jupiter,C. Uranus,D. Nepture
Astronomy,What is the name of the largest moon of Saturn?,Titan,Enceladus,Tethys,Rhea
Astronomy,What are the four jovian planets?,Jupiter| Saturn| Uranus| Neptune,Mercury| Venus| Earth| Mars,Pluto| Haumea| Makemake| Eris,Ceres| Vesta| Pallas| Hygiea
Astronomy,What is a meteorite?,A. A meteor that enters the Earth's atmosphere.,B. A meteor that strikes the surface of the Earth.,C. A piece of orbiting space debris.,D. A type of constellation.
Astronomy,What is the name of the phenomenon in which light is spread out into its constituent colors?,Diffraction,Refraction,Dispersion,Absorption
Astronomy,What is the name of the closest star to our solar system?,Proxima Centauri,Alpha Centauri,Sirius,Betelgeuse
Astronomy,What is the name of the region in the solar system beyond the orbit of Neptune?,Kuiper Belt,Main Belt,Scattered Disk,Oort Cloud
Astronomy,What is the name of the first man-made object to reach interstellar space?,Voyager 1,Voyager 2,New Horizons,Pioneer 10
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Venus
Astronomy,What is the name of the closest star system to ours?,Alpha Centauri,Proxima Centauri,Barnard's Star,Wolf 359
Astronomy,What is the name of the force that causes the Moon to orbit the Earth?,Gravity,Electromagnetic force,Strong force,Weak force
Astronomy,What is the name of the planet closest to the sun?,Mercury,Venus,Mars,Earth
Astronomy,What is the name of the process that powers the Sun?,Nuclear Fusion,Nuclear Fission,Mass Defect,Black Hole
Astronomy,What is the name given to a grouping of stars?,Galaxy,Constellation,Cluster,Nebula
Astronomy,What is the name of the second planet from the sun?,Venus,Mercury,Earth,Mars
Astronomy,What is the name of the largest moon in our solar system| which orbits Jupiter?,Ganymede,Titan,Enceladus,Triton
Astronomy,What is the name of the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Astronomy,What is the name of the spacecraft that landed on Mars in 2012?,Curiosity,Opportunity,Spirit,Sojourner
Astronomy,What is the name of the phenomenon by which light is bent as it passes through a gravitational field?,Gravitational lensing,Redshift,Blueshift,Doppler effect
Astronomy,What is the name of the asteroid belt located between Mars and Jupiter?,Main belt,Kuiper belt,Oort cloud,Taurid complex
Astronomy,What is the name of the first spacecraft to land on the moon?,Apollo 11,Voyager 1,Pioneer 10,Cassini
Astronomy,What is the name of the red supergiant star that is expected to go supernova at some point?,Betelgeuse,Antares,Canopus,Vega
Astronomy,What is the force that keeps planets and other objects in orbit around the sun?,Gravity,Magnetism,Electromagnetism,Nuclear force
Astronomy,What is the name of the theory that explains the origin of the universe?,Big Bang theory,Steady state theory,Pulsating universe theory,Inflationary universe theory
Astronomy,What is the name of the Hubble Space Telescope's main camera?,Advanced Camera for Surveys,Wide Field Camera 3,Cosmic Origins Spectrograph,Space Telescope Imaging Spectrograph
Astronomy,What is the name of the second brightest star in the night sky?,Canopus,Sirius,Arcturus,Vega
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Triangulum,Centaurus A
Astronomy,What is the name of the belt of asteroids between Mars and Jupiter?,Asteroid Belt,Kuiper Belt,Oort Cloud,Haumea
Astronomy,What is the name of the star closest to the earth?,Proxima Centauri,Alpha Centauri A,Alpha Centauri B,Barnard's Star
Astronomy,What is the name of the largest volcano in our solar system| located on Mars?,Olympus Mons,Mauna Loa,Mount St. Helens,Etna
Astronomy,What is the name of the largest planet in our solar system?,Jupiter,Saturn,Mars,Venus
Astronomy,What is the name of the largest moon of Saturn?,Titan,Rhea,Iapetus,Enceladus
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
