Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Astronomy,What is the largest planet in our solar system?,Jupiter,Mars,Venus,Saturn
Biology,Which of the following is NOT a component of a nucleotide?,Carbon dioxide,Sugar,Phosphate group,Nitrogenous base
Chemistry,What is the formula for water?,H2O,CO2,CH4,NH3
Physics,What is the formula for acceleration?,a = (vf - vi) / t,a = vf x t,a = (vf + vi) x t,a = vf / t
Geology,Which layer of the Earth is the thickest?,The mantle,The outer core,The inner core,The crust
Astronomy,What is the name of the nearest star to Earth?,Proxima Centauri,Alpha Centauri A,Alpha Centauri B,Barnard's Star
Biology,What is the process by which plants make their own food?,Photosynthesis,Chemosynthesis,Respiration,Diffusion
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Physics,What is the SI unit for force?,Newton,Watt,Joule,Ampere
Geology,What type of rock is formed by volcanic activity?,Igneous,Sedimentary,Metamorphic,Granitic
Astronomy,What is the name of the largest moon in our solar system?,Ganymede,Enceladus,Titania,Charon
Biology,What is the part of the cell that is responsible for breaking down waste and old cell parts?,Lysosome,Nucleus,Mitochondria,Chloroplast
Chemistry,What is the common name for sodium chloride?,Salt,Sugar,Baking soda,Bleach
Physics,What type of energy is associated with motion?,Kinetic,Potential,Nuclear,Thermal
Geology,What type of rock is formed from the remains of once-living organisms?,Sedimentary,Igneous,Metamorphic,Granitic
Astronomy,What is the name of the smallest planet in our solar system?,Mercury,Mars,Venus,Jupiter
Biology,What is the part of the cell where proteins are made?,Ribosome,Golgi apparatus,Endoplasmic reticulum,Nucleus
Chemistry,What is the chemical symbol for oxygen?,O,C,H,N
Physics,What is the formula for work?,W = Fd,W = F x a,W = ma,W = P x A
Geology,What type of rock is formed by heat and pressure?,Metamorphic,Sedimentary,Igneous,Granitic
Astronomy,What is the name of the brightest star in our night sky?,Sirius,Betelgeuse,Vega,Canopus
Biology,What is the part of the cell that contains DNA?,Nucleus,Mitochondria,Lysosome,Ribosome
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CH4,H2O,O2
Physics,What is the unit for measuring electrical resistance?,Ohm,Amp,Volt,Watt
Geology,What type of rock is formed from magma and lava?,Igneous,Sedimentary,Metamorphic,Granitic
Astronomy,What is the name of the fifth planet from the sun?,Jupiter,Mars,Venus,Saturn
Biology,What is the name of the process by which cells divide?,Mitosis,Meiosis,Fertilization,Replication
Chemistry,What is the common name for hydrochloric acid?,Muriatic acid,Sulfuric acid,Nitric acid,Acetic acid
Physics,What is the formula for electric charge?,Q = It,Q = V / I,Q = Pt,Q = F x d
Geology,What is the name of the type of rock that is formed from shells and other organic material?,Limestone,Granite,Basalt,Marble
Astronomy,What is the name of the planet with the most moons?,Jupiter,Saturn,Uranus,Neptune
Biology,What is the process by which cells convert food into usable energy?,Cellular respiration,Fermentation,Anaerobic respiration,Photosynthesis
Chemistry,What is the chemical symbol for carbon?,C,O,H,N
Physics,What is the formula for power?,P = W / t,P = F x d,P = V / I,P = m x g x h
Geology,What is the name of the process by which rocks are broken down into smaller pieces?,Weathering,Erosion,Deposition,Metamorphism
Astronomy,What is the name of the farthest planet from the sun in our solar system?,Neptune,Uranus,Saturn,Jupiter
Biology,What process do plants use to release excess water into the atmosphere?,Transpiration,Photosynthesis,Cellular respiration,Fermentation
Chemistry,What is the common name for acetic acid?,Vinegar,Baking soda,Bleach,Muriatic acid
Physics,What is the formula for potential energy?,PE = mgh,PE = 1/2mv^2,PE = Fd,PE = P x t
Geology,What is the name of the process by which rocks are moved from one place to another?,Erosion,Deposition,Weathering,Metamorphism
Astronomy,What is the name of the largest volcano in our solar system| located on Mars?,Olympus Mons,Mauna Kea,Mt. Everest,Mt. Kilimanjaro
Biology,What type of genetic mutation is caused by the deletion or insertion of nucleotides?,Frameshift,Missense,Nonsense,Silent
Chemistry,What type of chemical reaction is associated with the combination of two or more substances into a single product?,Synthesis,Decomposition,Combustion,Oxidation
Physics,What is the formula for the speed of light?,c = 3.00 x 10^8 m/s,c = 6.626 x 10^-34 Js,c = V x I,c = m / v
Geology,What is the name for the type of rock that is created from the solidification of magma or lava?,Igneous,Metamorphic,Sedimentary,Granitic
