Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for carbon?,C,N,O,H
Biology,What is the name of the process by which plants make their own food?,Photosynthesis,Respiration,Fermentation,Digestion
Physics,What is the relationship between force| mass| and acceleration called?,Newton's second law,Newton's first law,Newton's third law,Newton's law of gravity
Geology,What is the hardest mineral on the Mohs scale?,Diamond,Quartz,Topaz,Corundum
Astronomy,What is the name of the planet that is closest to the sun?,Mercury,Venus,Mars,Jupiter
Chemistry,What is the charge of a proton?,Positive,Negative,Neutral,Variable
Biology,What is the name of the process by which cells divide?,Mitosis,Meiosis,Photosynthesis,Respiration
Physics,What is the SI unit of power?,Watt,Joule,Ampere,Volt
Geology,What is the name of the type of rock that is formed from cooled magma or lava?,Igneous,Sedimentary,Metamorphic,Granite
Astronomy,What is the name of the force that holds planets in orbit around the sun?,Gravity,Magnetism,Electricity,Friction
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Biology,What is the name of the process by which living things break down food to release energy?,Respiration,Photosynthesis,Fermentation,Digestion
Physics,What is the SI unit of frequency?,Hertz,Watt,Joule,Ampere
Geology,What is the process by which rocks are broken down into smaller pieces?,Weathering,Erosion,Volcanism,Metamorphism
Astronomy,What is the name of the nearest galaxy to the Milky Way?,Andromeda,Triangulum,Canis Major Dwarf,Large Magellanic Cloud
Chemistry,What is the chemical symbol for iron?,Fe,Cu,Ag,Au
Biology,What is the name of the molecule that stores the genetic information in living things?,DNA,RNA,Protein,Carbohydrate
Physics,What is the law that states that energy cannot be created or destroyed| only transformed from one form to another?,The law of conservation of energy,Newton's law of gravitation,The second law of thermodynamics,The principle of least action
Geology,What is the name of the type of rock that is formed from the accumulation of sediment?,Sedimentary,Igneous,Metamorphic,Granite
Astronomy,What is the name of the phenomenon that causes the apparent shift in the frequency of waves when the source and observer are in relative motion?,Doppler effect,Hubble's law,Redshift,Expansion of the universe
Chemistry,What is the chemical symbol for sodium?,Na,K,Li,Rb
Biology,What is the name of the organelle that produces energy for the cell?,Mitochondria,Chloroplast,Nucleus,Endoplasmic reticulum
Physics,What is the law that states that the pressure and volume of a gas are inversely proportional to each other?,Boyle's law,Charles's law,Gay-Lussac's law,The ideal gas law
Geology,What is the name of the process by which a rock changes form or texture due to heat and pressure?,Metamorphism,Igneous intrusion,Erosion,Weathering
Astronomy,What is the name of the object that is at the center of a black hole?,Singularity,Event horizon,Quasar,Neutron star
Chemistry,What is the chemical symbol for oxygen?,O,N,C,H
Biology,What is the name of the molecule that carries oxygen in the blood?,Hemoglobin,Chlorophyll,Myoglobin,Adenosine triphosphate
Physics,What is the name of the force that holds atoms together in a molecule?,Chemical bond,Ionic bond,Covalent bond,Van der Waals force
Geology,What is the name of the process by which rocks and minerals are transported from one location to another?,Erosion,Deposition,Weathering,Molting
Astronomy,What is the name of the instrument used to measure the brightness of stars?,Photometer,Spectrometer,Telescope,Microscope
Chemistry,What is the chemical symbol for helium?,He,Ne,Ar,Kr
Biology,What is the name of the process by which RNA is synthesized from DNA?,Transcription,Translation,Replication,Mutation
Physics,What is the name of the process by which light is bent when passing from one medium to another?,Refraction,Reflection,Diffraction,Interference
Geology,What is the name of the process by which a rock is transformed into a completely new type of rock?,Recrystallization,Melting,Crystallization,Metamorphism
Astronomy,What is the name of the force that causes the tides on Earth?,Gravity,Magnetism,Electricity,Friction
Chemistry,What is the chemical symbol for silver?,Ag,Au,Cu,Fe
Biology,What is the name of the molecule that stores energy in cells?,Adenosine triphosphate (ATP),DNA,RNA,Carbohydrate
Physics,What is the name of the particle that carries electric charge?,Electron,Proton,Neutron,Photon
Geology,What is the name of the rock that forms when limestone is subjected to heat and pressure?,Marble,Granite,Slate,Sandstone
Astronomy,What is the name of the process by which stars release their energy?,Nuclear fusion,Nuclear fission,Radioactive decay,Chemical reaction
Chemistry,What is the chemical symbol for neon?,Ne,He,Kr,Ar
Biology,What is the name of the molecule that provides the building blocks for proteins?,Amino acids,Nucleotides,Fatty acids,Glucose
Physics,What is the name of the force that causes charged objects to attract or repel each other?,Electromagnetic force,Gravity,Strong nuclear force,Weak nuclear force
Geology,What is the name of the sedimentary rock that forms from the accumulation of organic matter?,Coal,Oil shale,Limestone,Chalk
Astronomy,What is the name of the phenomenon in which a star collapses in on itself and becomes extremely dense?,Black hole,Neutron star,Supernova,White dwarf
Chemistry,What is the chemical symbol for nitrogen?,N,O,C,H
Biology,What is the name of the molecule that makes up the cell membrane?,Phospholipid,Protein,Carbohydrate,Cholesterol
Physics,What is the name of the principle that states that the total momentum of a system remains constant if no external forces act on the system?,Conservation of momentum,Conservation of energy,Law of gravitation,Principle of least action
Geology,What is the name of the type of rock that forms from the alteration of other rocks by heat and pressure?,Metamorphic,Sedimentary,Igneous,Granite
Astronomy,What is the name of the process by which stars and planets are formed from clouds of gas and dust?,Nebular theory,Big bang,Stellar evolution,Black hole formation
