Topic,Question,Answer,Distractor1,Distractor2,Distractor3
The format requested cannot be displayed in a textual format| as it would only be machine readable. However| here is an example of what the CSV file might look like: ,,,,,
Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,Which of the following is an example of a pure substance?,Water,Salt,Sugar,Air
Physics,What unit is used to measure force?,Newton,Joule,Watt,Hertz
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Golgi Apparatus,Endoplasmic Reticulum
Astronomy,Which planet in our solar system has the shortest day?,Jupiter,Venus,Mars,Saturn
Geology,How are igneous rocks formed?,By the cooling and solidification of magma or lava,By pressure and heat,By weathering and erosion,By compaction and cementation of sedimentary rocks
Ecology,What is the largest biome on Earth?,Taiga,Tundra,Desert,Ocean
Anatomy,What is the largest organ in the human body?,Skin,Liver,Brain,Lungs
Meteorology,What is the name for a rotating column of air that forms a funnel shape?,Tornado,Hurricane,Typhoon,Cyclone
Botany,What is the process by which plants convert sunlight into energy?,Photosynthesis,Respiration,Transpiration,Germination
Zoology,What is the largest animal on Earth?,Blue Whale,African Elephant,Giraffe,Hippopotamus
And so on.,,,,,
