Index,Question,Answer,Distractor1,Distractor2,Distractor3
3059,"Some fish will be over-fished to the point that their species ceases to exist, which is also known as what?",extinction,endangered,accumulation,abundance
5040,What is the study of rock strata called?,stratigraphy,biochemistry,chemistry,biology
9552,What is the most commonly used source of energy in the world?,oil,electricity,wind,water
10960,Which  type of cell division halves the number of chromosomes?,meiosis,fragmentation,budding,mitosis
574,How many ways are there for a species to go extinct?,two,four,eight,Ten
9358,Light from objects at different distances is focused by what part of the eye?,lens,iris,pupil,meniscus
282,What is the official name for the study of life?,biology,chemistry,geology,botany
848,Types of radiation that cause cancer include ultraviolet (uv) radiation and what?,radon,thermal,molecular,vibrational
6586,"The earliest cells were prokaryotes, surrounded by a cell membrane but lacking which key structure?",nucleus,mitochondria,ribosomes,lysosomes
22,"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",dead zones,inhabitable zones,hostile zones,fresh zones
201,The noble gases are unreactive because of their?,electron configurations,cell configurations,proton configurations,carbon content
7178,Electrical energy consumed can be expressed as the product of power multiplied by what else?,time,work,energy,speed
6040,What structure of a cell is enclosed by a membrane and contains most of the cell’s dna?,nucleus,vacuole,ribosome,epidermis
10468,The mechanical advantage of a machine is related to how it changes what?,force,pressure,nature,example
5446,About one-third of the human cerebral cortex is dedicated to analyzing and perceiving information related to what sense?,vision,hearing,touch,taste
4721,Glucocorticoids and mineralocorticoids are the two main types of what in humans?,corticosteroids,carotenoids,metabolites,hormones
6643,Prokaryotes divide via binary fission and do not undergo what process of cell division?,mitosis,prophase,meiosis,fusion
52,During what part of a person's development are they generally at their physical peak?,early adulthood,late adulthood,infancy,senility
11657,What is the term for tough protein fibers that connects bones to each other?,ligaments,tetons,cords,muscles
5239,What are two ways cnidarians are able to reproduce?,asexually and sexually,mitosis and meiosis,spawning and sexual,internally and externally
8869,Which factor causes a cannon ball to move horizontally and then fall on the ground?,projectile motion,cone motion,fluid motion,downward motion
4850,"What are drumlins, eskers, and kettle lakes formed by?",glaciers,earthquakes,meteors,tsunamis
208,What does the term decay in chemistry refer to with regards to atoms?,changes in nuclei,pressures in nuclei,destruction of nuclei,separation of nuclei
60,What type of bonds are formed by the side-to-side overlap of p orbitals?,pi bonds,sigma bonds,omega bonds,theta bonds
6786,What is the process of larva becoming an adult called?,metamorphosis,parthenogenesis,synthesis,evolution
2265,Minerals form when they precipitate from hot fluids that have done what?,cooled down,heated up,dried out,accelerated down
2799,Body waves travel through the earth and arrive at seismograms before what?,surface waves,sound waves,velocity waves,function waves
94,What is the division of the cytoplasm in eukaryotic cells?,cytokinesis,electrolysis,andronisis,metamorphosis
11004,The most powerful or influential individual in a group is sometimes called what?,dominant,superior,gamma,beta
11016,"Tendon, cartilage, and bone are examples of what type of tissue that supports and binds other tissues of the body?",connective tissue,muscular tissue,untreated tissue,repetitive tissue
921,What do we call the visible part of the electromagnetic spectrum?,light,weight,radio,electricity
6803,What is the diversity of living things called?,biodiversity,habitat,adaptation,ecosystem
183,What is made in the liver and excreted in urine?,urea,feces,plasma,blood
8964,What term did schrödinger use for regions around the nucleus where electrons are most likely to be?,orbitals,arrays,isotopes,ellipses
7807,What color is neptune?,blue,yellow,pink,white
836,What type of cells detect stimuli?,sensory nerve cells,expressive nerve cells,grid nerve cells,muscle cells
545,What is the three-dimensional structure of a single polypeptide called?,tertiary structure,immature Structure,Cysteine structure,immature structure
4460,What is the term for chordates with a vertebral column and endoskeleton of cartilage and bone?,vertebrate,am,insect,mammel
4927,In which organ of the body does gluconeogenesis primarily take place?,liver,kidney,spleen,heart
7128,"When gametes unite during fertilization, the resulting zygote inherits two of what for each gene, one from each parent?",alleles,chromosomes,genomes,molecules
17,What occurs when the immune system attacks a harmless substance that enters the body from the outside?,allergy,panic attack,nausea,plague
2269,"What kind of process occurs naturally under certain conditions, unlike its opposite, which will not take place unless it is “driven” by the continual input of energy from an external source?",spontaneous process,controlled process,noticeable process,activation process
