Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the atomic symbol for gold?,Au,Ag,Cu,Pt
Earth Science,What is the innermost layer of the Earth?,Inner Core,Outer Core,Mantle,Crust
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Lungs
Physics,What is the SI unit of force?,Newton,Watt,Volt,Joule
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,CH4
Earth Science,What is the term for the movement of tectonic plates?,Plate Tectonics,Plate Movement,Earthquakes,Volcanoes
Biology,What is the process by which plants convert light energy into chemical energy?,Photosynthesis,Respiration,Digestion,Assimilation
Physics,What is the formula for calculating velocity?,Velocity = displacement/time,Velocity = distance/time,Velocity = speed x time,Velocity = acceleration x time
Chemistry,What is the pH of a neutral solution?,7,6,8,9
Earth Science,What is the layer of the atmosphere closest to the Earth's surface?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Biology,What is the process by which cells divide into two identical daughter cells?,Mitosis,Meiosis,Fertilization,Differentiation
Physics,What is the SI unit of pressure?,Pascal,Newton,Watt,Joule
Chemistry,What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2
Earth Science,What is the process by which sedimentary rocks are formed?,Lithification,Erosion,Deposition,Melting
Biology,What are the two main categories of cells?,Prokaryotic and Eukaryotic,Animal and Plant,Nerve and Blood,Stem and Skin
Physics,What is the formula for calculating work?,Work = force x distance,Work = mass x acceleration,Work = energy/time,Work = power x time
Chemistry,What is the chemical formula for methane?,CH4,CO2,CO,H2O
Earth Science,What causes the Earth's seasons?,Tilt of the Earth's axis,Distance from the sun,Rotation of the Earth,Orbit of the Moon
Biology,What is the process by which proteins are made in a cell?,Translation,Transcription,Replication,Mutation
Physics,What is the formula for calculating kinetic energy?,Kinetic Energy = 1/2 x mass x velocity squared,Kinetic Energy = mass x velocity,Kinetic Energy = force x distance,Kinetic Energy = power x time
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CO,CH4,H2O
Earth Science,What is the natural satellite of the Earth?,Moon,Mars,Jupiter,Saturn
Biology,What is the molecule that stores genetic information in a cell?,DNA,RNA,Protein,Carbohydrate
Physics,What is the formula for calculating power?,Power = work/time,Power = force x distance,Power = energy/time,Power = mass x acceleration
Chemistry,What gas is used for photosynthesis?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen
Earth Science,What is the process by which rocks are broken down into smaller pieces?,Weathering,Erosion,Deposition,Compaction
Biology,What is the process by which cells break down food to release energy?,Cellular Respiration,Photosynthesis,Digestion,Assimilation
Physics,What is the formula for calculating potential energy?,Potential Energy = mass x gravity x height,Potential Energy = mass x velocity squared,Potential Energy = force x distance,Potential Energy = power x time
Chemistry,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Helium
Earth Science,What is the layer of the atmosphere that contains the ozone layer?,Stratosphere,Troposphere,Mesosphere,Thermosphere
Biology,What is the process by which molecules move from areas of high concentration to areas of low concentration?,Diffusion,Osmosis,Filtration,Active Transport
Physics,What is the formula for calculating force?,Force = mass x acceleration,Force = energy/distance,Force = power/time,Force = velocity/time
Chemistry,What is the chemical symbol for oxygen?,O,H,He,N
Earth Science,What is the process by which sediment is transported by wind or water?,Erosion,Deposition,Weathering,Compaction
Biology,What is the process by which cells obtain energy by using oxygen?,Cellular Respiration,Photosynthesis,Digestion,Assimilation
Physics,What is the formula for calculating acceleration?,Acceleration = change in velocity/time,Acceleration = force/mass,Acceleration = energy x distance,Acceleration = power/time
Chemistry,What is the chemical formula for glucose?,C6H12O6,CH4,CO2,H2O
Earth Science,What is the layer of the Earth that is solid rock?,Mantle,Crust,Outer Core,Inner Core
Biology,What is the process by which cells divide to produce sex cells?,Meiosis,Mitosis,Fertilization,Differentiation
Physics,What is the formula for calculating density?,Density = mass/volume,Density = mass x volume,Density = force x distance,Density = power x time
Chemistry,What is the process by which a liquid turns into a gas?,Evaporation,Condensation,Sublimation,Melting
Earth Science,What is the process by which rocks are transformed into new rock by heat and pressure?,Metamorphism,Weathering,Erosion,Deposition
Biology,What is the process by which cells communicate with each other using chemical signals?,Cell Signaling,Cellular Respiration,Photosynthesis,Digestion
Physics,What is the formula for calculating force of gravity?,Force of Gravity = (GM1M2)/d^2,Force of Gravity = (GM1M2)/r^2,Force of Gravity = (GM1M2)/d,Force of Gravity = (GM1M2)/r
Chemistry,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,KOH
Earth Science,What is the process by which rocks are moved from one location to another?,Transport,Erosion,Deposition,Weathering
Biology,What is the process by which cells differentiate into specialized cells?,Differentiation,Mitosis,Meiosis,Fertilization
Physics,What is the formula for calculating momentum?,Momentum = mass x velocity,Momentum = force x time,Momentum = acceleration x time,Momentum = power/time
