Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,Which of these is not a macromolecule?,Lipid,Acid,Protein,Carbohydrate
Chemistry,What is the pH of pure water?,7,1,14,0
Physics,What is the formula for acceleration?,a=F/m,a=m/F,a=F+m,a=F-m
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Lysosome
Chemistry,Which element has the symbol Hg?,Mercury,Iron,Gold,Silver
Physics,Which law describes the conservation of energy?,First law of thermodynamics,Second law of thermodynamics,Newton's first law,Newton's second law
Biology,What is the process by which a plant makes its own food?,Photosynthesis,Respiration,Fermentation,Oxidation
Chemistry,What is the most abundant gas in the atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen
Physics,What is the formula for density?,D=m/v,D=v/m,D=mv,D=m-v
Biology,What is the smallest unit of life?,Cell,Atom,Molecule,Organelle
Chemistry,What is the chemical symbol for sodium?,Na,K,Ca,Mg
Physics,What force keeps planets in orbit around the sun?,Gravity,Magnetism,Friction,Tension
Biology,What is the function of the red blood cells?,Carry oxygen,Break down food,Fight infection,Move bones
Chemistry,Which type of chemical bond involves the sharing of electrons?,Covalent,Ionic,Hydrogen,Van der Waals
Physics,What is the SI unit for force?,Newtons,Meters,Joules,Watts
Biology,What is the function of the ribosomes?,Make proteins,Produce energy,Remove waste,Protect the cell
Chemistry,Which element has the symbol Pb?,Lead,Lithium,Beryllium,Copper
Physics,What is the formula for work?,W=F*d,W=F+d,W=F/d,W=F-d
Biology,What is the name for the process of breaking down glucose to make ATP?,Cellular respiration,Photosynthesis,Fermentation,Oxidation
Chemistry,What is the most abundant metal in the earth's crust?,Aluminum,Iron,Calcium,Sodium
Physics,What is the formula for potential energy?,PE=mgh,PE=mh/g,PE=mg/h,PE=g/mh
Biology,What is the function of the golgi apparatus?,Process and package proteins,Store nutrients,Destroy waste,Control cell division
Chemistry,Which element has the symbol Co?,Cobalt,Copper,Carbon,Chlorine
Physics,What is the formula for power?,P=W/t,P=t/W,P=W-t,P=W+t
Biology,What is the name for the network of protein fibers that help maintain cell shape?,Cytoskeleton,Endoplasmic reticulum,Lysosome,Ribosome
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,SO2
Physics,What is the formula for momentum?,p=mv,p=vm,p=m+v,p=m-v
Biology,What is the function of the lysosome?,Break down waste,Make proteins,Control cell division,Regulate temperature
Chemistry,What is the chemical symbol for magnesium?,Mg,Na,K,Ca
Physics,What is the formula for velocity?,v=d/t,v=t/d,v=d*t,v=d-t
Biology,What is the name for the process by which chromosomes are copied?,Replication,Transcription,Translation,Mitosis
Chemistry,Which type of chemical bond involves the transfer of electrons?,Ionic,Covalent,Hydrogen,Van der Waals
Physics,What is the formula for kinetic energy?,KE=½mv²,KE=m/v²,KE=m*V²,KE=½mV
Biology,What is the function of the mitochondria?,Produce energy,Remove waste,Protect the cell,Package proteins
Chemistry,Which element has the symbol Ag?,Silver,Gold,Aluminum,Calcium
Physics,What is the formula for electric power?,P=IV,P=V/I,P=IR,P=RI
Biology,What is the name for the process by which RNA is made from DNA?,Transcription,Translation,Replication,Mitosis
Chemistry,What is the chemical symbol for helium?,He,Ne,Ar,Kr
Physics,What is the formula for electric current?,I=V/R,I=VR,I=R/V,I=V+R
Biology,What is the name for the process by which RNA codes for a protein?,Translation,Transcription,Replication,Mitosis
Chemistry,What is the most reactive non-metal?,Fluorine,Oxygen,Chlorine,Bromine
Physics,What is the formula for electric resistance?,R=V/I,R=VI,R=V+I,R=V-I
Biology,What is the name for the organelle that contains DNA?,Nucleus,Mitochondria,Ribosome,Lysosome
Chemistry,What is the chemical symbol for carbon?,C,H,O,N
Physics,What is the formula for electric voltage?,V=IR,V=I/R,V=I+R,V=I-R
