Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Chloroplast,Ribosome
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Hg
Physics,What is the formula for force?,Force = mass x acceleration,Force = acceleration x mass,Force = mass / acceleration,Force = acceleration / mass
Biology,Which gas do plants release during photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen
Chemistry,What is the symbol for helium?,He,H,Li,Ne
Physics,What is the speed of light?,299|792|458 meters per second,100 meters per second,1|000 meters per second,10|000 meters per second
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Lungs
Chemistry,What is the pH of water?,7,8,6,9
Physics,What is the unit for measuring electric current?,Ampere,Ohm,Watt,Volt
Biology,What is the smallest bone in the human body?,Stapes (in the ear),Femur,Tibia,Humerus
Chemistry,What is the chemical symbol for sodium?,Na,K,Cl,Li
Physics,What is Newton's third law of motion?,For every action| there is an equal and opposite reaction,An object at rest will remain at rest unless acted upon by a force,Force equals mass times acceleration,The velocity of an object remains constant unless acted upon by a force
Biology,What is the process by which plants make their own food?,Photosynthesis,Respiration,Digestion,Ingestion
Chemistry,What is the chemical formula for water?,H2O,CO2,O2,C6H12O6
Physics,What is the unit for measuring energy?,Joule,Watt,Volt,Ampere
Biology,What is the middle layer of the skin?,Dermis,Epidermis,Subcutis,Follicle
Chemistry,What is the chemical symbol for iron?,Fe,Au,Ag,Hg
Physics,What is the formula for calculating work?,Work = force x distance,Work = distance / force,Work = force / distance,Work = distance x force
Biology,What is the main function of the red blood cells?,Transport oxygen,Produce hormones,Create energy,Fight infections
Chemistry,What is the molecular formula for glucose?,C6H12O6,CH4,H2O,NaCl
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transformed,Energy is created when an object is at rest,Energy can be destroyed as well as created,Energy is always lost as heat
Biology,What is the function of the mitochondria in a cell?,Produce energy (ATP),Storage of nutrients,Synthesis of proteins,Regulation of cell cycle
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CH4,O2,H2O
Physics,What is the unit for measuring resistance?,Ohm,Ampere,Watt,Volt
Biology,What are the building blocks of life?,Cells,Atoms,Molecules,Proteins
Chemistry,What is the atomic number of oxygen?,8,1,6,12
Physics,What is the formula for acceleration?,Acceleration = (final velocity - initial velocity) / time,Acceleration = distance / time,Acceleration = force / mass,Acceleration = velocity x time
Biology,Which part of the brain controls balance and coordination?,Cerebellum,Cerebrum,Medulla oblongata,Pituitary gland
Chemistry,What is the chemical symbol for carbon?,C,O,H,N
Physics,What is Newton's second law of motion?,Force equals mass times acceleration,For every action| there is an equal and opposite reaction,An object at rest will remain at rest unless acted upon by a force,The velocity of an object remains constant unless acted upon by a force
Biology,What is the primary function of the liver?,Detoxification,Digestion,Blood circulation,Respiration
Chemistry,What is the molecular formula for methane?,CH4,CO2,H2O,NH3
Physics,What is the unit for measuring power?,Watt,Joule,Ampere,Volt
Biology,What is the function of the white blood cells?,Fight infections,Transport oxygen,Create energy,Produce hormones
Chemistry,What is the chemical symbol for silver?,Ag,Au,Fe,Hg
Physics,What is the law of inertia?,An object at rest will remain at rest unless acted upon by a force,Force equals mass times acceleration,For every action| there is an equal and opposite reaction,The velocity of an object remains constant unless acted upon by a force
Biology,What is the function of the ribosome in a cell?,Synthesize proteins,Produce energy (ATP),Storage of nutrients,Regulation of cell cycle
Chemistry,What is the chemical formula for sodium chloride (table salt)?,NaCl,KCl,CaCl2,MgCl2
Physics,What is the unit for measuring frequency?,Hertz,Watt,Ampere,Volt
Biology,What is the function of the lungs?,Gas exchange (oxygen and carbon dioxide),Digestion,Blood circulation,Produce hormones
Chemistry,What is the molecular formula for water?,H2O,CO2,O2,C6H12O6
Physics,What is the unit for measuring voltage?,Volt,Watt,Ampere,Ohm
Biology,What is the function of the kidneys?,Filter waste products from the blood,Produce hormones,Digestion,Respiration
Chemistry,What is the chemical symbol for hydrogen?,H,He,Li,Na
Physics,What is the formula for calculating speed?,Speed = distance / time,Speed = time / distance,Speed = force x mass,Speed = mass / force
Biology,What is the function of the small intestine?,Absorption of nutrients,Digestion,Blood circulation,Produce hormones
Chemistry,What is the molecular formula for oxygen?,O2,CO2,H2O,C6H12O6
Physics,What is the unit for measuring acceleration due to gravity?,m/s^2,m/s,km/h,cm/s
Biology,What is the function of the heart?,Pump blood,Produce energy,Create hormones,Digestion.
