Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Astronomy,Which planet in our solar system has the most moons?,Jupiter,Saturn,Mars,Venus
Biology,What is the process by which proteins are made from RNA called?,Translation,Transcription,Replication,Mutation
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Pt
Earth Science,What are the three rock types?,Igneous| sedimentary| metamorphic,Sandstone| shale| limestone,Basalt| granite| marble,Gneiss| phyllite| schist
Physics,What is the formula for calculating speed?,Distance/Time,Speed = Force x Distance,Mass x Velocity = Force,Speed = Acceleration x Time
Astronomy,Which planet in our solar system has the largest rings?,Saturn,Jupiter,Uranus,Neptune
Biology,What type of energy is stored in food molecules?,Chemical energy,Heat energy,Nuclear energy,Potential energy
Chemistry,What is the chemical symbol for oxygen?,O,N,C,H
Earth Science,What is the name of the layer of the Earth below the crust?,Mantle,Core,Atmosphere,Troposphere
Physics,What is the formula for calculating acceleration?,Change in velocity/Time,Force/Mass,Work/Time,Power/Time
Astronomy,What is the largest known structure in the universe?,The Great Wall,The Milky Way,The Universe,The Local Group
Biology,What is the name of the process by which some plants use sunlight to make food?,Photosynthesis,Cellular respiration,Transpiration,Germination
Chemistry,What is the chemical formula for water?,H2O,CO2,N2O,H2SO4
Earth Science,What is the name of the boundary where two tectonic plates meet?,Fault,Subduction zone,Magma chamber,Ridge
Physics,What is the formula for calculating work?,Force x Distance,Mass x Velocity,Energy/Time,Power x Time
Astronomy,What type of star is our sun?,Yellow dwarf,Red giant,White dwarf,Blue supergiant
Biology,What is the name of the process by which cells split into two daughter cells?,Mitosis,Meiosis,Photosynthesis,Cellular respiration
Chemistry,What is the chemical symbol for helium?,He,Ne,Ar,Kr
Earth Science,What is the name of the layer of the atmosphere closest to the Earth's surface?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Physics,What is the formula for calculating power?,Work/Time,Force x Distance,Energy/Mass,Velocity/Acceleration
Astronomy,What is the name of the bright| highly reflective cloud located near the North Pole of Mars?,Polar ice cap,Dust storm,Great Red Spot,Valles Marineris
Biology,What is the name of the pigment that gives plants their green color?,Chlorophyll,Melanin,Carotene,Anthocyanin
Chemistry,What is the chemical symbol for carbon?,C,O,H,N
Earth Science,What is the name of the process by which rocks are broken down into smaller pieces?,Weathering,Erosion,Deposition,Subduction
Physics,What is the formula for calculating force?,Mass x Acceleration,Velocity x Time,Distance/Time,Energy/Time
Astronomy,What is the name of the closest star to our solar system?,Proxima Centauri,Alpha Centauri A,Alpha Centauri B,Betelgeuse
Biology,What is the name of the process by which plants release water through tiny pores in their leaves?,Transpiration,Photosynthesis,Cellular respiration,Germination
Chemistry,What is the chemical symbol for sodium?,Na,Nb,Nc,Nd
Earth Science,What is the name of the type of rock that forms from cooling magma or lava?,Igneous,Sedimentary,Metamorphic,Basaltic
Physics,What is the formula for calculating momentum?,Mass x Velocity,Momentum/Velocity,Energy/Distance,Power x Time
Astronomy,What is the name of the largest volcano in our solar system| located on Mars?,Olympus Mons,Mauna Loa,Mount St. Helens,Etna
Biology,What is the name of the process by which cells break down glucose to release energy?,Cellular respiration,Photosynthesis,Transpiration,Germination
Chemistry,What is the chemical symbol for nitrogen?,N,O,H,C
Earth Science,What is the name of the layer of the atmosphere where the ozone layer is found?,Stratosphere,Troposphere,Mesosphere,Thermosphere
Physics,What is the formula for calculating pressure?,Force/Area,Mass x Velocity,Energy/Time,Power x Distance
Astronomy,What is the name of the Hubble Space Telescope's main camera?,Advanced Camera for Surveys,Wide Field Camera 3,Cosmic Origins Spectrograph,Space Telescope Imaging Spectrograph
Biology,What is the name of the molecule that carries genetic information?,DNA,RNA,Protein,Carbohydrate
Chemistry,What is the chemical symbol for silver?,Ag,Au,Cu,Pt
Earth Science,What is the name of the layer of the atmosphere above the mesosphere?,Thermosphere,Stratosphere,Troposphere,Exosphere
Physics,What is the formula for calculating electric power?,Current x Voltage,Voltage/Current,Resistance/Current,Energy/Time
Astronomy,What is the name of the asteroid belt located between Mars and Jupiter?,Main belt,Kuiper belt,Oort cloud,Taurid complex
Biology,What is the name of the process by which cells make an exact copy of their DNA?,DNA replication,Protein synthesis,Transcription,Translation
Chemistry,What is the chemical symbol for iron?,Fe,Cu,Ag,Pt
Earth Science,What is the name of the layer of the Earth that makes up the ocean floor?,Oceanic crust,Continental crust,Mantle,Core
Physics,What is the formula for calculating electric resistance?,Voltage/Current,Current x Resistance,Energy/Time,Power x Distance
Astronomy,What is the name of the largest moon in our solar system| which orbits Jupiter?,Ganymede,Titan,Enceladus,Triton
Biology,What is the name of the process by which cells divide their DNA and cytoplasm unequally?,Meiosis,Mitosis,Photosynthesis,Cellular respiration
Chemistry,What is the chemical symbol for hydrogen?,H,O,N,C
Earth Science,What is the name of the process by which rock fragments are transported by water| wind or ice?,Erosion,Weathering,Deposition,Subduction
Physics,What is the formula for calculating electric current?,Charge/Time,Energy/Time,Power/Time,Force/Distance
