Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Golgi apparatus,Ribosomes,Endoplasmic reticulum
Biology,What process allows for the exchange of gases in the lungs?,Diffusion,Osmosis,Active transport,Facilitated diffusion
Biology,What do we call the basic unit of life?,Cell,Tissue,Organ,Organ system
Biology,What is the name of the process by which plants create their own food?,Photosynthesis,Respiration,Fermentation,Digestion
Biology,Which type of cells carry oxygen in the blood?,Red blood cells,White blood cells,Platelets,Neurons
Biology,What are the male and female reproductive cells called?,Sperm and egg,Haploid cells,Diploid cells,Zygotes
Biology,What is the outermost layer of skin called?,Epidermis,Dermis,Subcutaneous layer,Stratum corneum
Biology,What term describes the diversity of life on Earth?,Biodiversity,Ecosystem,Biome,Habitat
Biology,What is the term for the process of breaking down complex molecules into simpler ones?,Catabolism,Anabolism,Metabolism,Fermentation
Biology,Which type of muscle is responsible for the beating of the heart?,Cardiac muscle,Skeletal muscle,Smooth muscle,Voluntary muscle
Chemistry,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Hg
Chemistry,What is the process by which molecules move from an area of high concentration to an area of low concentration?,Diffusion,Osmosis,Facilitated diffusion,Active transport
Chemistry,What is the smallest particle of a chemical element called?,Atom,Molecule,Compound,Ion
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,SO2
Chemistry,What is the term for a substance that cannot be broken down chemically into simpler substances?,Element,Molecule,Compound,Ion
Chemistry,What is the term for a solution with a pH level of less than 7?,Acidic,Neutral,Alkaline,Base
Chemistry,What gas gives off a distinct odor that is often added to natural gas for safety reasons?,Ethyl mercaptan,Carbon monoxide,Sulfur dioxide,Nitrogen oxide
Chemistry,What is the term for the attraction between molecules of the same substance?,Cohesion,Adhesion,Surface tension,Capillary action
Chemistry,What is the term for a mixture in which one substance is evenly distributed throughout another substance?,Homogeneous mixture,Heterogeneous mixture,Solution,Suspension
Physics,What is the force that opposes motion between two surfaces in contact?,Friction,Gravity,Momentum,Angular momentum
Physics,What is the formula for calculating velocity?,Velocity = distance/time,Velocity = mass x acceleration,Velocity = force x distance,Velocity = work/time
Physics,What is the term for the force exerted by a solid object against another solid object?,Contact force,Non-contact force,Gravitational force,Electromagnetic force
Physics,What is the term for the tendency of an object to remain at rest or in uniform motion?,Inertia,Acceleration,Momentum,Work
Physics,What is Newton's second law of motion?,Force equals mass times acceleration,Every action has an equal and opposite reaction,An object at rest will remain at rest unless acted upon by an outside force,The force of gravity between two objects is directly proportional to the masses of the objects and inversely proportional to the distance between them
Physics,What is the formula for calculating work?,Work = force x distance,Work = mass x acceleration,Work = power x time,Work = energy/temperature
Physics,What is the term for the unit of measurement for force?,Newton,Joule,Watt,Pascal
Physics,What is the term for the bending of light as it passes through different mediums?,Refraction,Reflection,Diffraction,Absorption
Physics,What is the term for the total amount of matter in a given space?,Mass,Volume,Density,Weight
Astronomy,What is the name for the imaginary line that runs through the Earth's center from the North Pole to the South Pole?,Axis,Equator,Prime Meridian,Tropic of Capricorn
Astronomy,What causes the change of seasons on Earth?,The tilt of the Earth's axis,The shape of the Earth's orbit around the sun,The Earth's distance from the sun,The rotation of the Earth on its axis
Astronomy,What is the term for a small| icy object that orbits the sun?,Comet,Meteor,Asteroid,Meteorite
Astronomy,What is the distance between the Earth and the sun called?,Astronomical unit,Light year,Parsec,Light minute
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Astronomy,Which planet is known for its rings?,Saturn,Jupiter,Uranus,Neptune
Astronomy,What is the name for a sudden and violent explosion on the sun's surface?,Solar flare,Solar wind,Solar eclipse,Lunar eclipse
Astronomy,What is the name of the theory that explains how the universe began with a single| powerful explosion?,Big Bang theory,Steady state theory,String theory,Theory of everything
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Triangulum,Sombrero
Geology,What is the term for the solid layer of the Earth that lies beneath the crust?,Mantle,Core,Lithosphere,Asthenosphere
Geology,What is the term for the shaking of the Earth's surface caused by the sudden release of energy in the Earth's crust?,Earthquake,Volcanic eruption,Tsunami,Landslide
Geology,What is the term for the process of breaking down rocks into smaller pieces through wind| rain| and other natural forces?,Weathering,Erosion,Deposition,Crystallization
Geology,What is the name of the supercontinent that existed millions of years ago before breaking apart into the current continents?,Pangaea,Gondwana,Laurasia,Eurasia
Geology,What is the name for the sloping surface that separates the continental shelf from the deep ocean floor?,Continental slope,Mid-ocean ridge,Trench,Seamount
Geology,What is the term for the movement of plates in the Earth's crust?,Plate tectonics,Seafloor spreading,Subduction,Convection
Geology,What is the name of the highest mountain range in the world?,Himalayas,Andes,Rockies,Alps
Meteorology,What is the name for the measurement of atmospheric pressure?,Barometer,Thermometer,Hygrometer,Anemometer
Meteorology,What is the term for a large| rotating storm with high winds and heavy rain?,Hurricane,Tornado,Cyclone,Typhoon
Meteorology,What is the name for the boundary between two air masses?,Front,Cold front,Warm front,Occluded front
Meteorology,What is the term for the amount of water vapor in the air?,Humidity,Pressure,Temperature,Precipitation
Meteorology,What is the name for the process of water turning into vapor?,Evaporation,Condensation,Precipitation,Transpiration
Meteorology,What is the term for the layer of the atmosphere closest to the Earth's surface?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Meteorology,What is the term for the natural process that helps warm the Earth's surface?,Greenhouse effect,Ozone layer,Ionosphere,Thermohaline circulation
