Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Astronomy,What is the hottest planet in the solar system?,Venus,Mars,Mercury,Pluto
Biology,What is the process by which plants make their own food called?,Photosynthesis,Respiration,Fermentation,Digestion
Botany,Which part of a plant absorbs water and nutrients from the soil?,Roots,Stem,Leaves,Flowers
Chemistry,What is the lightest element in the periodic table?,Hydrogen,Carbon,Oxygen,Helium
Ecology,What is the term used to describe the relationship between two species where one benefits and the other is neither helped nor harmed?,Commensalism,Mutualism,Parasitism,Competition
Genetics,What is the passing on of traits from parents to offspring called?,Heredity,Selection,Mutation,Acclimation
Geology,How old is the Earth approximately?,4.54 billion years,1 million years,10|000 years,100 years
Meteorology,What is the term used to describe a severe tropical storm with winds of at least 74 miles per hour?,Hurricane,Typhoon,Tornado,Cyclone
Microbiology,What type of microorganisms are responsible for causing strep throat?,Bacteria,Virus,Fungi,Protozoa
Physics,What is the term used to describe the ability of an object to resist changes in motion?,Inertia,Gravity,Momentum,Force
Astronomy,What is the biggest planet in the solar system?,Jupiter,Saturn,Uranus,Neptune
Biology,What is the basic unit of life called?,Cell,Atom,Molecule,Organism
Botany,What is the process by which plants release oxygen into the atmosphere?,Photosynthesis,Transpiration,Respiration,Fermentation
Chemistry,What is the chemical symbol for water?,H2O,CO2,O2,NaCl
Ecology,What is the term used to describe the full range of physical and biological conditions in which an organism lives and the way in which the organism uses those conditions?,Ecology,Habitat,Niche,Community
Genetics,What is the difference between a heterozygous genotype and a homozygous genotype?,Heterozygous has two different alleles| homozygous has two identical alleles,Heterozygous has two identical alleles| homozygous has two different alleles,Heterozygous has three alleles| homozygous has two alleles,Heterozygous has one allele| homozygous has two alleles
Geology,What is the term used to describe the process by which rocks are broken down into smaller pieces by physical means?,Weathering,Erosion,Deposition,Metamorphism
Meteorology,What is the name given to a measurement of atmospheric pressure?,Barometer,Thermometer,Hygrometer,Anemometer
Microbiology,What type of microorganisms are responsible for causing the flu?,Virus,Bacteria,Fungi,Protozoa
Physics,What is the measure of the amount of matter in an object called?,Mass,Weight,Density,Volume
Astronomy,What is the nickname for the galaxy containing our solar system?,The Milky Way,The Andromeda Galaxy,The Black Hole,The Big Dipper
Biology,What is the name of the process by which cells divide into two identical daughter cells?,Mitosis,Meiosis,Fermentation,Respiration
Botany,What is the process by which plants lose water through their leaves called?,Transpiration,Photosynthesis,Respiration,Fermentation
Chemistry,What is the bond formed between atoms when they share electrons?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond
Ecology,What is the term used to describe the gradual change in an ecosystem over time?,Succession,Evolution,Natural selection,Extinction
Genetics,What is the physical characteristic of an organism called?,Trait,Phenotype,Genotype,Allele
Geology,What type of rock is formed from the cooling and solidification of magma?,Igneous rock,Sedimentary rock,Metamorphic rock,Volcanic rock
Meteorology,What is the term used to describe the layer of the Earth's atmosphere where weather occurs?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Microbiology,What type of microorganisms are responsible for causing athlete's foot?,Fungi,Bacteria,Virus,Protozoa
Physics,What is the force that pulls all objects towards each other called?,Gravity,Momentum,Inertia,Friction
Astronomy,What is the name given to the phenomenon where the Moon appears to be gradually getting smaller in the sky?,Waning,Waxing,Gibbous,Crescent
Biology,What is the process by which a cell engulfs and digests a foreign particle called?,Phagocytosis,Pinocytosis,Osmosis,Diffusion
Botany,What is the structure in a flower that produces eggs called?,Ovary,Stamen,Pistil,Pollen
Chemistry,What is the term used to describe the amount of matter in a given volume?,Density,Mass,Weight,Volume
Ecology,What is the term used to describe the movement of individuals into and out of a population?,Migration,Immigration,Emigration,Natality
Genetics,What is the study of the distribution and frequency of alleles in populations called?,Population genetics,Molecular genetics,Bioinformatics,Epigenetics
Geology,What is the term used to describe the bending and tilting of rock layers due to pressure?,Deformation,Erosion,Deposition,Weathering
Meteorology,What is the name given to a disturbance in the atmosphere that moves across the Earth's surface and causes weather changes?,Front,Tropical cyclone,Cold wave,Heat wave
Microbiology,What type of microorganisms are responsible for causing pneumonia?,Bacteria,Virus,Fungi,Protozoa
Physics,What is the measure of the rate at which work is done called?,Power,Work,Energy,Force
Astronomy,What is the name given to the ring of particles that surrounds the planet Saturn?,The Rings of Saturn,The Kuiper Belt,The Asteroid Belt,The Oort Cloud
Biology,What is the name of the protein molecule that carries oxygen in the blood?,Hemoglobin,Enzyme,Antibody,Chlorophyll
Botany,What is the process by which plants reproduce asexually?,Vegetative propagation,Pollination,Fertilization,Gametogenesis
Chemistry,What is the term used to describe a substance that cannot be broken down into simpler substances?,Element,Compound,Molecule,Atom
Ecology,What is the term used to describe the maximum number of individuals that an ecosystem can support?,Carrying capacity,Population density,Sustainability,Biodiversity
Genetics,What is the term used to describe the pattern of inheritance where the genotype of a heterozygous individual is expressed as a blend of the two alleles?,Incomplete dominance,Codominance,Multiple alleles,Polygenic inheritance
Geology,What is the term used to describe the type of rock formed from the accumulation and cementation of sediment?,Sedimentary rock,Igneous rock,Metamorphic rock,Volcanic rock
Meteorology,What is the term used to describe the process by which water vapor in the atmosphere turns into liquid water?,Condensation,Evaporation,Sublimation,Transpiration
Microbiology,What type of microorganisms are responsible for causing tuberculosis?,Bacteria,Virus,Fungi,Protozoa
Physics,What is the measure of the amount of force acting on an object per unit of area called?,Pressure,Density,Weight,Volume
