Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,Which of the following is not a type of muscle tissue?,Bone,Skeletal,Cardiac,Smooth
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Physics,What is the formula for acceleration?,a = v / t,a = d / t,a = f * m,a = m / v
Biology,What is the function of the mitochondria?,Powerhouse of the cell,Control center,Protein synthesis,Cell wall formation
Chemistry,What is the pH of a neutral solution?,7,1,14,0
Physics,What is the wavelength of a wave with a frequency of 500 Hz and a speed of 350 m/s?,0.7 m,0.35 m,1.75 m,0.175 m
Biology,Which of the following is not a type of macromolecule?,Water,Protein,Lipid,Carbohydrate
Chemistry,What is the formula for water?,H2O,CO2,NaCl,NH3
Physics,What is the formula for work?,W = F * d,W = m * a,W = P * V,W = T * S
Biology,What is the function of the ribosomes?,Protein synthesis,Energy production,Signal transduction,DNA replication
Chemistry,What is the chemical symbol for helium?,He,H,O,Ne
Physics,What is the SI unit for force?,Newton,Joule,Meter,Kilogram
Biology,What is the function of the lysosomes?,Digestion of waste,Photosynthesis,Cell division,Sensation
Chemistry,What is the formula for methane?,CH4,CO2,H2SO4,NaCl
Physics,What is the formula for power?,P = W / t,P = F * d,P = m * a,P = V * I
Biology,Which of the following is not a type of tissue?,Water,Muscle,Nervous,Epithelial
Chemistry,What is the chemical symbol for calcium?,Ca,Cu,Au,Ag
Physics,What is the weight of an object with a mass of 50 kg?,490 N,500 N,520 N,550 N
Biology,What is the function of the Golgi apparatus?,Modifies and packages proteins,Synthesizes ATP,Stores DNA,Transports lipids
Chemistry,What is the formula for carbon dioxide?,CO2,CH4,H2O,NaCl
Physics,What is the formula for pressure?,P = F / A,P = m / V,P = W / t,P = E / t
Biology,What is the function of the vacuoles?,Storage,Cellular respiration,Cell division,Protein synthesis
Chemistry,What is the chemical symbol for iron?,Fe,Ag,Au,Cu
Physics,What is the SI unit for energy?,Joule,Newton,Meter,Kilogram
Biology,What is the function of the nucleus?,Contains DNA,Produces ATP,Detoxifies harmful substances,Protein synthesis
Chemistry,What is the formula for sodium chloride?,NaCl,H2O,CO2,CH4
Physics,What is the formula for velocity?,v = d / t,v = a * t,v = W / Q,v = F / m
Biology,What is the function of the cytoplasm?,Suspends organelles,Produces ATP,Protects the cell,Synthesizes proteins
Chemistry,What is the chemical symbol for oxygen?,O,H,Na,Cl
Physics,What is the formula for force?,F = m * a,F = P * V,F = T / S,F = E / t
Biology,What is the function of the cell membrane?,Regulates the movement of materials,Synthesizes ATP,Stores DNA,Transports lipids
Chemistry,What is the formula for water vapor?,H2O,CO2,NaCl,NH3
Physics,What is the formula for torque?,T = F * d,T = P * V,T = W / t,T = F / a
Biology,What is the function of the endoplasmic reticulum?,Synthesis of lipids and proteins,Energy production,Storage of DNA,Cell division
Chemistry,What is the chemical symbol for nitrogen?,N,O,C,H
Physics,What is the formula for momentum?,p = m * v,p = F * t,p = W * t,p = E / S
Biology,What is the function of the flagella?,Movement,Protein synthesis,Cell division,Material transport
Chemistry,What is the formula for sulfuric acid?,H2SO4,CH4,NaCl,CO2
Physics,What is the formula for frequency?,f = 1 / T,f = v / t,f = W / Q,f = F / m
Biology,What is the function of the cilia?,Movement,Protein synthesis,Cell division,Material transport
Chemistry,What is the chemical symbol for potassium?,K,Na,Cl,O
Physics,What is the formula for centripetal force?,F = m * v^2 / r,F = P * V,F = W / t,F = E / t
Biology,What is the function of the centrioles?,Cell division,Energy production,Storage of DNA,Protein synthesis
Chemistry,What is the formula for nitric acid?,HNO3,CO2,NaCl,H2O
Physics,What is the formula for electric current?,I = Q / t,I = P / V,I = W / t,I = F / m
Biology,What is the function of the chloroplasts?,Photosynthesis,Digestion,Cell division,Protein synthesis
Chemistry,What is the chemical symbol for silver?,Ag,Fe,Cu,Au
Physics,What is the formula for density?,p = m / V,p = F / A,p = W / t,p = E / V
Biology,What is the function of the peroxisomes?,Detoxification,Energy production,Storage of DNA,Protein synthesis
Chemistry,What is the formula for hydrochloric acid?,HCl,CO2,NaCl,H2SO4
Physics,What is the formula for electric power?,P = I * V,P = F * d,P = m * a,P = W / t
