Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the SI unit for force?,Newton,Joule,Watt,Meter
Biology,What is the name of the process by which plants convert sunlight into energy?,Photosynthesis,Respiration,Fermentation,Digestion
Chemistry,What is the chemical symbol for gold?,Au,Ag,Pt,Cu
Astronomy,What is the name of the closest star to Earth?,Sun,Alpha Centauri,Proxima Centauri,Betelgeuse
Physics,What is the formula for calculating work?,W=Fd,W=Ft,W=at,W=ma
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Lungs
Chemistry,What gas makes up the majority of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Sombrero,Whirlpool
Physics,What is the formula for calculating power?,P=W/t,P=Fv,P=ma,P=F/d
Biology,What is the process by which cells divide into two identical daughter cells called?,Mitosis,Meiosis,Fission,Fusion
Chemistry,What is the chemical formula for water?,H2O,CO2,NH3,SO2
Astronomy,What is the name of the force that keeps planets orbiting around the sun?,Gravity,Electromagnetism,Weak Force,Strong Force
Physics,What is the SI unit for work?,Joule,Newton,Watt,Meter
Biology,What is the name of the organelle responsible for producing energy in a cell?,Mitochondria,Ribosome,Golgi Apparatus,Nucleus
Chemistry,What is the atomic number of carbon?,6,8,12,14
Astronomy,What is the name of the first man-made satellite to orbit the Earth?,Sputnik,Vanguard,Explorer,Echo
Physics,What is the formula for calculating acceleration?,a=(vf-vi)/t,a=F/m,a=W/t,a=F/d
Biology,What is the name of the process by which animals break down food and convert it into energy?,Respiration,Photosynthesis,Fermentation,Digestion
Chemistry,What is the chemical formula for methane?,CH4,CO2,N2O,H2O
Astronomy,What is the name of the closest planet to the sun?,Mercury,Venus,Mars,Jupiter
Physics,What is the formula for calculating velocity?,v=d/t,v=Ft,v=W/t,v=F/d
Biology,What is the name of the fluid that carries oxygen in the bloodstream?,Hemoglobin,Plasma,Serum,Lymph
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CH4,NO2,SO2
Astronomy,What is the name of the largest planet in our solar system?,Jupiter,Saturn,Neptune,Uranus
Physics,What is the formula for calculating force?,F=ma,F=W/d,F=W/t,F=P/t
Biology,What is the name of the fluid that lubricates joints in the body?,Synovial Fluid,Cerebrospinal Fluid,Peritoneal Fluid,Pleural Fluid
Chemistry,What is the chemical formula for nitrogen?,N2,O2,CO2,H2O
Astronomy,What is the name of the force that causes the tides on Earth?,Gravity,Electromagnetism,Weak Force,Strong Force
Physics,What is the formula for calculating momentum?,p=mv,p=Ft,p=at,p=Wt
Biology,What is the name of the process by which cells convert glucose into energy?,Glycolysis,Photosynthesis,Fermentation,Digestion
Chemistry,What is the chemical formula for sodium chloride?,NaCl,KCl,CaCl2,MgCl2
Astronomy,What is the name of the largest moon in our solar system?,Ganymede,Titan,Europa,Callisto
Physics,What is the formula for calculating kinetic energy?,KE=1/2mv^2,KE=Fd,KE=P/t,KE=Fv
Biology,What is the name of the structure that connects bones in the body?,Ligament,Tendon,Cartilage,Meninges
Chemistry,What is the chemical formula for hydrochloric acid?,HCl,H2SO4,NaOH,HNO3
Astronomy,What is the name of the dwarf planet that was once classified as the ninth planet in our solar system?,Pluto,Ceres,Eris,Haumea
Physics,What is the formula for calculating potential energy?,PE=mgh,PE=Fd,PE=P/t,PE=Fv
Biology,What is the name of the hormone that regulates blood sugar levels in the body?,Insulin,Glucagon,Adrenaline,Thyroxine
Chemistry,What is the chemical formula for oxygen?,O2,N2,CO2,H2O
Astronomy,What is the name of the space telescope that has been in orbit since 1990?,Hubble Space Telescope,Spitzer Space Telescope,Chandra X-ray Observatory,Kepler Space Telescope
Physics,What is the formula for calculating electric power?,P=VI,P=V^2/R,P=I^2R,P=W/t
Biology,What is the name of the process by which gametes are produced?,Meiosis,Mitosis,Fission,Fusion
Chemistry,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,HNO3
Astronomy,What is the name of the spacecraft that landed on Mars in 2012?,Curiosity,Opportunity,Spirit,Sojourner
Physics,What is the formula for calculating density?,D=m/v,D=F/v,D=F/a,D=W/t
Biology,What is the name of the hormone that regulates sleep in the body?,Melatonin,Adrenaline,Insulin,Thyroxine
Chemistry,What is the chemical formula for ammonia?,NH3,CH4,CO2,H2O
Astronomy,What is the name of the space probe that visited Pluto in 2015?,New Horizons,Voyager,Cassini,Galileo
