Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the SI unit of electric current?,Ampere,Ohm,Volt,Coulomb
Biology,Which process involves the production of haploid cells from diploid cells?,Meiosis,Mitosis,Replication,Transcription
Chemistry,What gas is used in most commercial light bulbs?,Argon,Nitrogen,Oxygen,Carbon Dioxide
Physics,Which law states that every action has an equal and opposite reaction?,Newton's Third Law,Newton's Second Law,Newton's First Law,Law of Gravitation
Biology,Which molecule is responsible for carrying oxygen in the blood?,Hemoglobin,Glucose,Adenosine Triphosphate,Chlorophyll
Chemistry,Which element has the symbol Ag?,Silver,Gold,Aluminum,Copper
Physics,What is the formula for work?,Work = Force x Distance,Work = Mass x Acceleration,Work = Power x Time,Work = Energy x Time
Biology,Which part of the cell is responsible for protein synthesis?,Ribosomes,Mitochondria,Golgi Apparatus,Lysosomes
Chemistry,What is the chemical symbol for water?,H2O,CO2,O2,NaCl
Physics,What is the acceleration due to gravity on Earth?,9.8 m/s2,2.7 m/s2,5.6 m/s2,12.3 m/s2
Biology,Which process involves the conversion of glucose into energy?,Cellular Respiration,Photosynthesis,Fermentation,Transpiration
Chemistry,Which element has the symbol Pb?,Lead,Lithium,Platinum,Phosphorus
Physics,What is the unit for force?,Newton,Joule,Watt,Ohm
Biology,Which type of cell does not have a nucleus?,Prokaryotic,Eukaryotic,Animal,Plant
Chemistry,What is the chemical formula for methane?,CH4,CO2,H2O,C6H12O6
Physics,What is the formula for potential energy?,Potential Energy = Mass x Gravity x Height,Potential Energy = Force x Distance,Potential Energy = Work ÷ Time,Potential Energy = Kinetic Energy - Work
Biology,Which part of the cell is responsible for the storage of genetic material?,Nucleus,Cytoplasm,Cell Membrane,Mitochondria
Chemistry,What is the formula for sulfuric acid?,H2SO4,HCl,NaOH,HNO3
Physics,What is the formula for the force of gravity?,Force of Gravity = (G x M1 x M2) ÷ r2,Force of Gravity = (G x M1 x M2) × r2,Force of Gravity = G x (M1 ÷ M2) ÷ r2,Force of Gravity = (G ÷ M1 x M2) ÷ r2
Biology,Which process involves the production of identical cells from a single cell?,Mitosis,Meiosis,Replication,Transcription
Chemistry,What is the formula for sodium chloride?,NaCl,H2SO4,HCl,NaOH
Physics,What is the formula for kinetic energy?,Kinetic Energy = ½ x Mass x Velocity2,Kinetic Energy = Mass x Velocity,Kinetic Energy = Force x Distance,Kinetic Energy = Potential Energy + Work
Biology,Which type of cell has a distinct nucleus and organelles?,Eukaryotic,Prokaryotic,Animal,Plant
Chemistry,What is the chemical formula for hydrochloric acid?,HCl,H2SO4,NaOH,HNO3
Physics,What is the formula for power?,Power = Work ÷ Time,Power = Force x Distance,Power = Mass x Acceleration,Power = Energy ÷ Time
Biology,Which process involves the production of ATP?,Cellular Respiration,Photosynthesis,Fermentation,Transpiration
Chemistry,What is the chemical formula for ammonia?,NH3,CO2,H2O,C6H12O6
Physics,What is the formula for velocity?,Velocity = Distance ÷ Time,Velocity = Mass x Acceleration,Velocity = Power ÷ Time,Velocity = Force ÷ Distance
Biology,Which part of the cell is responsible for the breakdown of waste and cellular debris?,Lysosomes,Mitochondria,Golgi Apparatus,Ribosomes
Chemistry,What is the formula for carbon dioxide?,CO2,H2SO4,HCl,NaOH
Physics,What is the formula for acceleration?,Acceleration = (Final Velocity - Initial Velocity) ÷ Time,Acceleration = Force ÷ Mass,Acceleration = Distance ÷ Time,Acceleration = Power ÷ Velocity
Biology,Which process involves the production of gametes?,Meiosis,Mitosis,Replication,Transcription
Chemistry,What is the chemical symbol for oxygen?,O,H,Na,Cl
Physics,What is the formula for torque?,Torque = Force x Distance,Torque = Power ÷ Time,Torque = Mass x Gravity x Distance,Torque = Force ÷ Distance
Biology,Which part of the cell is responsible for the production of energy?,Mitochondria,Golgi Apparatus,Ribosomes,Lysosomes
Chemistry,What is the chemical symbol for helium?,He,H,O,Na
Physics,What is the formula for momentum?,Momentum = Mass x Velocity,Momentum = Force x Time,Momentum = Power ÷ Velocity,Momentum = Acceleration x Time
Biology,Which process involves the conversion of light energy into chemical energy?,Photosynthesis,Cellular Respiration,Fermentation,Transpiration
Chemistry,What is the chemical symbol for sodium?,Na,H,O,He
Physics,What is the formula for pressure?,Pressure = Force ÷ Area,Pressure = Mass x Velocity,Pressure = Torque ÷ Time,Pressure = Energy ÷ Volume
Biology,Which part of the cell is responsible for the assembly of proteins?,Ribosomes,Mitochondria,Golgi Apparatus,Lysosomes
Chemistry,What is the chemical formula for carbon monoxide?,CO,CO2,H2O,C6H12O6
Physics,What is the formula for density?,Density = Mass ÷ Volume,Density = Force ÷ Area,Density = Torque ÷ Time,Density = Energy ÷ Mass
Biology,Which process involves the movement of water through a plant?,Transpiration,Photosynthesis,Cellular Respiration,Fermentation
Chemistry,What is the chemical formula for glucose?,C6H12O6,CO2,H2O,NaCl
Physics,What is the formula for Ohm's Law?,V = IR,I = VR,R = VI,I = V ÷ R
Biology,Which part of the cell is responsible for the modification and packaging of proteins?,Golgi Apparatus,Mitochondria,Ribosomes,Lysosomes
Chemistry,What is the formula for carbonic acid?,H2CO3,CH4,H2SO4,HCl
Physics,What is the formula for electric power?,Electric Power = Voltage x Current,Electric Power = Voltage ÷ Current,Electric Power = Current x Resistance,Electric Power = Resistance ÷ Current
Biology,Which process involves the release of energy from glucose without oxygen?,Fermentation,Photosynthesis,Cellular Respiration,Transpiration
Chemistry,What is the chemical formula for sulfur dioxide?,SO2,CO2,H2O,C6H12O6
Physics,What is the formula for electrical resistance?,Resistance = Voltage ÷ Current,Resistance = Current ÷ Voltage,Resistance = Energy ÷ Current,Resistance = Power ÷ Voltage
Biology,Which process involves the conversion of nitrogen into a usable form by plants?,Nitrogen Fixation,Photosynthesis,Cellular Respiration,Fermentation
Chemistry,What is the chemical formula for nitric acid?,HNO3,H2SO4,HCl,NaOH
Physics,What is the formula for electrical conductivity?,Electrical Conductivity = Current ÷ Voltage,Electrical Conductivity = Voltage ÷ Current,Electrical Conductivity = Power ÷ Voltage,Electrical Conductivity = Resistance ÷ Current
