Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Physics,What is the formula for force?,F=ma,a=Fs/m,F=m/a,F=md
Biology,Which organelle is responsible for generating ATP?,Mitochondria,Nucleus,Ribosomes,Vacuoles
Geology,What type of rock is formed from cooled and solidified magma or lava?,Igneous,Sedimentary,Metamorphic,Clastic
Chemistry,Which gas makes up the majority of the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Physics,What is the unit of measure for energy?,Joule,Newton,Watt,Ampere
Biology,What is the process by which green plants make their own food?,Photosynthesis,Cellular Respiration,Fermentation,Glycolysis
Geology,What is the name of the rocky outer layer of the Earth?,Crust,Mantle,Core,Mesosphere
Chemistry,What is the process by which two or more atoms combine to form a more complex atom?,Chemical Bonding,Nuclear Fusion,Nuclear Fission,Radioactivity
Physics,What is the unit of measure for power?,Watt,Joule,Newton,Ampere
Biology,What is the name of the smallest unit of life?,Cell,Tissue,Organ,Organism
Geology,What is the name of the process by which rock is broken down into smaller pieces?,Weathering,Erosion,Deposition,Compaction
Chemistry,What is the process by which a liquid turns into a gas?,Evaporation,Condensation,Freezing,Melting
Physics,What is the formula for acceleration?,a=(v_f - v_i) / t,a=v / t,a=d / t,a=F / m
Biology,What is the name of the structure that carries genetic material within a cell?,Chromosome,Ribosome,Mitochondria,Lysosome
Geology,What is the name of a substance that is formed as a result of a chemical reaction?,Product,Reactant,Catalyst,Compound
Chemistry,Which element has the atomic number 6?,Carbon,Oxygen,Gold,Silver
Physics,What is the name of the device that measures electrical current?,Ammeter,Voltmeter,Ohmmeter,Wattmeter
Biology,What is the name of the protein that gives skin and hair its pigment?,Melanin,Keratin,Collagen,Elastin
Geology,What is the name of the process by which rock is transformed from one type to another?,Metamorphism,Weathering,Erosion,Deposition
Chemistry,What is the process by which a gas turns into a liquid?,Condensation,Evaporation,Sublimation,Melting
Physics,What is the name of the force that opposes motion between two surfaces that are in contact?,Friction,Gravity,Inertia,Tension
Biology,What is the name of the process by which organisms break down food to release energy?,Cellular Respiration,Photosynthesis,Fermentation,Glycolysis
Geology,What is the name of the process by which sediment is moved from one place to another?,Erosion,Deposition,Compaction,Metamorphism
Chemistry,What is the process by which a solid turns into a gas?,Sublimation,Deposition,Evaporation,Condensation
Physics,What is the name of the force that causes an object to move in a circular path?,Centripetal Force,Centrifugal Force,Friction,Gravity
Biology,What is the name of the structure that carries messages between neurons?,Synapse,Axon,Dendrite,Myelin Sheath
Geology,What is the name of the process by which sediment is pressed together?,Compaction,Erosion,Deposition,Metamorphism
Chemistry,What is the name of the particle that carries a negative charge?,Electron,Proton,Neutron,Photon
Physics,What is the name of the force that holds the nucleus together?,Strong Nuclear Force,Weak Nuclear Force,Electromagnetic Force,Gravity
Biology,What is the name of the hormone that regulates blood sugar levels?,Insulin,Glucagon,Epinephrine,Norepinephrine
Geology,What is the name of the process by which sediment is laid down in a new location?,Deposition,Erosion,Compaction,Metamorphism
Chemistry,What is the name of the particle that carries a positive charge?,Proton,Electron,Neutron,Photon
Physics,What is the name of the force that causes objects to repel or attract each other based on their electric charge?,Electromagnetic Force,Gravity,Strong Nuclear Force,Weak Nuclear Force
Biology,What is the name of the process by which DNA is copied?,Replication,Transcription,Translation,Mutation
Geology,What is the name of the process by which rock is moved from one place to another by natural agents such as water| wind| or ice?,Erosion,Deposition,Compaction,Metamorphism
Chemistry,Which element has the atomic number 26?,Iron,Gold,Silver,Carbon
Physics,What is the name of the force that causes objects to be pulled towards the center of the Earth?,Gravity,Friction,Tension,Magnetism
Biology,What is the name of the process by which two gametes combine to form a zygote?,Fertilization,Meiosis,Mitosis,Recombination
Geology,What is the name of the process by which rock is changed due to heat and pressure?,Metamorphism,Weathering,Erosion,Deposition
Chemistry,What is the name of the particle that has no charge?,Neutron,Proton,Electron,Photon
Physics,What is the name of the force that causes an object to float in a liquid or gas?,Buoyancy,Gravity,Inertia,Tension
Biology,What is the name of the process by which plants release water vapor through tiny pores on their leaves?,Transpiration,Photosynthesis,Cellular Respiration,Fermentation
Geology,What is the name of the process by which rock is broken down into smaller pieces due to physical forces?,Weathering,Erosion,Deposition,Compaction
Chemistry,What is the name of the process by which a gas turns directly into a solid?,Deposition,Sublimation,Condensation,Evaporation
Physics,What is the name of the force that opposes motion through a fluid?,Drag,Gravity,Inertia,Tension
Biology,What is the name of the sac that surrounds the heart and keeps it in place?,Pericardium,Plasma,Lymph,Peritoneum
Geology,What is the name of the mineral that is the main component of sandstone?,Quartz,Feldspar,Mica,Calcite
Chemistry,Which element has the atomic number 7?,Nitrogen,Oxygen,Carbon,Gold
Physics,What is the name of the concept that states that energy cannot be created or destroyed| only transformed from one form to another?,Law of Conservation of Energy,Newton's Third Law,Ohm's Law,Boyle's Law
Biology,What is the name of the structure that connects bones to muscles?,Tendon,Ligament,Cartilage,Bone Marrow
Geology,What is the name of the type of rock that is formed from the accumulation of broken pieces of other rocks?,Sedimentary,Igneous,Metamorphic,Rock Salt
