Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for helium?,He,Ne,Ar,Kr
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Lysosome,Ribosome
Physics,What is the formula for force?,F=ma,F=md,F=mv,F=mp
Geology,What type of rock is formed from magma?,Igneous,Metamorphic,Sedimentary,Granite
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Chemistry,What type of reaction is burning wood?,Combustion,Synthesis,Decomposition,Oxidation
Biology,What is the process by which a cell divides into two cells?,Mitosis,Meiosis,Photosynthesis,Respiration
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transformed,Energy can be created or destroyed,Energy cannot be transferred,Energy can only be transformed into heat
Geology,What type of rock is formed from compressed sediment?,Sedimentary,Metamorphic,Igneous,Basalt
Astronomy,What is the hottest planet in our solar system?,Venus,Mercury,Mars,Jupiter
Chemistry,What is the pH scale used to measure?,Acidity,Density,Temperature,Conductivity
Biology,What is the function of white blood cells?,To fight off infection,To pump blood,To break down food,To move the body
Physics,What is Newton's first law of motion?,An object at rest will stay at rest and an object in motion will stay in motion unless acted upon by an external force,Force equals mass times acceleration,For every action| there is an equal and opposite reaction,Energy cannot be created or destroyed
Geology,What type of rock is formed from other rocks?,Metamorphic,Sedimentary,Igneous,Granite
Astronomy,What is the closest star to our solar system?,Proxima Centauri,Alpha Centauri,Betelgeuse,Rigel
Chemistry,What is the atomic number of carbon?,6,7,8,9
Biology,What is the function of the cerebellum?,To control movement and balance,To process sensory information,To regulate body temperature,To control hormone production
Physics,What is the force that opposes motion between two surfaces that are in contact?,Friction,Gravity,Inertia,Velocity
Geology,What term describes the way that water moves through rock and soil?,Permeability,Hardness,Viscosity,Porosity
Astronomy,What is the name of the brightest star in the night sky?,Sirius,Vega,Capella,Betelgeuse
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,O2
Biology,What is the function of the pancreas?,To produce insulin,To control blood pressure,To filter the blood,To process waste
Physics,What is the rate at which work is done?,Power,Energy,Force,Velocity
Geology,What type of rock is formed from heat and pressure?,Metamorphic,Sedimentary,Igneous,Basalt
Astronomy,What is the name of the nearest galaxy to our own?,Andromeda,Messier 87,Whirlpool,Triangulum
Chemistry,What is the term for a substance that cannot be broken down into simpler substances?,Element,Compound,Molecule,Atom
Biology,What is the function of red blood cells?,To carry oxygen,To fight infection,To digest food,To control the heartbeat
Physics,What is the force that causes an object to float in a fluid?,Buoyancy,Gravity,Inertia,Momentum
Geology,What term describes the scale used to measure the hardness of minerals?,Mohs scale,Fahrenheit scale,Celsius scale,Kelvin scale
Astronomy,What is the name of the first artificial satellite launched into space?,Sputnik 1,Explorer 1,Gagarin 1,Apollo 1
Chemistry,What is the name given to a substance that speeds up a chemical reaction without being consumed?,Catalyst,Reactant,Product,Enzyme
Biology,What is the function of the hypothalamus?,To regulate body temperature and blood sugar levels,To process sensory information,To control hormone production,To store memories
Physics,What is the unit used to measure energy?,Joule,Watt,Volt,Ampere
Geology,What type of rock is formed from shells and marine organisms?,Sedimentary,Igneous,Metamorphic,Granite
Astronomy,What is the name of the largest volcano in our solar system?,Olympus Mons,Mauna Loa,Etna,Vesuvius
Chemistry,What is the term for a substance that dissolves in water?,Hydrophilic,Hydrophobic,Acidic,Basic
Biology,What is the function of the liver?,To filter toxins from the blood,To regulate body temperature,To control hormone production,To produce red blood cells
Physics,What is the force that keeps objects in orbit around each other?,Gravity,Friction,Inertia,Momentum
Geology,What type of rock is formed from solidified lava?,Igneous,Sedimentary,Metamorphic,Granite
Astronomy,What is the name given to a grouping of stars?,Galaxy,Constellation,Cluster,Nebula
Chemistry,What is the term for a substance that reacts with an acid to form a salt?,Base,Acid,Neutral,Alkali
Biology,What is the function of the respiratory system?,To take in oxygen and expel carbon dioxide,To pump blood,To digest food,To move the body
Physics,What is the force that causes an object to move in a circular path?,Centripetal force,Gravity,Friction,Inertia
Geology,What term describes the process by which solid rock is broken down into smaller pieces?,Weathering,Erosion,Sedimentation,Deposition
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Triangulum,Magellanic Clouds
Chemistry,What is the term for a substance that can act as both an acid and a base?,Amphiprotic,Neutral,Alkaline,Acidic
Biology,What is the function of the nervous system?,To control the body's functions and respond to stimuli,To pump blood,To break down food,To move the body
Physics,What is the force that causes an object to resist changes in motion?,Inertia,Gravity,Friction,Momentum
Geology,What term describes the process by which sediment is moved from one place to another?,Erosion,Weathering,Deposition,Volcanism
Astronomy,What is the name of the phenomenon in which a planet passes in front of a star?,Transit,Eclipse,Orbit,Rotation
