Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Astronomy,What is the largest planet in our solar system?,Jupiter,Venus,Saturn,Mars
Chemistry,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Helium
Biology,What is the function of white blood cells in the human body?,Fight infection,Produce insulin,Digest food,Regulate breathing
Physics,What is the formula for calculating kinetic energy?,1/2mv^2,mv^2,2mv^2,m^2v
Geology,In what type of rock would you find fossils most commonly?,Sedimentary,Igneous,Metamorphic,Volcanic
Astronomy,What was the first artificial satellite put into Earth's orbit?,Sputnik 1,Explorer 1,Vanguard 1,Mir
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Biology,What is the name for the smallest particle of an element?,Atom,Molecule,Ion,Electron
Physics,What is the force that opposes motion between two surfaces in contact?,Friction,Gravity,Magnetism,Tension
Geology,What type of rock is formed by the cooling and solidification of magma or lava?,Igneous,Sedimentary,Metamorphic,Volcanic
Astronomy,What is the name of the largest volcano in our solar system| located on Mars?,Olympus Mons,Mount Everest,Mauna Kea,Mount Tambora
Chemistry,What is the common name for sodium chloride?,Table salt,Baking soda,Epsom salt,Rock salt
Biology,What is the process by which an organism produces offspring similar to itself?,Reproduction,Photosynthesis,Mutation,Cell division
Physics,What is the scientific term for the bending of light waves around an object?,Diffraction,Reflection,Refraction,Absorption
Geology,What type of rock is formed by the compression and heating of existing rock?,Metamorphic,Igneous,Sedimentary,Volcanic
Astronomy,What is the name of the closest planet to the sun?,Mercury,Venus,Earth,Mars
Chemistry,What is the process by which a solid turns into a gas without going through a liquid phase?,Sublimation,Condensation,Vaporization,Evaporation
Biology,What is the name of the pigment that gives plants their green color?,Chlorophyll,Melanin,Carotene,Xanthophyll
Physics,What is the name for the force that opposes motion in fluids (liquids and gases)?,Drag,Lift,Thrust,Gravity
Geology,What type of rock is formed from sediment that is deposited and compacted over time?,Sedimentary,Igneous,Metamorphic,Volcanic
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Sombrero,Whirlpool
Chemistry,What is the only metal that is liquid at room temperature?,Mercury,Gold,Iron,Copper
Biology,What is the name of the process by which plants convert sunlight into energy?,Photosynthesis,Respiration,Digestion,Transpiration
Physics,What is the equation for calculating density?,Density=mass/volume,Density=mass×volume,Density=volume/mass,Density=force/area
Geology,What type of rock is formed by the cooling of magma or lava underground?,Intrusive igneous,Extrusive igneous,Metamorphic,Sedimentary
Astronomy,What is the name of the force that keeps objects in orbit around a planet?,Gravity,Centrifugal force,Electromagnetism,Nuclear force
Chemistry,What is the name of the process by which a gas turns into a liquid?,Condensation,Vaporization,Sublimation,Evaporation
Biology,What is the name of the molecule that gives human blood its red color?,Hemoglobin,Chlorophyll,Melanin,Carotene
Physics,What is the unit of measurement for force?,Newton,Watt,Joule,Ampere
Geology,What type of rock is formed by the metamorphosis of existing rock?,Metamorphic,Sedimentary,Igneous,Volcanic
Astronomy,What is the name of the asteroid belt located between Mars and Jupiter?,Main Belt,Kuiper Belt,Oort Cloud,Scattered Disk
Chemistry,What is the name for a substance that speeds up a chemical reaction without being used up in the reaction?,Catalyst,Enzyme,Substrate,Product
Biology,What is the name of the molecule that carries genetic information in all living organisms?,DNA,RNA,Protein,Carbohydrate
Physics,What is the name of the law that states that for every action| there is an equal and opposite reaction?,Newton's third law,Newton's second law,Newton's first law,Einstein's theory of relativity
Geology,What type of rock is formed from the remains of once-living organisms?,Organic sedimentary,Inorganic sedimentary,Igneous,Metamorphic
Astronomy,What is the name of the highest mountain on Mars?,Olympus Mons,Mount Everest,Mauna Kea,Mount Tambora
Chemistry,What is the name of the scale used to measure the acidity or basicity of a solution?,pH scale,Kelvin scale,Celsius scale,Fahrenheit scale
Biology,What is the name of the process by which organisms break down food to release energy?,Respiration,Photosynthesis,Digestion,Transpiration
Physics,What is the name of the law that states that the total energy in a closed system is constant?,Law of conservation of energy,Law of conservation of mass,Law of conservation of momentum,Second law of thermodynamics
Geology,What type of rock is formed by the cooling and solidification of lava above ground?,Extrusive igneous,Intrusive igneous,Metamorphic,Sedimentary
Astronomy,What is the name of the largest moon in our solar system| located around Jupiter?,Ganymede,Titan,Callisto,Europa
Chemistry,What is the name of the process by which water turns from a liquid into a gas?,Evaporation,Condensation,Vaporization,Sublimation
Biology,What is the name of the molecule that provides energy to cells in all living organisms?,ATP,RNA,DNA,Protein
Physics,What is the name of the force that causes an object to float in a liquid or gas?,Buoyancy,Gravity,Friction,Tension
Geology,What type of rock is formed by the solidification of molten rock on the Earth's surface?,Igneous,Sedimentary,Metamorphic,Volcanic
Astronomy,What is the name of the phenomenon by which light waves bend as they pass from one medium to another?,Refraction,Reflection,Diffraction,Absorption
