Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the unit of power?,Watt,Volt,Ampere,Ohm
Biology,What is the powerhouse of the cell?,Mitochondria,Golgi apparatus,Nucleus,Ribosome
Chemistry,What is the atomic number of hydrogen?,1,2,3,4
Physics,What is the speed of light in a vacuum?,299|792|458 m/s,300|000|000 m/s,250|000|000 m/s,350|000|000 m/s
Biology,What type of cell lacks a nucleus?,Prokaryote,Eukaryote,Plant cell,Animal cell
Chemistry,Which element has the symbol Na?,Sodium,Nitrogen,Neon,Nickel
Physics,What is the formula for density?,mass/volume,volume/mass,mass*volume,volume+mass
Biology,What is the function of the ribosome?,Protein synthesis,Energy production,DNA replication,Cell division
Chemistry,What is the general formula for an alkane?,CnH2n+2,CnH2n,CnH2n-2,CnHn+2
Physics,What is the force that opposes motion between two surfaces in contact?,Friction,Gravity,Magnetism,Electricity
Biology,What is the process by which two gamete cells combine to form a zygote?,Fertilization,Meiosis,Mitosis,Transcription
Chemistry,What is the pH of a neutral solution?,7,2,10,5
Physics,What is Newton's first law of motion?,An object at rest stays at rest and an object in motion stays in motion with the same speed and in the same direction unless acted upon by an external force.,The force acting on an object is equal to the mass of the object times its acceleration.,For every action| there is an equal and opposite reaction.,The rate of change of momentum of an object is directly proportional to the force applied.
Biology,What is the name of the process by which plants convert sunlight into energy?,Photosynthesis,Cellular respiration,Glycolysis,Fermentation
Chemistry,What is the term for the process by which a solid goes directly to a gas without passing through a liquid phase?,Sublimation,Evaporation,Condensation,Freezing
Physics,What is the unit of electric charge?,Coulomb,Volt,Ohm,Ampere
Biology,What is the difference between mitosis and meiosis?,Meiosis produces four unique haploid cells while mitosis produces two identical diploid cells.,Mitosis produces four unique haploid cells while meiosis produces two identical diploid cells.,Meiosis produces two identical diploid cells while mitosis produces four unique haploid cells.,Mitosis produces two identical diploid cells while meiosis produces four unique haploid cells.
Chemistry,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Physics,What is the term for the bending of a wave as it passes from one medium to another?,Refraction,Reflection,Absorption,Diffraction
Biology,What is the term for the genetic makeup of an organism?,Genotype,Phenotype,Allele,Mutation
Chemistry,Which element does the symbol Pb represent?,Lead,Lithium,Lanthanum,Lutetium
Physics,What is the term for the resistance of a fluid to flow?,Viscosity,Density,Buoyancy,Pressure
Biology,What is the name of the hormone that regulates blood sugar levels?,Insulin,Glucagon,Cortisol,Adrenaline
Chemistry,What is the term for the total amount of energy in a system?,Enthalpy,Entropy,Gibbs free energy,Potential energy
Physics,What is the term for a force exerted on an object due to its motion through a fluid?,Drag,Gravity,Friction,Tension
Biology,What is the name of the protein that helps transport oxygen in the blood?,Hemoglobin,Keratin,Collagen,Myosin
Chemistry,What is the term for a substance that accelerates a chemical reaction without being consumed in the reaction?,Catalyst,Reactant,Product,Enzyme
Physics,What is the term for the force that opposes the relative motion of two surfaces in contact?,Friction,Gravity,Magnetism,Electricity
Biology,What is the name of the process by which a cell divides into two identical daughter cells?,Mitosis,Meiosis,Fertilization,Gametogenesis
Chemistry,What is the term for the process by which an atom loses or gains electrons?,Oxidation-reduction reaction,Ionization,Combustion,Hydration
Physics,What is the term for the energy stored in an object due to its position or configuration?,Potential energy,Kinetic energy,Thermal energy,Electrical energy
Biology,What is the name of the process by which an egg cell is released from the ovary?,Ovulation,Menstruation,Fertilization,Implantation
Chemistry,What is the term for the amount of solute dissolved in a solvent?,Concentration,Molarity,Molality,Mass
Physics,What is the term for the energy of motion?,Kinetic energy,Potential energy,Thermal energy,Electrical energy
Biology,What is the name of the molecule that carries genetic information?,DNA,RNA,Protein,Carbohydrate
Chemistry,Which element does the symbol Fe represent?,Iron,Iodine,Fluorine,Indium
Physics,What is the term for the height of a wave from its amplitude?,Crest,Trough,Wavelength,Frequency
Biology,What is the term for the process by which DNA is copied?,Replication,Transcription,Translation,Mutation
Chemistry,What is the term for the amount of heat needed to raise the temperature of one gram of a substance by one degree Celsius?,Specific heat,Heat capacity,Thermal conductivity,Molar heat
Physics,What is the term for the force of attraction between two objects due to their mass?,Gravity,Friction,Tension,Drag
Biology,What is the name of the process by which cells break down glucose to produce energy?,Cellular respiration,Photosynthesis,Glycolysis,Fermentation
Chemistry,What is the term for the process by which a gas turns into a liquid?,Condensation,Evaporation,Sublimation,Freezing
Physics,What is the term for the product of an object's mass and velocity?,Momentum,Force,Energy,Power
Biology,What is the name of the process by which RNA is used to create a protein?,Translation,Transcription,Replication,Mutation
Chemistry,What is the term for a substance that releases hydrogen ions in water?,Acid,Base,Salt,Neutral
Physics,What is the term for the energy of position or configuration?,Potential energy,Kinetic energy,Thermal energy,Electrical energy
Biology,What is the name of the process by which a sperm cell fuses with an egg cell?,Fertilization,Meiosis,Mitosis,Transcription
Chemistry,Which element does the symbol Au represent?,Gold,Gallium,Germanium,Arsenic
Physics,What is the unit of electrical potential difference?,Volt,Ampere,Ohm,Coulomb
Biology,What is the name of the process by which the body breaks down food to produce energy?,Cellular respiration,Photosynthesis,Glycolysis,Fermentation
Chemistry,What is the term for the ability of a substance to dissolve in a solvent?,Solubility,Molarity,Density,Viscosity
