Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Physics,Which law states that every action has an equal and opposite reaction?,Newton's third law,Newton's first law,Newton's second law,The law of conservation of momentum
Biology,What is the smallest unit of life?,Cell,Organism,Molecule,Atom
Geology,What type of rock is formed from the cooling of magma or lava?,Igneous,Sedimentary,Metamorphic,Volcanic
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Physics,What is the unit of force in the metric system?,Newton,Joule,Watt,Meter
Biology,What is the process by which plants make their own food?,Photosynthesis,Respiration,Fermentation,Digestion
Geology,What is the term for the layer of rock beneath Earth's crust?,Mantle,Core,Crust,Plate
Chemistry,What is the chemical symbol for oxygen?,O,H,N,C
Physics,What is the unit of power in the metric system?,Watt,Joule,Newton,Meter
Biology,What is the name of the sac where food is stored and partially digested in the stomach?,Rumen,Crop,Gizzard,Stomach
Geology,What is the term for the process by which rocks are broken down into smaller pieces?,Weathering,Erosion,Volcanism,Deposition
Chemistry,What is the chemical symbol for carbon?,C,O,H,N
Physics,What is the unit of charge in the metric system?,Coulomb,Volt,Ampere,Ohm
Biology,What is the name of the process by which cells divide into two identical daughter cells?,Mitosis,Meiosis,Fertilization,Differentiation
Geology,What is the term for the shaking or trembling of the Earth's surface caused by the movement of tectonic plates?,Earthquake,Volcano,Tsunami,Avalanche
Chemistry,What is the chemical symbol for sodium?,Na,K,Ca,Mg
Physics,What is the term for the force that opposes motion between two surfaces in contact?,Friction,Gravity,Inertia,Torque
Biology,What is the name of the specialized cells that carry oxygen in the blood?,Red blood cells,White blood cells,Platelets,Plasma
Geology,What is the term for the process by which sediment is laid down in a new location?,Deposition,Erosion,Weathering,Transportation
Chemistry,What is the chemical symbol for hydrogen?,H,O,N,C
Physics,What is the unit of energy in the metric system?,Joule,Newton,Watt,Meter
Biology,What is the name of the pigment that gives plants their green color?,Chlorophyll,Carotene,Xanthophyll,Anthocyanin
Geology,What is the term for the layer of rock that is made up of the Earth's crust and the upper part of the mantle?,Lithosphere,Asthenosphere,Mesosphere,Core
Chemistry,What is the chemical symbol for iron?,Fe,Au,Ag,Cu
Physics,What is the term for the change in frequency of a wave due to the motion of the source or the observer?,Doppler effect,Interference,Diffraction,Reflection
Biology,What is the name of the part of the brain that controls balance and coordination?,Cerebellum,Cerebrum,Medulla oblongata,Hypothalamus
Geology,What is the term for the study of the Earth's history as revealed in the rock record?,Geology,Paleontology,Stratigraphy,Petrology
Chemistry,What is the chemical symbol for silver?,Ag,Au,Cu,Fe
Physics,What is the term for a material that allows electricity or heat to pass through it easily?,Conductor,Insulator,Resistor,Capacitor
Biology,What is the name of the process by which organisms break down complex organic molecules into simpler ones| releasing energy in the process?,Cellular respiration,Fermentation,Photosynthesis,Diffusion
Geology,What is the term for the movement of water through the Earth's crust?,Groundwater flow,Surface runoff,Infiltration,Erosion
Chemistry,What is the chemical symbol for nitrogen?,N,O,H,C
Physics,What is the term for the resistance of a fluid to flow?,Viscosity,Density,Buoyancy,Surface tension
Biology,What is the name of the gland that produces insulin and glucagon to regulate blood sugar levels?,Pancreas,Thyroid,Pituitary,Adrenal
Geology,What is the term for the bending of light as it passes through a material of different density?,Refraction,Reflection,Diffraction,Absorption
Chemistry,What is the chemical symbol for calcium?,Ca,Na,K,Mg
Physics,What is the term for the rate at which work is done or energy is transferred?,Power,Force,Work,Energy
Biology,What is the name of the hormone produced by the pineal gland that regulates sleep and wake cycles?,Melatonin,Serotonin,Dopamine,Endorphin
Geology,What is the term for the type of rock that is formed from the accumulation of layers of sediment?,Sedimentary,Igneous,Metamorphic,Volcanic
Chemistry,What is the chemical symbol for copper?,Cu,Ag,Au,Fe
Physics,What is the term for the measure of the amount of matter in an object?,Mass,Weight,Volume,Density
Biology,What is the name of the process by which genetic information from DNA is copied into RNA?,Transcription,Translation,Replication,Mutation
Geology,What is the term for the point on the Earth's surface directly above the focus of an earthquake?,Epicenter,Hypocenter,Fault,Tsunami
Chemistry,What is the chemical formula for water?,H2O,CO2,NH3,CH4
Physics,What is the term for the tendency of a moving object to continue moving in a straight line at a constant speed?,Inertia,Momentum,Acceleration,Force
Biology,What is the name of the process by which plants produce offspring without fertilization?,Asexual reproduction,Sexual reproduction,Pollination,Fertilization
Geology,What is the term for the process by which rocks change form or composition due to heat and pressure?,Metamorphism,Weathering,Erosion,Deposition
Chemistry,What is the chemical symbol for lead?,Pb,Sn,Al,Ni
Physics,What is the term for the measure of the amount of heat energy required to raise the temperature of a substance?,Specific heat,Heat capacity,Thermal conductivity,Temperature
Biology,What is the name of the system in the body that is responsible for protection against disease?,Immune system,Nervous system,Endocrine system,Cardiovascular system
Geology,What is the term for the theory that explains the movement of tectonic plates?,Plate tectonics,Continental drift,Seafloor spreading,Subduction
Chemistry,What is the chemical symbol for helium?,He,Ne,Ar,Kr
Physics,What is the term for the measure of the amount of electrical charge stored in a capacitor?,Capacitance,Resistance,Current,Voltage
