Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Golgi Apparatus,Endoplasmic Reticulum
Physics,What is the formula for force?,mass x acceleration,mass + acceleration,mass - acceleration,mass / acceleration
Chemistry,What is the chemical symbol for gold?,Au,Ag,Pt,Cu
Earth Science,What is the largest layer in the Earth's atmosphere?,Stratosphere,Troposphere,Mesosphere,Thermosphere
Biology,Which system produces white blood cells?,Immune System,Circulatory System,Respiratory System,Nervous System
Physics,What unit is used to measure force?,newtons,joules,watts,volts
Chemistry,What is the chemical symbol for sodium?,Na,K,Fe,Cu
Earth Science,What is the process by which rocks are broken down into smaller pieces?,erosion,weathering,deposition,sedimentation
Biology,What is the function of the respiratory system?,to take in oxygen and release carbon dioxide,to digest food,to circulate blood,to move the body
Physics,What is the formula for potential energy?,mass x gravity x height,mass x speed,mass x acceleration,mass x velocity
Chemistry,What is the chemical symbol for carbon?,C,H,O,N
Earth Science,What is the boundary between two tectonic plates called?,fault,rift,crust,mantle
Biology,What is the function of the nervous system?,to send and receive signals throughout the body,to pump blood throughout the body,to produce and release hormones,to break down food
Physics,What is the formula for kinetic energy?,1/2 x mass x velocity^2,mass x speed,mass x acceleration,mass x gravity
Chemistry,What is the chemical symbol for oxygen?,O,C,H,N
Earth Science,What type of rock is formed from cooling lava or magma?,igneous,sedimentary,metamorphic,all of the above
Biology,Which type of blood vessel carries blood away from the heart?,arteries,capillaries,veins,lymphatics
Physics,What is the formula for work?,force x distance,force / distance,force + distance,force - distance
Chemistry,What is the chemical formula for water?,H2O,CO2,CH4,N2O
Earth Science,What is the second largest planet in our solar system?,Saturn,Jupiter,Mars,Venus
Biology,Which organ produces bile?,liver,pancreas,gallbladder,stomach
Physics,What is the formula for power?,work / time,work x time,work + time,work - time
Chemistry,What is the chemical formula for carbon dioxide?,CO2,H2O,CH4,NO2
Earth Science,What type of rock is formed from layers of sediment?,sedimentary,igneous,metamorphic,all of the above
Biology,Which system is responsible for producing hormones?,Endocrine System,Digestive System,Respiratory System,Circulatory System
Physics,What is the formula for pressure?,force / area,force x area,force + area,force - area
Chemistry,What is the chemical formula for methane?,CH4,CO2,H2O,NO2
Earth Science,What is the term for the layer of Earth's atmosphere that contains the ozone layer?,stratosphere,troposphere,mesosphere,thermosphere
Biology,Which part of the brain controls balance and coordination?,cerebellum,cerebrum,medulla oblongata,thalamus
Physics,What is the formula for acceleration?,change in velocity / time,velocity / time,force / mass,mass x velocity
Chemistry,What is the chemical formula for nitrogen?,N2,CO2,H2O,NO2
Earth Science,What is the process by which water changes from a liquid to a gas?,evaporation,condensation,precipitation,transpiration
Biology,Which system is responsible for breaking down food?,Digestive System,Circulatory System,Respiratory System,Endocrine System
Physics,What is the formula for frequency?,1 / period,period / 1,velocity x wavelength,amplitude / wavelength
Chemistry,What is the chemical formula for carbon monoxide?,CO,CO2,H2CO3,C2H2
Earth Science,What is the process by which water changes from a gas to a liquid?,condensation,evaporation,precipitation,transpiration
Biology,Which part of the brain controls breathing and heart rate?,medulla oblongata,cerebellum,cerebrum,thalamus
Physics,What is the formula for resistance?,voltage / current,current / voltage,voltage x current,voltage + current
Chemistry,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH
Earth Science,What is the term for a large and powerful tornado?,tornado,hurricane,typhoon,supercell
Biology,Which system is responsible for removing waste from the body?,Excretory System,Circulatory System,Respiratory System,Endocrine System
Physics,What is the formula for voltage?,current x resistance,resistance / current,power / current,energy / charge
Chemistry,What is the chemical formula for hydrochloric acid?,HCl,H2SO4,NaOH,CH3COOH
Earth Science,What is the term for the layer of Earth's atmosphere where the northern lights can be seen?,thermosphere,ionosphere,exosphere,mesosphere
Biology,Which type of muscle is not under conscious control?,involuntary,voluntary,cardiac,skeletal
Physics,What is the formula for electric power?,voltage x current,current / voltage,energy / time,work / time
Chemistry,What is the chemical formula for acetic acid?,CH3COOH,HCl,H2SO4,NaOH
Earth Science,What is the term for the boundary between the Earth's crust and mantle?,Moho,Kara Sea,Isthmus of Panama,Amazon River
Biology,Which organ produces insulin?,pancreas,liver,stomach,heart
Physics,What is Ohm's law?,voltage = current x resistance,current = voltage / resistance,power = energy / time,pressure = force / area
Chemistry,What is the chemical formula for ammonia?,NH3,NO2,CO2,H2O
Earth Science,What is the term for a frozen mixture of snow and ice?,glacier,avalanche,frost,permafrost
