Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the SI unit of force?,Newton,Watt,Pascal,Joule
Chemistry,Which gas is not a noble gas?,Oxygen,Argon,Helium,Neon
Biology,Which of the following is not an organ?,Skin,Brain,Heart,Cell
Physics,What is the formula to calculate work?,Force x Distance,Mass x Velocity,Distance x Time,Velocity x Time
Chemistry,What is the atomic number of carbon?,6,8,12,14
Biology,What type of blood cell is responsible for carrying oxygen?,Red blood cell,White blood cell,Platelet,Neuron
Physics,What is the formula to calculate power?,Work/Time,Force x Distance,Mass x Velocity,Velocity x Time
Chemistry,Which element has the symbol Na?,Sodium,Nitrogen,Neon,Nickel
Biology,What part of the cell is responsible for producing energy?,Mitochondria,Ribosome,Nucleus,Golgi apparatus
Physics,What is the formula for acceleration?,Change in Velocity/Time,Force x Distance,Velocity x Time,Work/Time
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Golgi apparatus
Physics,What is the force acting on an object due to gravity?,Weight,Mass,Velocity,Acceleration
Chemistry,What is the formula for water?,H2O,CO2,NaCl,O2
Biology,What is the functional unit of the kidney?,Nephron,Glomerulus,Tubule,Artery
Physics,What is the formula for density?,Mass/Volume,Velocity x Time,Force x Distance,Work/Time
Chemistry,What is the atomic number of oxygen?,8,6,12,14
Biology,What is the largest organ in the human body?,Skin,Heart,Liver,Lungs
Physics,What is the formula for momentum?,Mass x Velocity,Force x Distance,Work/Time,Velocity x Time
Chemistry,What is the chemical symbol for silver?,Ag,Au,Fe,Cu
Biology,What is the smallest unit of life?,Cell,Organ,Tissue,Organism
Physics,What is the law that states that every action has an equal and opposite reaction?,Newton's Third Law,Newton's Second Law,Newton's First Law,Boyle's Law
Chemistry,What is the chemical formula for glucose?,C6H12O6,CO2,NaCl,H2O
Biology,Which body system is responsible for circulating blood throughout the body?,Cardiovascular System,Nervous System,Respiratory System,Immune System
Physics,What is the formula for kinetic energy?,1/2 x Mass x Velocity^2,Force x Distance,Velocity x Time,Work/Time
Chemistry,What is the chemical symbol for iron?,Fe,Ag,Au,Cu
Biology,What is the fluid that surrounds the brain and spinal cord called?,Cerebrospinal fluid,Plasma,Lymph,Synovial fluid
Physics,What is the formula for potential energy?,Mass x Gravity x Height,Force x Distance,Velocity x Time,Work/Time
Chemistry,Which element is a halogen?,Fluorine,Carbon,Iron,Magnesium
Biology,What is the name for the process by which plants make their own food?,Photosynthesis,Cellular respiration,Fermentation,Digestion
Physics,What is the formula for force?,Mass x Acceleration,Velocity x Time,Work/Time,Distance x Time
Chemistry,What is the chemical symbol for copper?,Cu,Ag,Au,Fe
Biology,What is the process by which white blood cells engulf and digest invaders called?,Phagocytosis,Exocytosis,Pinocytosis,Endocytosis
Physics,What is the formula for pressure?,Force/Area,Velocity x Time,Work/Time,Distance x Time
Chemistry,What is the chemical symbol for nitrogen?,N,O,C,H
Biology,What is the term for the process of cell division in which two identical daughter cells are produced?,Mitosis,Meiosis,Cytokinesis,Fertilization
Physics,What is the formula for torque?,Force x Lever Arm,Velocity x Time,Work/Time,Distance x Time
Chemistry,What is the chemical symbol for helium?,He,Ar,Ne,Kr
Biology,What is the process by which water moves across a selectively permeable membrane?,Osmosis,Diffusion,Active transport,Facilitated diffusion
Physics,What is the formula for wavelength?,Speed of light/Frequency,Velocity x Time,Work/Time,Distance x Time
Chemistry,Which element has the symbol Mg?,Magnesium,Iron,Aluminum,Sodium
Biology,What is the term for the disease-causing agent?,Pathogen,Antibody,Antigen,Virus
Physics,What is the formula for frequency?,Speed of Light/Wavelength,Velocity x Time,Work/Time,Distance x Time
Chemistry,What is the chemical symbol for sodium?,Na,Ca,Fe,Cu
Biology,What is the term for the study of the interactions between living organisms and their environment?,Ecology,Genetics,Anatomy,Physiology
Physics,What is the formula for electric power?,Voltage x Current,Velocity x Time,Work/Time,Distance x Time
Chemistry,What is the formula for sulfuric acid?,H2SO4,HCl,NaOH,HNO3
Biology,What is the process by which cells break down sugar to produce ATP?,Cellular respiration,Photosynthesis,Fermentation,Digestion
Physics,What is the formula for electric field strength?,Force/Charge,Velocity x Time,Work/Time,Distance x Time
Chemistry,What is the chemical formula for sodium chloride?,NaCl,H2SO4,HCl,HNO3
Biology,What is the term for the creation of a new organism by combining genetic material from two different individuals?,Sexual reproduction,Asexual reproduction,Fertilization,Pollination
