Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the atomic number of Carbon?,6,7,8,9
Physics,What is the SI unit of force?,Newton,Joule,Watt,Ohm
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Kidney
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Geology,Which type of rock is formed from the cooling of lava or magma?,Igneous,Sedimentary,Metamorphic,Volcanic
Chemistry,What is the process of gaining electrons called?,Reduction,Oxidation,Combustion,Fusion
Physics,What is the speed of light in a vacuum?,299|792|458 meters per second,300|000|000 meters per second,299|999|999 meters per second,299|990|000 meters per second
Biology,What is the function of the mitochondria in a cell?,Produce ATP,Break down glucose,Synthesize proteins,Store genetic information
Astronomy,What is the name of the nearest star to Earth besides the Sun?,Proxima Centauri,Alpha Centauri A,Alpha Centauri B,Sirius
Geology,What is the process of transforming sediments into solid rock called?,Lithification,Erosion,Weathering,Deposition
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Physics,What is the formula for pressure?,Force/Area,Mass x Acceleration,Distance/Time,Power/Voltage
Biology,What type of cell lacks a nucleus?,Prokaryotic,Eukaryotic,Mitochondrial,Chloroplast
Astronomy,What type of galaxy is the Milky Way?,Spiral,Elliptical,Irregular,Dwarf
Geology,What is the softest mineral on the Mohs hardness scale?,Talc,Gypsum,Calcite,Fluorite
Chemistry,What is the pH scale used to measure?,Acidity,Temperature,Salinity,Pressure
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed,Energy is constant,Energy is proportional to mass,Energy is inversely proportional to distance squared
Biology,What is the smallest unit of life?,Cell,Organism,Tissue,Molecule
Astronomy,What was the name of the first satellite to orbit Earth?,Sputnik 1,Explorer 1,Vanguard 1,Luna 1
Geology,What type of rock is formed from the accumulation of organic material?,Sedimentary,Metamorphic,Igneous,Siltstone
Chemistry,What is the formula for water?,H2O,CO2,NaCl,C6H12O6
Physics,What is Newton's first law of motion?,An object at rest stays at rest| and an object in motion stays in motion with the same speed and in the same direction| unless acted upon by an unbalanced force.,The force of an object is equal to its mass times its acceleration.,For every action| there is an equal and opposite reaction.,The acceleration of an object is directly proportional to the net force acting on the object and inversely proportional to its mass.
