Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Golgi Apparatus,Endoplasmic Reticulum,Ribosomes
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Physics,What is the formula for speed?,Distance/Time,Force*Distance,Mass*Acceleration,Energy/Time
Biology,What is the process by which plants make their own food called?,Photosynthesis,Respiration,Digestion,Assimilation
Chemistry,What is the pH of pure water?,7,6,8,9
Physics,What is the unit of electric current?,Ampere,Watt,Volt,Joule
Biology,What is the process by which cells divide called?,Mitosis,Meiosis,Cytokinesis,Interphase 
Chemistry,Which gas is most abundant in the earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon
Physics,What is the formula for force?,Mass*Acceleration,Energy/Time,Pressure*Volume,Electric Charge*Voltage
Biology,Which disease is caused by the deficiency of Vitamin C?,Scurvy,Beriberi,Rickets,Night blindness
Chemistry,Which element is the most electronegative?,Fluorine,Oxygen,Chlorine,Nitrogen
Physics,What is the acceleration due to gravity on earth?,9.8 m/s^2,8.5 m/s^2,10.5 m/s^2,9.2 m/s^2
Biology,Which organ produces insulin in humans?,Pancreas,Liver,Spleen,Lungs
Chemistry,Which is the lightest gas?,Hydrogen,Oxygen,Nitrogen,Carbon Dioxide
Physics,What is the unit of work?,Joule,Watt,Newton,Meter
Biology,What is the largest mammal in the world?,Blue Whale,Elephant,Giraffe,Hippopotamus
Chemistry,Which gas is used in electric bulbs?,Argon,Nitrogen,Oxygen,Carbon Dioxide
Physics,What is the formula for momentum?,Mass*Velocity,Energy/Time,Pressure*Volume,Electric Charge*Voltage
Biology,What is the smallest bone in the human body?,Stapes,Cochlea,Incus,Malleus
Chemistry,Which is the lightest metal?,Lithium,Aluminum,Potassium,Gold
Physics,What is the unit of potential difference?,Volt,Watt,Newton,Meter
Biology,Which acid is found in vinegar?,Acetic Acid,Citric Acid,Sulphuric Acid,Phosphoric Acid
Chemistry,Which element is used to make computer chips?,Silicon,Carbon,Gold,Iron
Physics,What is the formula for kinetic energy?,1/2* Mass*Velocity^2,Energy/Time,Pressure*Volume,Electric Charge*Voltage
Biology,What is the largest organ in the human body?,Skin,Liver,Brain,Heart
Chemistry,What is the chemical formula for table salt?,NaCl,H2O,CO2,Fe2O3
Physics,What is the unit of frequency?,Hertz,Watt,Newton,Meter
Biology,Which insect is known for spreading malaria?,Mosquito,Fly,Ant,Bee
Chemistry,Which gas is used in balloons to make them float?,Helium,Oxygen,Nitrogen,Carbon Dioxide
Physics,What is the formula for power?,Energy/Time,Mass*Acceleration,Force*Distance,Electric Charge*Voltage
Biology,What is the most common blood type among humans?,Type O,Type A,Type B,Type AB
Chemistry,What is the atomic number of carbon?,6,4,8,12
Physics,What is the unit of pressure?,Pascal,Watt,Newton,Meter
Biology,What is the longest bone in the human body?,Femur,Humerus,Radius,Ulna
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,Fe2O3
Physics,What is the formula for density?,Mass/Volume,Energy/Time,Force/Distance,Electric Charge/Voltage
Biology,What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Uranus
Chemistry,Which acid is found in lemons?,Citric Acid,Acetic Acid,Sulphuric Acid,Phosphoric Acid
Physics,What is the unit of temperature?,Kelvin,Watt,Newton,Meter
Biology,"Which domestic animal is known as the ""Ship of the desert""?",Camel,Horse,Donkey,Cow
Chemistry,Which element is added to steel to make it stainless?,Chromium,Titanium,Cobalt,Nickel
Physics,What is the formula for pressure?,Force/Area,Mass*Acceleration,Energy/Time,Electric Charge*Voltage
Biology,Which food group provides the most energy to the body?,Carbohydrates,Proteins,Fats,Vitamins
Chemistry,What is the atomic number of iron?,26,14,18,30
Physics,What is the unit of electric resistance?,Ohm,Watt,Newton,Meter
Biology,What is the most common gas in the earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon
Chemistry,Which is the heaviest metal?,Osmium,Titanium,Copper,Zinc
Physics,What is the formula for electric power?,Voltage*Current,Mass*Acceleration,Force*Distance,Energy/Time
