Index,Topic,Question,Answer,Distractor1,Distractor2,Distractor3,The topic and question are related,The marked answer is correct,The question is difficult,The meaning of the question is clear,The distractor answers are relavant to the question,,Additional Notes:,"--Dan is strong in Biology, Chemistry, Physics, Anatomy.                                          --Weak areas: Botany, Geology, Meteorology, Earth Sci"
8460,[N/A],How many main types of diabetes are there?,two,three,one,six,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
11425,[N/A],What is the minimum number of times a partial lunar eclipse will occur each year?,two,six,11,five,[N/A],6 - Agree,6 - Agree,7 - Strongly Agree,6 - Agree,,,
545,[N/A],What is the three-dimensional structure of a single polypeptide called?,tertiary structure,immature Structure,Cysteine structure,immature structure,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
574,[N/A],How many ways are there for a species to go extinct?,two,four,eight,Ten,[N/A],2 - Disagree,6 - Agree,5 - Somewhat Agree,6 - Agree,,"As a non-ecology expert, I think this is a hard and weird question",Online research turns multiple frameworks w/ differing numbers of ways a species can go extinct
144,[N/A],Energy contents of foods are often expressed in what?,calories,pulses,grams,nutrients,[N/A],7 - Strongly Agree,2 - Disagree,6 - Agree,5 - Somewhat Agree,,"I think most people, even bio laymen, know that food calories = energy",
774,[N/A],The axon is a long extension of the cell body that transmits what to other cells?,nerve impulses,calcium impulses,synthesis impulses,blood impulses,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,4 - Neither Agree nor Disagree,,,
190,[N/A],What is the process by which water moves through semi-permeable membranes from one part of the body to another?,osmosis,diffusion,electrolysis,mitosis,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
2269,[N/A],"What kind of process occurs naturally under certain conditions, unlike its opposite, which will not take place unless it is “driven” by the continual input of energy from an external source?",spontaneous process,controlled process,noticeable process,activation process,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
60,[N/A],What type of bonds are formed by the side-to-side overlap of p orbitals?,pi bonds,sigma bonds,omega bonds,theta bonds,[N/A],7 - Strongly Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
8336,[N/A],What is the term for the distance between two corresponding points on adjacent waves?,wavelength,arc wave,variation,bandwidth,[N/A],6 - Agree,5 - Somewhat Agree,5 - Somewhat Agree,5 - Somewhat Agree,,,
1953,[N/A],What do the muscles of the gastrointestinal tract do?,keep food moving,break down food,secrete stomach acid,stop digestion,[N/A],6 - Agree,5 - Somewhat Agree,5 - Somewhat Agree,6 - Agree,,,
2983,[N/A],What term is used to describe the sequence of elementary steps that together comprise an entire chemical reaction?,reaction mechanism,source mechanism,elemental mechanism,potassium mechanism,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
9298,[N/A],Cardiomyocytes are striated muscle cells found where?,in cardiac tissue,in the diaphram,in lung tissue,in the intestines,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,6 - Agree,6 - Agree,,"""cardio-"" and ""cardiac"" very similar, probably most laypeople could guess the right answer",
201,[N/A],The noble gases are unreactive because of their?,electron configurations,cell configurations,proton configurations,carbon content,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
7128,[N/A],"When gametes unite during fertilization, the resulting zygote inherits two of what for each gene, one from each parent?",alleles,chromosomes,genomes,molecules,[N/A],7 - Strongly Agree,5 - Somewhat Agree,6 - Agree,6 - Agree,,,
7178,[N/A],Electrical energy consumed can be expressed as the product of power multiplied by what else?,time,work,energy,speed,[N/A],7 - Strongly Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
6586,[N/A],"The earliest cells were prokaryotes, surrounded by a cell membrane but lacking which key structure?",nucleus,mitochondria,ribosomes,lysosomes,[N/A],2 - Disagree,6 - Agree,2 - Disagree,6 - Agree,,"Bad question: Yes, prokaryotes lack nuclei (admittedly best answer), but they also lack mitochondria and lysosomes",
6276,[N/A],"All animals have specialized types of what basic structures, which can then do different jobs?",cells,proteins,muscles,atoms,[N/A],3 - Somewhat Disagree,6 - Agree,2 - Disagree,6 - Agree,,"""Cells"" is probably best answer, but question very vague, ""proteins"" and ""muscles"" could also work",
10229,[N/A],What is the term for the visible part of the electromagnetic spectrum?,light,chroma,gravity,electricity,[N/A],6 - Agree,3 - Somewhat Disagree,6 - Agree,4 - Neither Agree nor Disagree,,,
8697,[N/A],How many membranes form the mitochondrion structure of a cell?,two,one,five,three,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,,,
9137,[N/A],When did new plants start sprouting after the forest fire?,two months later,five months later,two weeks later,two days later,[N/A],4 - Neither Agree nor Disagree,7 - Strongly Agree,1 - Strongly Disagree,6 - Agree,,"...Is this a reading prompt question? (Based on the ""support"" column?) Impossible to answer without context, unless plant regrowth takes constant time",
