Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is ATP?,Adenosine Triphosphate,Adenosine Monophosphate,Adenosine Diphosphate,Adenosine Tetraphosphate
Biology,What is the function of mitochondria?,To produce energy,To store water,To produce hormones,To fight infections
Biology,What is the correct order of levels of organization in an ecosystem| from least complex to most complex?,Organism| Population| Community| Ecosystem,Population| Ecosystem| Community| Organism,Organism| Ecosystem| Population| Community,Community| Population| Organism| Ecosystem
Biology,What is the role of ribosomes in protein synthesis?,To create proteins,To store proteins,To break down proteins,To transport proteins
Biology,Which of the following is a renewable resource?,Solar energy,Coal,Oil,Natural gas
Biology,What is the function of the digestive system?,To break down food and absorb nutrients,To circulate blood,To process waste,To generate heat
Biology,What is the largest organ in the human body?,Skin,Heart,Liver,Lungs
Biology,What is a cell membrane made of?,Phospholipids,Proteins,Carbohydrates,Nucleic acids
Biology,Which of the following is not a function of the liver?,Production of insulin,Detoxification of blood,Production of bile,Regulation of blood sugar levels
Biology,What is the role of chloroplasts in photosynthesis?,To convert sunlight into energy,To store energy,To break down glucose,To transport nutrients
Chemistry,What is the atomic number of carbon?,6,8,10,12
Chemistry,What is the formula for water?,H2O,HO2,H3O,H2O2
Chemistry,What is the name for a substance that speeds up a chemical reaction?,Catalyst,Reductant,Oxidant,Reactant
Chemistry,Which of the following is a noble gas?,Argon,Oxygen,Carbon,Hydrogen
Chemistry,What is the symbol for sodium?,Na,Ca,K,Fe
Chemistry,What is the formula for table salt?,NaCl,CaCl2,MgCl2,KCl
Chemistry,What is a pH of 7 considered?,Neutral,Acidic,Basic,Alkaline
Chemistry,What is the term for a substance that dissolves in water?,Hydrophilic,Hydrophobic,Nonpolar,Polar
Chemistry,What is the formula for methane?,CH4,CH3OH,C2H6,C2H4
Chemistry,What is the process of turning a liquid into a gas called?,Evaporation,Condensation,Sublimation,Deposition
Physics,What is the formula for acceleration?,a = (vf - vi)/t,a = vi/t,a = vf/t,a = vi + vf
Physics,What is the formula for force?,F = ma,F = mv,F = pt,F = ke
Physics,What is the formula for work?,W = Fd,W = Fa,W = mgh,W = ke
Physics,What is the formula for power?,P = W/t,P = Fd/t,P = Fv/t,P = ma/t
Physics,What is the formula for energy?,E = mc^2,E = Fd,E = mgh,E = ke
Physics,What is the formula for momentum?,p = mv,p = Fd,p = ma,p = ke
Physics,What is the formula for velocity?,v = d/t,v = at,v = f/m,v = p/m
Physics,What is the formula for distance?,d = vt,d = at^2,d = vf^2-vi^2/2a,d = pi r^2
Physics,What is the formula for time?,t = d/v,t = v/a,t = F/m,t = p/mv
Physics,What is the formula for gravity?,F = G(m1m2/r^2),F = ma,F = mgh,F = ke
Astronomy,What is the closest star to Earth?,Proxima Centauri,Alpha Centauri,Betelgeuse,Sirius
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Venus
