Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the unit of force?,Newtons,Kilograms,Meters,Seconds
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Biology,What is the substance that provides energy to cells?,ATP,DNA,RNA,Protein
Physics,What is the speed of light in a vacuum?,299792458 m/s,300000000 m/s,200000000 m/s,400000000 m/s
Chemistry,What is the most reactive metal?,Potassium,Sodium,Lithium,Magnesium
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Lysosome
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transformed,Energy can be created or destroyed,Energy can only be transformed,Energy can only be created
Chemistry,What element has the symbol N?,Nitrogen,Neon,Nickel,Nobelium
Biology,What is the process by which plants convert sunlight into energy?,Photosynthesis,Respiration,Fermentation,Digestion
Physics,What is the force that opposes motion?,Friction,Gravity,Momentum,Inertia
Chemistry,What is the state of matter in which the molecules have the least energy?,Gas,Liquid,Solid,Plasma
Biology,What is the smallest unit of life?,Cell,Atom,Molecule,Element
Physics,What is the force that keeps planets in orbit around the sun?,Gravity,Magnetic,Electric,Friction
Chemistry,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon
Biology,What is the substance that carries genetic information?,DNA,RNA,Protein,Carbohydrate
Physics,What is the law of inertia?,An object at rest will stay at rest and an object in motion will stay in motion with the same speed and direction| unless acted upon by an unbalanced force,An object at rest will stay at rest,An object in motion will stay in motion,An object in motion will eventually come to a stop
Chemistry,What is the state of matter in which the molecules have the most energy?,Plasma,Gas,Liquid,Solid
Biology,What is the process by which the body breaks down food into usable energy?,Digestion,Respiration,Fermentation,Photosynthesis
Physics,What is the force that causes objects to fall to the ground?,Gravity,Magnetic,Electric,Friction
Chemistry,What element has the symbol Ca?,Calcium,Carbon,Copper,Cadmium
Biology,What is the process by which cells make more of themselves?,Mitosis,Meiosis,Fermentation,Photosynthesis
Physics,What is the force that causes objects to float in water?,Buoyancy,Magnetic,Electric,Friction
Chemistry,What is the state of matter in which the molecules are closely packed together and have a fixed shape?,Solid,Liquid,Gas,Plasma
Biology,What is the process by which animals exchange gases with their environment?,Respiration,Digestion,Fermentation,Photosynthesis
Physics,What is the law of action and reaction?,For every action| there is an equal and opposite reaction,For every action| there is a larger reaction,The larger the action| the smaller the reaction,There is no such law
Chemistry,What element has the symbol He?,Helium,Hydrogen,Hafnium,Hassium
Biology,What is the process by which cells create new proteins?,Translation,Transcription,Fermentation,Photosynthesis
Physics,What is the force that causes objects to stick together?,Adhesion,Cohesion,Magnetic,Electric
Chemistry,What is the state of matter in which the molecules can move around freely but are still very close together?,Liquid,Solid,Gas,Plasma
Biology,What is the process by which cells destroy old or damaged proteins?,Ubiquitination,Proteolysis,Fermentation,Photosynthesis
Physics,What is the force that causes objects to move in a circle?,Centripetal,Centrifugal,Magnetic,Electric
Chemistry,What element has the symbol Na?,Sodium,Nitrogen,Neon,Nickel
Biology,What is the process by which cells use sugar to create energy?,Cellular respiration,Photosynthesis,Fermentation,Digestion
Physics,What is the force that causes objects to push against each other?,Contact force,Non-contact force,Magnetic,Electric
Chemistry,What is the state of matter in which the molecules have completely ionized?,Plasma,Liquid,Solid,Gas
Biology,What is the process by which cells divide into two identical cells?,Mitosis,Meiosis,Fermentation,Photosynthesis
Physics,What is the force that causes objects of opposite charges to attract each other?,Electric force,Magnetic force,Gravity,Friction
Chemistry,What element has the symbol O?,Oxygen,Osmium,Onium,Oxide
Biology,What is the process by which cells create new DNA?,Replication,Translation,Fermentation,Photosynthesis
Physics,What is the force that causes objects to repel each other if they have the same charge?,Electric force,Magnetic force,Gravity,Friction
Chemistry,What is the state of matter in which the molecules are widely spaced and move independently of each other?,Gas,Liquid,Solid,Plasma
Biology,What is the process by which cells create new RNA?,Transcription,Translation,Fermentation,Photosynthesis
Physics,What is the force that causes objects to align with each other in a magnetic field?,Magnetic force,Electric force,Gravity,Friction
Chemistry,What element has the symbol K?,Potassium,Carbon,Copper,Cadmium
Biology,What is the process by which cells create new proteins using RNA?,Translation,Transcription,Fermentation,Photosynthesis
Physics,What is the force that causes objects to experience a force due to their motion in fluids?,Drag force,Gravity,Magnetic,Electric
Chemistry,What is the state of matter in which the molecules have partially ionized?,Plasma,Liquid,Solid,Gas
Biology,What is the process by which cells divide into four non-identical cells?,Meiosis,Mitosis,Fermentation,Photosynthesis
Physics,What is the force that causes objects to experience a force due to their motion through a magnetic field?,Magnetic force,Electric force,Gravity,Friction
Chemistry,What element has the symbol C?,Carbon,Calcium,Copper,Cadmium
Biology,What is the process by which plants create new DNA?,Replication,Transcription,Fermentation,Photosynthesis
Physics,What is the force that causes objects to experience a force due to their electric charge?,Electric force,Magnetic force,Gravity,Friction
