Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,Which of the following is a characteristic of living things?,Ability to reproduce,Ability to replicate,Ability to mutate,Ability to photosynthesize
Physics,What is the formula for force?,Force = mass * acceleration,Force = acceleration / mass,Force = mass / acceleration,Force = acceleration + mass
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Biology,What is the function of ribosomes?,Protein synthesis,Energy production,DNA replication,Cell division
Physics,What is the unit for measuring resistance?,Ohm,Ampere,Volt,Watt
Chemistry,What is the pH of a neutral substance?,7,6,8,9
Biology,What is the primary function of the respiratory system?,Gas exchange,Hormone production,Immune defense,Temperature regulation
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed,Energy always flows from hot to cold,The rate of change of energy is proportional to the force applied,The amount of energy required to move an object is directly proportional to its mass
Chemistry,What is the chemical formula for water?,H2O,CO2,CH4,NH3
Biology,What is the function of the pancreas?,Produce insulin,Produce bile,Digest food,Filter blood
Physics,What is the formula for velocity?,Velocity = distance / time,Velocity = time / distance,Velocity = force * time,Velocity = mass * acceleration
Chemistry,What is the chemical symbol for carbon?,C,O,H,N
Biology,What is the function of the mitochondria?,Energy production,Protein synthesis,DNA replication,Cell division
Physics,What is the difference between speed and velocity?,Velocity includes direction| speed does not,Speed includes direction| velocity does not,Speed is measured in miles per hour| velocity is measured in meters per second,Velocity is constant| speed can vary
Chemistry,What happens in a chemical reaction?,Chemical bonds are broken and formed,Molecules become smaller,Atoms become larger,Molecules become larger
Biology,What is the function of the liver?,Filter blood,Produce insulin,Produce bile,Digest food
Physics,What is Newton's first law?,An object at rest tends to stay at rest and an object in motion tends to stay in motion with the same speed and direction| unless acted upon by a net external force,Force equals mass times acceleration,For every action| there is an equal and opposite reaction,The force of gravity between two objects is proportional to the product of their masses
Chemistry,What is the chemical symbol for hydrogen?,H,O,C,N
Biology,What is the function of the endocrine system?,Regulate hormones,Transport blood,Digest food,Exchange gases
Physics,What is the formula for acceleration?,Acceleration = (final velocity - initial velocity) / time,Acceleration = force / mass,Acceleration = mass / force,Acceleration = distance / time
Chemistry,What is the chemical formula for carbon dioxide?,CO2,H2O,CH4,NH3
Biology,What is the function of the kidneys?,Filter blood,Produce insulin,Produce bile,Digest food
Physics,What is Newton's second law?,Force equals mass times acceleration,An object at rest tends to stay at rest and an object in motion tends to stay in motion with the same speed and direction| unless acted upon by a net external force,For every action| there is an equal and opposite reaction,The force of gravity between two objects is proportional to the product of their masses
Chemistry,What is the chemical symbol for oxygen?,O,H,C,N
Biology,What is the function of the nervous system?,Control and coordinate body functions,Regulate hormones,Transport blood,Exchange gases
Physics,What is Newton's third law?,For every action| there is an equal and opposite reaction,Force equals mass times acceleration,An object at rest tends to stay at rest and an object in motion tends to stay in motion with the same speed and direction| unless acted upon by a net external force,The force of gravity between two objects is proportional to the product of their masses
Chemistry,What is the chemical formula for methane?,CH4,CO2,H2O,NH3
Biology,What is the function of the circulatory system?,Transport nutrients and gases,Produce insulin,Produce bile,Digest food
Physics,What is the difference between kinetic energy and potential energy?,Kinetic energy is energy in motion| potential energy is stored energy,Potential energy is energy in motion| kinetic energy is stored energy,Kinetic energy is energy that is lost during collisions| potential energy is energy that is gained,Potential energy is energy that is lost during collisions| kinetic energy is energy that is gained
Chemistry,What is the chemical symbol for nitrogen?,N,O,H,C
Biology,What is the function of the immune system?,Protect against pathogens,Produce insulin,Produce bile,Digest food
Physics,What is the formula for work?,Work = force * distance,Work = distance / force,Work = force / distance,Work = mass * velocity
Chemistry,What is the chemical formula for ammonia?,NH3,CO2,H2O,CH4
Biology,What is the function of the skeletal system?,Provide support and protection,Regulate hormones,Transport blood,Exchange gases
Physics,What is the law of gravity?,The force of gravity between two objects is proportional to the product of their masses and inversely proportional to the distance between them squared,Energy cannot be created or destroyed,Energy always flows from hot to cold,The rate of change of energy is proportional to the force applied
Chemistry,What is the chemical symbol for calcium?,Ca,Cu,Fe,Ag
Biology,What is the function of the muscular system?,Produce movement and generate heat,Produce insulin,Produce bile,Digest food
Physics,What is the formula for power?,Power = work / time,Power = time / work,Power = force * distance,Power = mass * velocity
Chemistry,What is the chemical formula for glucose?,C6H12O6,CO2,H2O,CH4
Biology,What is the function of the digestive system?,Break down food and absorb nutrients,Regulate hormones,Transport blood,Exchange gases
Physics,What is the difference between potential difference and electromotive force?,Potential difference is the difference in potential energy per unit charge| electromotive force is a measure of the energy per unit charge supplied by a battery or generator,Electromotive force is the difference in potential energy per unit charge| potential difference is a measure of the energy per unit charge supplied by a battery or generator,Potential difference is a measure of the energy per unit charge supplied by a battery or generator| electromotive force is the difference in potential energy per unit charge supplied by a battery or generator,Electromotive force is a measure of the energy per unit charge supplied by a battery or generator| potential difference is the difference in potential energy per unit charge
Chemistry,What happens in an acid-base neutralization reaction?,An acid and a base react to form salt and water,Acid and base molecules become smaller,Atoms become larger,Molecules become larger
Biology,What is the function of the integumentary system?,Protect against external damage and regulate temperature,Regulate hormones,Transport blood,Exchange gases
Physics,What is the formula for density?,Density = mass / volume,Density = volume / mass,Density = force / area,Density = pressure / area
Chemistry,What is the chemical symbol for sodium?,Na,K,Li,Cs
Biology,What is the function of the reproductive system?,Reproduce offspring,Regulate hormones,Transport blood,Exchange gases
Physics,What is the difference between weight and mass?,Weight is the force of gravity on an object| mass is the amount of matter in an object,Mass is the force of gravity on an object| weight is the amount of matter in an object,Mass and weight are the same thing,Mass is the amount of matter in an object| weight is the amount of energy in an object
Chemistry,What happens during a combustion reaction?,A hydrocarbon and oxygen react to form water and carbon dioxide,Atoms become larger,Molecules become smaller,Molecules become larger
Biology,What is the function of the excretory system?,Eliminate waste,Regulate hormones,Transport blood,Exchange gases
Physics,What is the formula for pressure?,Pressure = force / area,Pressure = area / force,Pressure = mass / volume,Pressure = density * acceleration due to gravity
Chemistry,What is the chemical symbol for iron?,Fe,Cu,Ag,Au
Biology,What is the function of the lymphatic system?,Transport and filter lymph,Regulate hormones,Transport blood,Exchange gases
