Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the atomic symbol for carbon?,C,O,H,N
Physics,What type of electromagnetic radiation has the shortest wavelength?,Gamma rays,Microwaves,Radio waves,X-rays
Biology,What are the building blocks of proteins called?,Amino acids,Carbohydrates,Fatty acids,Nucleotides
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,CaCO3
Physics,What is the formula for calculating velocity?,Velocity = Distance/Time,Velocity = Time/Distance,Velocity = Force x Mass,Velocity = Work/Time
Biology,What is the smallest unit of life?,Cell,Molecule,Atom,Organism
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Physics,What is Newton's Second Law of Motion?,Force = Mass x Acceleration,Velocity = Distance/Time,Work = Force x Distance,Power = Work/Time
Biology,What is the process by which plants make their own food?,Photosynthesis,Respiration,Digestion,Fermentation
Chemistry,What is the pH of water?,7,1,14,4
Physics,What is the SI unit for electrical current?,Ampere,Ohm,Volt,Watt
Biology,What is the name of the protein that carries oxygen in red blood cells?,Hemoglobin,Insulin,Collagen,Actin
Chemistry,What is the chemical formula for methane?,CH4,CO2,H2O,N2
Physics,What is the equation for calculating work?,Work = Force x Distance,Work = Mass x Acceleration,Work = Power/Time,Work = Velocity/Distance
Biology,What is the name of the diffusion of water across a semi-permeable membrane?,Osmosis,Diffusion,Active transport,Facilitated diffusion
Chemistry,What is the chemical symbol for sulfur?,S,Si,SC,Se
Physics,What is the formula for calculating acceleration?,Acceleration = (Final Velocity - Initial Velocity)/Time,Acceleration = Force/Mass,Acceleration = Distance/Time,Acceleration = Work/Time
Biology,Which of the following is not a macromolecule?,Water,Protein,Carbohydrate,Nucleic Acid
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CH4,H2O,N2
Physics,What is the formula for calculating force?,Force = Mass x Acceleration,Force = Velocity/Time,Force = Work/Time,Force = Power x Time
Biology,What is the name of the process by which cells divide and multiply?,Mitosis,Meiosis,Photosynthesis,Respiration
Chemistry,What is the chemical symbol for helium?,He,H,Li,Be
Physics,What is the equation for calculating power?,Power = Work/Time,Power = Voltage x Current,Power = Force x Distance,Power = Energy/Time
Biology,What is the name of the organelle responsible for processing and packaging proteins?,Golgi Apparatus,Nucleus,Mitochondria,Ribosome
Chemistry,What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2
Physics,What is the formula for calculating pressure?,Pressure = Force/Area,Pressure = Work/Time,Pressure = Voltage/Current,Pressure = Mass/Volume
Biology,Which of the following is not a major type of tissue in animal bodies?,Chloroplasts,Muscle,Nervous,Epithelial
Chemistry,What is the chemical formula for ethanol?,C2H5OH,H2SO4,NaCl,CaCO3
Physics,What is the formula for calculating energy?,Energy = Force x Distance,Energy = Mass x Acceleration,Energy = Power x Time,Energy = Voltage x Current
Biology,What is the name of the process by which cells break down glucose to make ATP?,Cellular Respiration,Photosynthesis,Digestion,Fermentation
Chemistry,What is the chemical symbol for sodium?,Na,Ni,Ne,N
Physics,What is the formula for calculating momentum?,Momentum = Mass x Velocity,Momentum = Force x Time,Momentum = Velocity/Time,Momentum = Work/Time
Biology,What is the name of the cell structure that determines what enters and leaves the cell?,Cell membrane,Nucleus,Mitochondria,Ribosome
Chemistry,What is the chemical formula for hydrogen peroxide?,H2O2,CO2,CH4,N2
Physics,What is the formula for calculating density?,Density = Mass/Volume,Density = Force/Acceleration,Density = Power/Time,Density = Work/Time
Biology,What is the name of the process by which two gametes combine to form a zygote?,Fertilization,Meiosis,Mitosis,Binary Fission
Chemistry,What is the chemical symbol for iron?,Fe,Ag,Au,Cu
Physics,What is the formula for calculating work done on an object?,Work = Force x Distance x Cosine(θ),Work = Mass x Velocity,Work = Power x Time,Work = Force x Acceleration
Biology,What is the name of the cell structure that carries out photosynthesis?,Chloroplast,Mitochondria,Nucleus,Ribosome
Chemistry,What is the chemical formula for nitric acid?,HNO3,H2SO4,NaOH,Ca(OH)2
Physics,What is the formula for calculating voltage?,Voltage = Current x Resistance,Voltage = Power/Current,Voltage = Work/Charge,Voltage = Energy/Charge
Biology,What is the name of the process by which genetic information is passed from parent to offspring?,Inheritance,Evolution,Natural selection,Adaptation
Chemistry,What is the chemical symbol for oxygen?,O,C,N,H
Physics,What is the formula for calculating frequency?,Frequency = 1/Period,Frequency = Power/Time,Frequency = Voltage x Current,Frequency = Force/Mass
Biology,What is the name of the protein that makes up hair and nails?,Keratin,Collagen,Actin,Myosin
Chemistry,What is the chemical formula for ammonium nitrate?,NH4NO3,HNO3,NH3,N2H4
Physics,What is the equation for calculating potential energy?,Potential Energy = Mass x Gravity x Height,Potential Energy = Kinetic Energy x Velocity,Potential Energy = Work/Time,Potential Energy = Power/Time
Biology,What is the name of the process by which RNA is made from DNA?,Transcription,Translation,Replication,Fertilization
Chemistry,What is the chemical symbol for neon?,Ne,Ni,Ni,N
Physics,What is the formula for calculating electric power?,Power = Voltage x Current,Power = Work/Time,Power = Force x Distance,Power = Mass/Time
Biology,What is the name of the process by which proteins are made from RNA?,Translation,Transcription,Replication,Fertilization
