Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the most abundant gas in our atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Physics,What is the speed of light?,299792458 meters per second,299792458 miles per hour,186000 miles per second,186000 kilometers per second
Biology,What is the function of ribosomes?,Protein synthesis,Cellular respiration,Photosynthesis,DNA replication
Geology,What is an earthquake caused by?,The sudden release of energy from tectonic plates,Volcanic activity,Meteor impact,Human activity
Chemistry,What is an acid?,A substance with a pH of less than 7,A substance with a pH of greater than 7,A substance with a pH of exactly 7,A substance with a pH of 6
Physics,What is momentum?,Mass times velocity,Velocity squared,Force times distance,Acceleration times time
Biology,What is the process by which plants make their own food?,Photosynthesis,Cellular respiration,Glycolysis,Fermentation
Geology,What is the difference between weathering and erosion?,Weathering is the breakdown of rock| erosion is the movement of rock,Weathering is the movement of rock| erosion is the breakdown of rock,Weathering and erosion are the same thing,Weathering and erosion only occur in water
Chemistry,What is a base?,A substance with a pH greater than 7,A substance with a pH less than 7,A substance with a pH of exactly 7,A substance with a pH of 6
Physics,What is the equation for work?,Force times distance,Distance divided by time,Mass times gravity,Force divided by time
Biology,What is the function of mitochondria?,Cellular respiration,Photosynthesis,Protein synthesis,DNA replication
Geology,What is a mineral?,A naturally occurring inorganic solid with a crystalline structure and a defined chemical composition,A rock that is composed of many minerals,A man-made substance with a crystalline structure and a defined chemical composition,An organic solid with a crystalline structure and a defined chemical composition
Chemistry,What is the chemical formula for water?,H2O,CO2,CH4,NaCl
Physics,What is kinetic energy?,Energy of motion,Potential energy,Heat energy,Light energy
Biology,What is the function of the nucleus?,Contains DNA and controls the cell's activities,Makes proteins,Produces energy,Breaks down waste
Geology,What is the difference between a rock and a mineral?,A mineral is a naturally occurring inorganic solid with a crystalline structure and a defined chemical composition| a rock is made up of one or more minerals,A rock is a naturally occurring inorganic solid with a crystalline structure and a defined chemical composition| a mineral is made up of one or more rocks,A mineral is a naturally occurring organic solid with a crystalline structure and a defined chemical composition| a rock is made up of one or more minerals,A rock is a man-made substance with a crystalline structure and a defined chemical composition| a mineral is a naturally occurring substance without a defined chemical composition
Chemistry,What is the atomic symbol for carbon?,C,Ca,Co,Cd
Physics,What is the equation for force?,Mass times acceleration,Velocity divided by time,Distance times time,Energy divided by distance
Biology,What is the function of the cell membrane?,Controls what enters and exits the cell,Contains DNA,Makes proteins,Produces energy
Geology,What is the difference between magma and lava?,Magma is underground| lava is above ground,Magma is above ground| lava is underground,Magma and lava are the same thing,Magma and lava only occur in water
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CO,C2O,C2
Physics,What is potential energy?,Stored energy,Energy of motion,Heat energy,Light energy
Biology,What is the function of the chloroplast?,Site of photosynthesis,Site of cellular respiration,Site of protein synthesis,Site of DNA replication
Geology,What is the difference between igneous and sedimentary rocks?,Igneous rocks are formed from cooling lava or magma| sedimentary rocks are formed from compacted sediment,Igneous rocks are formed from sediment| sedimentary rocks are formed from cooling lava or magma,Igneous and sedimentary rocks are the same thing,Igneous rocks are formed underground| sedimentary rocks are formed above ground
Chemistry,What is the atomic symbol for oxygen?,O,Os,O2,OH
Physics,What is the equation for acceleration?,Change in velocity divided by time,Mass times velocity,Force times distance,Distance divided by time
Biology,What is the function of the cytoplasm?,Gel-like substance that contains the cell's organelles,Site of photosynthesis,Breaks down waste,Makes proteins
Geology,What is the difference between weather and climate?,Weather is short-term| climate is long-term,Weather is long-term| climate is short-term,Weather and climate are the same thing,Weather and climate only occur in water
Chemistry,What is the chemical formula for methane?,CH4,CH3,C2H5,C3H8
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transferred or converted,Energy can be created or destroyed| but cannot be converted,Energy can be transferred or converted| but cannot be created or destroyed,Energy can only be created or destroyed
Biology,What is the function of the ribosomes?,Protein synthesis,Photosynthesis,Cellular respiration,DNA replication
Geology,What is erosion?,The movement of rock,The breakdown of rock,The creation of rock,A type of volcanic activity
Chemistry,What is the atomic symbol for gold?,Au,Ag,Fe,Cu
Physics,What is the equation for power?,Work divided by time,Mass times velocity,Force times distance,Velocity divided by distance
Biology,What is the function of centrioles?,Cell division,Protein synthesis,Photosynthesis,Cellular respiration
