Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the SI unit for force?,Newton,Watt,Joule,Ampere
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Lungs
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Hg
Physics,What is the speed of light?,299|792|458 m/s,299|792|458 km/h,299|792|458 ft/s,299|792|458 mi/h
Biology,What type of joint connects the arm to the shoulder?,Ball and socket,Hinge,Pivot,Saddle
Chemistry,What is the chemical symbol for carbon dioxide?,CO2,CO,O2,C2O3
Physics,What is the formula for kinetic energy?,1/2*mass*velocity^2,mass*gravity*height,force*distance,pressure*volume
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Endoplasmic reticulum,Golgi apparatus
Chemistry,What is the pH of water?,7,1,14,0
Physics,What is the first law of motion?,An object at rest will stay at rest| and an object in motion will stay in motion with a constant velocity| unless acted upon by a net external force.,Force equals mass times acceleration.,For every action| there is an equal and opposite reaction.,None of the above
Biology,What is the process by which plants make their own food?,Photosynthesis,Cellular respiration,Fermentation,Digestion
Chemistry,What is the most common element in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon,Argon
Physics,What is the second law of motion?,The acceleration of an object is directly proportional to the net force applied and inversely proportional to its mass.,An object at rest will stay at rest| and an object in motion will stay in motion with a constant velocity| unless acted upon by a net external force.,For every action| there is an equal and opposite reaction.,None of the above
Biology,What is the function of white blood cells?,To fight infection,To transport oxygen,To digest food,To circulate blood
Chemistry,What is the chemical symbol for hydrogen?,H,He,O,N
Physics,What is the third law of motion?,For every action| there is an equal and opposite reaction.,An object at rest will stay at rest| and an object in motion will stay in motion with a constant velocity| unless acted upon by a net external force.,The acceleration of an object is directly proportional to the net force applied and inversely proportional to its mass.,None of the above
Biology,What is the function of the ribosomes in a cell?,To make proteins,To produce energy,To store DNA,To make lipids
Chemistry,What is the chemical name for table salt?,Sodium chloride,Potassium chloride,Magnesium chloride,Calcium chloride
Physics,What is the force that opposes motion between two surfaces that are touching each other?,Friction,Gravity,Magnetism,Centrifugal force
Biology,What is the smallest unit of living organisms?,Cell,Atom,Molecule,Organ
Chemistry,What is the chemical formula for methane gas?,CH4,C2H5OH,H2SO4,NaOH
Physics,What is the force that pulls objects toward each other?,Gravity,Friction,Magnetism,Electromagnetism
Biology,What is the function of the pancreas?,To regulate blood sugar levels,To produce bile,To filter blood,To produce hormones
Chemistry,What is the chemical name for vinegar?,Acetic acid,Sulfuric acid,Nitric acid,Hydrochloric acid
Physics,What is the principle that energy cannot be created or destroyed| only transformed or transferred?,Conservation of energy,Conservation of momentum,Conservation of mass,Conservation of charge
Biology,What is the function of the hypothalamus?,To regulate body temperature,To produce hormones,To regulate hunger and thirst,To regulate blood pressure
Chemistry,What is the chemical symbol for sodium?,Na,K,Ca,Fe
Physics,What is the force that opposes the motion of an object through a fluid?,Drag,Friction,Resistance,Buoyancy
Biology,What is the function of the nephron in the kidney?,To filter waste from the blood,To produce urine,To regulate blood pressure,To produce hormones
Chemistry,What is the chemical symbol for oxygen?,O,H,He,N
Physics,What is the name for a material that does not allow electricity to flow through it easily?,Insulator,Conductor,Inductor,Resistor
Biology,What is the function of the endocrine system?,To produce hormones,To digest food,To circulate blood,To fight infection
Chemistry,What is the chemical formula for water?,H2O,H2SO4,NaCl,Fe2O3
Physics,What is the name for the imaginary line that an object rotates around?,Axis,Ecliptic,Horizon,Tropics
Biology,What is the function of the cardiovascular system?,To circulate blood,To regulate blood sugar levels,To produce hormones,To filter waste from the blood
Chemistry,What is the chemical symbol for calcium?,Ca,Fe,Co,Ni
Physics,What is the force that a fluid exerts on an object that is partially or completely submerged in it?,Buoyancy,Friction,Resistance,Drag
Biology,What is the function of the respiratory system?,To exchange gases in the lungs,To produce urine,To regulate blood pressure,To digest food
Chemistry,What is the chemical name for baking soda?,Sodium bicarbonate,Potassium bicarbonate,Calcium bicarbonate,Magnesium bicarbonate
Physics,What is the name for something that has mass and occupies space?,Matter,Energy,Time,Space
Biology,What is the process by which organisms break down food to release energy?,Cellular respiration,Photosynthesis,Fermentation,Digestion
Chemistry,What is the chemical symbol for iron?,Fe,Au,Ag,Hg
Physics,What is the force that is present between any two objects in the universe?,Gravity,Friction,Magnetism,Centrifugal force
Biology,What is the function of the liver?,To detoxify the blood,To produce bile,To regulate blood pressure,To filter waste from the blood
Chemistry,What is the chemical symbol for nitrogen?,N,O,H,He
Physics,What is the name for the rate at which an object changes its velocity?,Acceleration,Velocity,Speed,Force
Biology,What is the function of the excretory system?,To eliminate waste from the body,To produce hormones,To circulate blood,To digest food
Chemistry,What is the chemical formula for carbon monoxide?,CO,CO2,C2O3,C3O2
Physics,What is the name for the force that keeps objects moving in a circular path?,Centripetal force,Centrifugal force,Drag,Friction
Biology,What is the function of the immune system?,To defend against pathogens,To produce hormones,To circulate blood,To digest food
Chemistry,What is the chemical name for ammonia?,NH3,HNO3,HCl,NaOH
