Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the SI unit of force?,Newton,Joule,Watt,Meter/second
Chemistry,What two elements make up water?,Hydrogen and oxygen,Helium and carbon,Nitrogen and chlorine,Iron and sulfur
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Rough endoplasmic reticulum
Earth Science,What is the highest mountain in the Solar System?,Olympus Mons,Mount Everest,Mauna Kea,Mount Kilimanjaro
Physics,What is the speed of light in a vacuum?,299|792|458 meters per second,186|282.4 miles per second,300|000|000 meters per second,250|000|000 meters per second
Chemistry,What is the atomic number of carbon?,6,8,14,18
Biology,What is the smallest unit of life?,Cell,Organism,Tissue,Organ
Earth Science,What is the hottest planet in our Solar System?,Venus,Mercury,Earth,Mars
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transferred or transformed.,Energy can be created or destroyed| only transferred or transformed.,Energy can only be transferred| not transformed.,Energy can be created or destroyed| not transferred or transformed.
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Pb
Biology,Which part of the brain controls the body's involuntary functions?,Brainstem,Cerebellum,Cerebrum,Thalamus
Earth Science,What is the second largest planet in our Solar System?,Saturn,Jupiter,Neptune,Uranus
Physics,What is the force that opposes motion between two surfaces that touch each other?,Friction,Gravity,Momentum,Inertia
Chemistry,What is the process by which a solid turns into a gas without passing through a liquid phase?,Sublimation,Evaporation,Condensation,Melting
Biology,What is the process by which plants make food using sunlight?,Photosynthesis,Respiration,Digestion,Excretion
Earth Science,What is the name of the layer of the Earth that is solid and made of iron and nickel?,Inner core,Outer core,Mantle,Crust
Physics,What is the resistance of an object to changes in its motion?,Inertia,Momentum,Friction,Gravity
Chemistry,What is the pH of a neutral substance?,7,1,14,0
Biology,What part of the digestive system absorbs most of the nutrients from food?,Small intestine,Stomach,Large intestine,Mouth
Earth Science,What type of rock forms from cooling lava?,Igneous,Sedimentary,Metamorphic,Volcanic
Physics,What is the formula for kinetic energy?,1/2mv²,mgh,PE=mgh,F=ma
Chemistry,What is the chemical symbol for sodium?,Na,Cu,Ag,K
Biology,What is the process by which organisms maintain a stable internal environment?,Homeostasis,Adaptation,Evolution,Mutation
Earth Science,What is the name of the layer of the atmosphere where weather occurs?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Physics,What is the unit of electric current?,Ampere,Volt,Watt,Ohm
Chemistry,What is the process by which a gas turns into a liquid?,Condensation,Evaporation,Sublimation,Melting
Biology,What is the protective outer layer of a plant cell called?,Cell wall,Cell membrane,Nucleus,Vacuole
Earth Science,What is Earth's largest ocean?,Pacific,Atlantic,Indian,Arctic
Physics,What is the law of conservation of momentum?,Momentum is conserved in a closed system.,Momentum is created in a closed system.,Momentum is lost in a closed system.,Momentum can only be transferred| not conserved.
Chemistry,What is the chemical symbol for iron?,Fe,Ag,Cu,Au
Biology,What is the main function of the respiratory system?,To breathe in oxygen and breathe out carbon dioxide.,To pump blood throughout the body.,To digest food and absorb nutrients.,To keep the body balanced.
Earth Science,What is the process by which water changes from a liquid to a gas?,Evaporation,Condensation,Precipitation,Sublimation
Physics,What is the force of attraction between any two objects in the universe?,Gravity,Friction,Momentum,Electromagnetism
Chemistry,What is the process by which a liquid turns into a gas?,Evaporation,Condensation,Sublimation,Melting
Biology,What is the part of the cell where DNA is stored?,Nucleus,Mitochondria,Ribosome,Cell membrane
Earth Science,What is the name for a substance that cannot be broken down into simpler substances by chemical means?,Element,Atom,Molecule,Compound
Physics,What is the formula for power?,Work/time,Force x distance,Mass x acceleration,Voltage/resistance
Chemistry,What is the process by which a gas turns into a solid?,Deposition,Sublimation,Melting,Condensation
Biology,What is the part of the brain responsible for vision?,Occipital lobe,Frontal lobe,Temporal lobe,Parietal lobe
Earth Science,What type of cloud is tall and cylindrical| often associated with thunderstorms?,Cumulonimbus,Cirrus,Stratus,Cumulus
Physics,What is the formula for acceleration?,Change in velocity/time,Distance/time,Force/mass,Momentum/velocity
Chemistry,What is the chemical symbol for hydrogen?,H,He,Li,Be
Biology,What is the part of the cell that produces proteins?,Ribosome,Nucleus,Mitochondria,Golgi apparatus
Earth Science,What is the process by which water vapor turns into liquid water?,Condensation,Evaporation,Sublimation,Melting
Physics,What is the formula for work?,Force x distance,Mass x acceleration,Power/time,Voltage x current
Chemistry,What is the formula for water?,H2O,C6H12O6,CO2,NaCl
Biology,What is the process by which organisms release energy from food?,Respiration,Photosynthesis,Digestion,Excretion
Earth Science,What is the name for a naturally occurring| inorganic solid that has a crystalline structure and a definite chemical composition?,Mineral,Rock,Ore,Fossil
