Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,Which of the following is not a component of DNA?,Lipid,Phosphate,Deoxyribose,Nitrogenous Base
Chemistry,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Argon,Carbon Dioxide
Physics,What does the acronym LASER stand for?,Light Amplification by Stimulated Emission of Radiation,Light Amplitude Switch Energy Radiator,Light And Sound Energy Radiation,Luminous Amplitude Stimulated Emitter Receiver
Biology,What is the study of the nervous system called?,Neurology,Endocrinology,Immunology,Cardiology
Chemistry,What type of bond forms between two atoms that share electrons?,Covalent,Ionic,Hydrogen,Van der Waals
Physics,What is the unit of measurement for force?,Newton,Watt,Joule,Ampere
Biology,What molecule is used by cells for energy?,ATP,DNA,RNA,Protein
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,FeSO4
Physics,What is the speed of light in a vacuum?,299|792|458 meters per second,299|792|458 kilometers per second,299|792|458 miles per second,299|792|458 feet per second
Biology,What is the building block of proteins?,Amino Acid,Monosaccharide,Fatty Acid,Nucleotide
Chemistry,Which of the following is a noble gas?,Helium,Hydrogen,Oxygen,Nitrogen
Physics,What is the process by which a solid changes directly to a gas called?,Sublimation,Condensation,Deposition,Vaporization
Biology,What is the process by which cells divide to form new cells?,Cell Division,Cellular Respiration,Photosynthesis,Fermentation
Chemistry,Which of the following is not a state of matter?,Energy,Solid,Liquid,Gas
Physics,What is Newton's first law of motion?,An object at rest tends to stay at rest and an object in motion tends to stay in motion at a constant velocity| unless acted upon by an external force.,Force equals mass times acceleration.,For every action there is an equal and opposite reaction.,The rate of change of momentum of a body is proportional to the force applied to it.
Biology,What is the process by which organisms produce offspring?,Reproduction,Respiration,Digestion,Circulation
Chemistry,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon
Physics,What is the SI unit of energy?,Joule,Watt,Newton,Meter
Biology,What type of tissue stores fat in the body?,Adipose,Epithelial,Nervous,Muscle
Chemistry,What type of bond forms between two oppositely charged ions?,Ionic,Covalent,Hydrogen,Van der Waals
Physics,What is the process by which light is bent when it passes through a medium called?,Refraction,Reflection,Diffraction,Absorption
Biology,What is the process by which plants make their own food using sunlight?,Photosynthesis,Respiration,Digestion,Circulation
Chemistry,What is the pH of a neutral solution?,7,1,14,10
Physics,What is the force that opposes motion called?,Friction,Gravity,Inertia,Momentum
Biology,What type of tissue is responsible for transporting nutrients and oxygen throughout the body?,Blood,Muscle,Nerve,Connective
Chemistry,What type of reaction releases energy?,Exothermic,Endothermic,Combustion,Oxidation
Physics,What type of energy is associated with the motion of molecules?,Thermal,Nuclear,Sound,Kinetic
Biology,What is the process by which the body breaks down food to release energy?,Cellular Respiration,Photosynthesis,Digestion,Fermentation
Chemistry,What is the formula for glucose?,C6H12O6,H2O,NaCl,C2H5OH
Physics,What is the force that holds the nuclei of atoms together called?,Strong Nuclear Force,Weak Nuclear Force,Electromagnetic Force,Gravitational Force
Biology,What is the process by which specialized cells become different types of cells?,Differentiation,Mitosis,Meiosis,Fertilization
Chemistry,What is the process by which a substance gains electrons called?,Reduction,Oxidation,Combustion,Hydration
Physics,What is the rate at which work is done called?,Power,Energy,Force,Momentum
Biology,What is the process by which a virus invades a host cell and replicates?,Viral Replication,Photosynthesis,Cellular Respiration,Fermentation
Chemistry,What is the SI unit of pressure?,Pascal,Newton,Joule,Watt
Physics,What type of force exists between two charged objects?,Electrostatic,Gravitational,Magnetic,Nuclear
Biology,What is the process by which an egg and sperm combine?,Fertilization,Meiosis,Mitosis,Differentiation
Chemistry,What element has the symbol Fe?,Iron,Gold,Silver,Copper
Physics,What is the force that attracts two objects with mass called?,Gravity,Friction,Inertia,Acceleration
Biology,What is the process by which viruses are destroyed by immune cells?,Immune Response,Photosynthesis,Cellular Respiration,Fermentation
Chemistry,What type of bond forms between two molecules that share a hydrogen atom?,Hydrogen,Ionic,Covalent,Van der Waals
Physics,What is the process by which an electric current is produced by a changing magnetic field called?,Electromagnetic Induction,Reflection,Diffraction,Absorption
Biology,What is the process by which organisms break down glucose to release energy in the absence of oxygen?,Fermentation,Photosynthesis,Cellular Respiration,Digestion
Chemistry,What is the SI unit of temperature?,Kelvin,Celsius,Fahrenheit,Rankine
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transferred or transformed.,For every action there is an equal and opposite reaction.,An object at rest tends to stay at rest and an object in motion tends to stay in motion at a constant velocity| unless acted upon by an external force.,Force equals mass times acceleration.
Biology,What is the process by which cells make a copy of their DNA?,DNA Replication,Photosynthesis,Cellular Respiration,Fermentation
Chemistry,What is the process by which a substance loses electrons called?,Oxidation,Reduction,Combustion,Hydration
Physics,What is the rate at which an object's velocity changes called?,Acceleration,Speed,Force,Momentum
Biology,What is the process by which cells become specialized for a particular function?,Differentiation,Mitosis,Meiosis,Fertilization
Chemistry,What is the element with the symbol K?,Potassium,Krypton,Kryptonite,Palladium
Physics,What is the phenomenon by which sound waves bounce off surfaces called?,Reflection,Refraction,Diffraction,Doppler Effect
