Index,Topic,Question,Answer,Distractor1,Distractor2,Distractor3
2506,Ecology,What is the process by which plants and animals store carbon?,Carbon Sequestration,Photosynthesis,Respiration,Burning
1722,Earth Science,What is the term for a frozen mixture of snow and ice?,glacier,avalanche,frost,permafrost
1314,Chemistry,What is the term for the process by which an atom loses or gains electrons?,Oxidation-reduction reaction,Ionization,Combustion,Hydration
2785,Physics,What is the acceleration due to gravity on Earth's surface?,9.8 m/s^2,1 m/s^2,0.1 m/s^2,100 m/s^2
628,Astronomy,What is the name of the planet known for its ring system?,Saturn,Jupiter,Uranus,Neptune
760,Biology,What is the name of the process by which proteins are made from RNA?,Translation,Transcription,Replication,Fertilization
473,Earth Science,What is the name of the process when water vapor turns back into a liquid?,Condensation,Evaporation,Freezing,Melting
2774,Astronomy,"Which planet is nicknamed the ""Red Planet""?",Mars,Venus,Jupiter,Saturn
1103,Chemistry,What is the process of a solid changing directly to a gas called?,Sublimation,Evaporation,Condensation,Melting
923,Physics,What is the SI unit for measuring energy?,Joule,Watt,Volt,Ohm
2925,Biology,What is the name for the process by which a virus enters a host cell and takes over the cell's machinery to reproduce?,viral infection,lytic infection,lysogenic infection,transduction
1846,Physics,What type of simple machine is a seesaw?,Lever,Pulley,Wheel & Axle,Inclined Plane
3304,Geology,What is the term for the shaking of the Earth's surface caused by the sudden release of energy in the Earth's crust?,Earthquake,Volcanic eruption,Tsunami,Landslide
2092,Biology,What type of tissue connects bones to other bones?,Ligaments,Tendons,Muscles,Cartilage
213,Chemistry,What is the name for the measure of the amount of matter in an object?,Mass,Weight,Density,Volume
1000,Chemistry,What is the state of matter in which the molecules have the most energy?,Plasma,Gas,Liquid,Solid
1218,Biology,Which food group provides the most energy to the body?,Carbohydrates,Proteins,Fats,Vitamins
454,Biology,What is the name of the system in the body that is responsible for protection against disease?,Immune system,Nervous system,Endocrine system,Cardiovascular system
2879,Chemistry,What is the name of the scale used to measure the acidity or basicity of a solution?,pH scale,Kelvin scale,Celsius scale,Fahrenheit scale
2081,Earth Science,What is the name for the process by which rocks are chemically broken down into new minerals?,Chemical weathering,Mechanical weathering,Erosion,Deposition
3388,Physics,What is the equation for Ohm's law?,Voltage equals current times resistance,Resistance equals current times voltage,Current equals voltage times resistance,Voltage equals resistance divided by current
2809,Biology,What type of tissue is responsible for transporting nutrients and oxygen throughout the body?,Blood,Muscle,Nerve,Connective
324,Chemistry,What is the name of the process by which a gas transforms into a liquid?,Condensation,Evaporation,Melting,Solidification
1551,Biology,Which system in the human body is responsible for producing and releasing hormones?,Endocrine system,Nervous system,Muscular system,Reproductive system
2909,Chemistry,What is the atomic number of hydrogen?,1,2,3,4
3172,Physics,What do we call the force that keeps objects in circular motion?,Centripetal force,Centrifugal force,Magnetic force,Electrostatic force
1825,Biology,What is the name of the protein molecule that carries oxygen in the blood?,Hemoglobin,Enzyme,Antibody,Chlorophyll
