Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,In which direction does an object move if the net force acting on it is zero?,It doesn't move,Up,Down,Left
Biology,What is the name of the process by which plants convert light energy into food?,Photosynthesis,Respiration,Fermentation,Digestion
Chemistry,Which element is the most abundant in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Physics,What is the SI unit of force?,Newton,Meter,Kilogram,Second
Astronomy,What is the name of the third planet from the sun?,Earth,Venus,Mars,Jupiter
Biology,What is the process by which food is broken down in the body to release energy called?,Cellular respiration,Photosynthesis,Fermentation,Digestion
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Pt
Physics,What is the name of the force that opposes motion between two surfaces in contact?,Friction,Gravity,Tension,Inertia
Astronomy,What is the name of the first artificial satellite launched into space?,Sputnik 1,Explorer 1,Vanguard 1,Ariel 1
Biology,What is the largest organ in the human body?,Skin,Liver,Brain,Heart
Chemistry,What is the smallest particle of an element called?,Atom,Molecule,Ion,Electron
Physics,What is the name of the force that causes a body to float in a fluid?,Buoyancy,Gravity,Friction,Tension
Astronomy,What is the name of the red,,,,
