Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What organelle is responsible for photosynthesis?,Chloroplasts,Mitochondria,Vacuoles,Nuclei
Chemistry,What is the chemical symbol for gold?,Au,Go,Ag,Hg
Physics,What is the formula for work?,Work=Force x Distance,Work=Distance x Time,Work=Mass x Velocity,Work=Power x Time
Biology,What process does oxygen undergo at the cellular level?,Oxidation,Reduction,Photosynthesis,Fermentation
Chemistry,What is the process by which one compound breaks down into two or more simpler substances?,Decomposition,Combination,Substitution,Ionization
Physics,What is the acceleration due to gravity at the Earth's surface?,9.8 m/s^2,8.9 m/s^2,10.2 m/s^2,11.5 m/s^2
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Endoplasmic reticulum,Golgi apparatus
Chemistry,What is the smallest particle of an element that retains the properties of that element?,Atom,Molecule,Ion,Compound
Physics,What is the unit of measurement for resistance?,Ohm,Ampere,Volt,Watt
Biology,What type of cells lack a nucleus?,Prokaryotic cells,Eukaryotic cells,Plant cells,Animal cells
Chemistry,Which of the following is NOT a state of matter?,Energy,Solid,Liquid,Gas
Physics,What is Newton's first law of motion also known as?,The law of inertia,The law of acceleration,The law of interaction,The law of momentum
Biology,What is the mother cell that divides to give rise to different types of blood cells called?,Hematopoietic stem cells,Hepatic stem cells,Neural stem cells,Mesenchymal stem cells
Chemistry,What is the process of converting a liquid into a gas called?,Evaporation,Condensation,Sublimation,Melting
Physics,What is the unit of measurement for frequency?,Hertz,Watt,Ampere,Volt
Biology,What type of muscle is found in the walls of internal organs?,Smooth muscle,Skeletal muscle,Cardiac muscle,Striated muscle
Chemistry,What is the formula for the most common type of table salt?,NaCl,KCl,CaCl2,MgCl2
Physics,What is the process of producing an electrical current from the flow of a liquid or a gas called?,Hydroelectric power,Fluid power,Renewable energy,Nuclear power
Biology,What disease is caused by the human immunodeficiency virus (HIV)?,AIDS,Malaria,Tuberculosis,Cholera
Chemistry,What do we call the two opposite ends of a battery?,Electrodes,Anodes,Cathodes,Terminals
Physics,What unit of measurement is used for energy?,Joule,Watt,Ampere,Volt
Biology,What type of bird is the fastest creature on foot?,Ostrich,Chicken,Penguin,Emu
Chemistry,What gives diamonds their characteristic sparkle?,Refraction of light,Reflection of light,Absorption of light,Diffraction of light
Physics,What is the acceleration of an object at rest?,Zero,Positive,Negative,None of the above
Biology,What is the fluid that surrounds and cushions the brain and spinal cord called?,Cerebrospinal fluid,Lymphatic fluid,Serum,Blood plasma
Chemistry,What is the process of using heat to break down a substance called?,Pyrolysis,Reduction,Oxidation,Thermal decomposition
Physics,What do we call the force that opposes motion between two surfaces in contact?,Friction,Gravity,Magnetism,Tension
Biology,What is the primary function of the liver?,Detoxification,Respiration,Digestion,Circulation
Chemistry,What is the pH of a neutral solution?,7,0,14,1
Physics,What do we call the bending of light as it passes through a medium with varying density?,Refraction,Reflection,Absorption,Scattering
Biology,What is the name for a molecule that contains genetic information?,DNA,RNA,Protein,Carbohydrate
Chemistry,What do we call the study of the properties of matter and how matter changes?,Chemistry,Physics,Biology,Mathematics
Physics,What is the fundamental unit of measurement for mass?,Kilogram,Gram,Pound,Ounce
Biology,What is the outermost layer of the skin called?,Epidermis,Dermis,Subcutaneous layer,Superficial fascia
Chemistry,What do we call a bond formed between two atoms by sharing a pair of electrons?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond
Physics,What do we call the force that keeps objects in circular motion?,Centripetal force,Centrifugal force,Magnetic force,Electrostatic force
Biology,What type of cell is a red blood cell?,Erythrocyte,Leukocyte,Thrombocyte,Anemia
Chemistry,What do we call the process of reducing a metal ore to a pure metal?,Smelting,Roasting,Refining,Purification
Physics,What do we call the quantity of matter in an object?,Mass,Weight,Volume,Density
Biology,What type of joint is found at the base of the thumb?,Saddle joint,Hinge joint,Ball-and-socket joint,Gliding joint
Chemistry,What is the process of converting a gas into a liquid called?,Condensation,Vaporization,Sublimation,Deposition
Physics,What is the formula for velocity?,Velocity=Distance/Time,Velocity=Acceleration x Time,Velocity=Force/Mass,Velocity=Energy/Time
Biology,What type of cells help to form blood clots?,Platelets,White blood cells,Red blood cells,Stem cells
Chemistry,What do we call a substance that accelerates a chemical reaction without being consumed in the reaction?,Catalyst,Enzyme,Substrate,Inhibitor
Physics,What is the unit of measurement for power?,Watt,Joule,Ampere,Volt
Biology,What type of joint is found at the elbow?,Hinge joint,Saddle joint,Ball-and-socket joint,Gliding joint
Chemistry,What is the process of changing a solid into a gas without passing through the liquid state called?,Sublimation,Vaporization,Condensation,Deposition
Physics,What is the formula for acceleration?,Acceleration=Change in velocity/Time,Acceleration=Mass x Force,Acceleration=Power/Time,Acceleration=Distance/Time^2
