Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Anatomy,What part of the brain is responsible for regulating body temperature?,A) Hypothalamus,B) Thalamus,C) Cerebellum,D) Medulla oblongata
Anatomy,Which bone is commonly referred to as the kneecap?,Patella,Femur,Tibia,Fibula
Anatomy,What is the part of the brain responsible for processing visual information?,A) Occipital lobe,B) Frontal lobe,C) Temporal lobe,D) Parietal lobe
Anatomy,What is the name of the tube that connects the throat to the stomach?,Esophagus,Trachea,Bronchi,Larynx
Anatomy,What is the name of the muscle that separates the chest cavity from the abdominal cavity?,Diaphragm,Abdominus,Latissimus dorsi,Pectoralis major
Anatomy,What is the largest organ in the human body?,Skin,Liver,Lung,Heart
Anatomy,What is the part of the brain responsible for regulating sleep cycles?,A) Pineal gland,B) Pituitary gland,C) Hippocampus,D) Corpus callosum
Anatomy,What is the name of the joint that connects the upper arm bone to the shoulder blade?,Ball and socket joint,Hinge joint,Pivot joint,Cartilaginous joint
Anatomy,What is the largest organ in the human body?,A) Liver,B) Brain,C) Heart,D) Skin
Anatomy,What is the part of the eye that detects color and detail?,A) Cones,B) Rods,C) Retina,D) Optic nerve
Anatomy,Which organ is responsible for filtering waste products from the blood?,Kidney,Liver,Gallbladder,Bladder
Anatomy,What is the part of the ear that vibrates when sound waves enter?,A) Eardrum,B) Cochlea,C) Auditory canal,D) Vestibular system
Anatomy,What is the name for the bones that make up the spine?,A) Vertebrae,B) Sternum,C) Pelvis,D) Femur
Anatomy,What is the part of the eye that controls how much light enters?,Pupil,Iris,Lens,Retina
Anatomy,What is the tough| flexible tissue that connects bone to muscle?,Tendon,Cartilage,Ligament,Epidermis
Anatomy,What is the scientific term for the collarbone?,A) Clavicle,B) Scapula,C) Humerus,D) Radius
Anatomy,What is the main function of the stomach?,Digestion,Pumping Blood,Filtering Waste,Breathing
Anatomy,What is the largest organ in the human body?,Skin,Liver,Lungs,Heart
Anatomy,What is the name of the tube that carries food from the mouth to the stomach?,Esophagus,Trachea,Bronchus,Larynx
Anatomy,What is the part of the eye that controls the amount of light that enters?,A) Iris,B) Pupil,C) Cornea,D) Lens
Anatomy,What is the bone in the upper arm called?,Humerus,Femur,Tibia,Radius
Anatomy,What is the name of the muscle that separates the chest cavity from the abdominal cavity?,Diaphragm,Abdominal rectus,Biceps brachii,Sternocleidomastoid
Anatomy,What is the part of the brain that controls balance and coordination?,A) Cerebellum,B) Hypothalamus,C) Thalamus,D) Amygdala
Anatomy,What is the name of the process by which oxygen is exchanged for carbon dioxide in the lungs?,Diffusion,Osmosis,Filtration,Active transport
Anatomy,What is the name of the joint that allows for rotation of the forearm?,Hinge joint,Ball and socket joint,Pivot joint,Saddle joint
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Triangulum,Whirlpool
Astronomy,What is a black hole?,A region of space with a gravitational pull so strong that nothing can escape from it,A region of space where stars are born,A region of space that is completely empty,A region of space where galaxies collide
Astronomy,What is the name of the phenomenon where the moon blocks the sun's light| causing a shadow to fall on the earth?,Solar eclipse,Lunar eclipse,Transit,Occultation
Astronomy,What is a light year?,The distance light travels in one year,The time it takes for light to travel one meter,The weight of a beam of light,The temperature of a beam of light
Astronomy,What is a black hole?,A region of space with a gravitational pull so strong that nothing can escape,A star that has exploded,A galaxy without any stars,A planet with a thick atmosphere that traps heat
Astronomy,What is the name of the force that holds planets in orbit around the sun?,Gravity,Magnetism,Electricity,Friction
Astronomy,What is the name of the closest star to our solar system?,Proxima Centauri,Alpha Centauri A,Alpha Centauri B,Barnard's Star
Astronomy,What is a galaxy?,A collection of stars| gas| and dust held together by gravity,A large| gaseous planet,A comet that orbits the Sun,A moon that orbits a planet
Astronomy,What is the closest planet to the Sun?,Mercury,Venus,Earth,Mars
Astronomy,What is the name of the planet closest to the sun?,Mercury,Venus,Mars,Earth
Astronomy,What is the name of the process by which stars release their energy?,Nuclear fusion,Nuclear fission,Radioactive decay,Chemical reaction
Astronomy,What is the name of the biggest moon in our Solar System?,Ganymede,Titan,Io,Europa
Astronomy,What is the name of the phenomenon in which a star collapses in on itself and becomes extremely dense?,Black hole,Neutron star,Supernova,White dwarf
Astronomy,What is the name of the planet referred to as the Morning Star or the Evening Star?,Venus,Mercury,Jupiter,Mars
Astronomy,What is the name of the process by which stars and planets are formed from clouds of gas and dust?,Nebular theory,Big bang,Stellar evolution,Black hole formation
Astronomy,What is the name of the region in space where gravitational forces are so strong nothing can escape?,Black hole,Event Horizon,Neutron Star,Singularity
Astronomy,What is the name of the first man to walk on the Moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin
Astronomy,What is the name of the nearest galaxy to our Milky Way?,Andromeda,Triangulum,Irregular Dwarf,Large Magellanic Cloud
Astronomy,What is the name of the planet known as the Blue planet?,Earth,Venus,Mars,Jupiter
Astronomy,What is the name of the brightest star in the constellation Ursa Major?,Alioth,Dubhe,Merak,Alkaid
Astronomy,What is the name of the planet known as the Red planet?,Mars,Venus,Jupiter,Saturn
Astronomy,What is the name of the belt of asteroids between Mars and Jupiter?,Asteroid Belt,Kuiper Belt,Oort Cloud,Haumea
Astronomy,What is the Kuiper Belt?,A region of icy bodies beyond the orbit of Neptune,A region of asteroids located between Mars and Jupiter,A region of gas and dust in the center of the Milky Way,A region of rocky planets closest to the Sun
Astronomy,What is an asteroid?,A small| rocky body that orbits the Sun,A large| gaseous planet,A burning ball of gas,A moon that orbits a planet
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Uranus
Astronomy,What is the name of the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Astronomy,What is a comet?,A small| icy body that orbits the Sun,A large| rocky planet,A burning ball of gas,A moon that orbits a planet
Astronomy,What is a light year?,The distance light travels in one year,The distance between the Sun and Earth,The distance between the Milky Way and Andromeda galaxies,The distance from the Sun to the nearest star
Astronomy,What is a supernova?,A powerful explosion that occurs when a star runs out of fuel,A region of space where stars are born,A region of space where black holes are found,A region of space that is completely empty
