Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Lysosome
Biology,What is the process by which green plants make their own food?,Photosynthesis,Respiration,Digestion,Excretion
Biology,What is the smallest unit of life?,Cell,Atom,Molecule,Organism
Biology,What is the outermost layer of the Earth called?,Crust,Mantle,Core,Tectonic Plate
Biology,What is a group of similar cells called?,Tissue,Organ,Organ System,Organism
Chemistry,What is the chemical symbol for Gold?,Au,Ag,Cu,Fe
Chemistry,What is the PH value of an acid?,Less than 7,7,8,More than 7
Chemistry,What is the process of a solid changing to a gas without going through the liquid state called?,Sublimation,Deposition,Evaporation,Condensation
Chemistry,What is the smallest unit of an element called?,Atom,Molecule,Ion,Proton
Chemistry,What is the study of the properties of matter and how matter changes called?,Chemistry,Physics,Biology,Geology
Physics,What type of energy does a moving object have?,Kinetic Energy,Potential Energy,Chemical Energy,Electrical Energy
Physics,What is Newton's first law of motion?,Law of Inertia,Acceleration is directly proportional to force,Action and reaction are equal and opposite,F=ma
Physics,What is the force that opposes the motion of two surfaces in contact?,Friction,Gravity,Tension,Buoyancy
Physics,What type of simple machine is a seesaw?,Lever,Pulley,Wheel & Axle,Inclined Plane
Physics,What is the formula for density?,Mass/Volume,Volume/Mass,Mass x Volume,Volume + Mass
Earth Science,What is the study of the Earth called?,Geology,Ecology,Biology,Chemistry
Earth Science,What is the part of the Earth made up of solid rock called?,Mantle,Crust,Core,Atmosphere
Earth Science,What is the movement of the Earth around the Sun called?,Revolution,Rotation,Eclipse,Tide
Earth Science,What is a long| narrow channel of water that connects two larger bodies of water called?,Strait,Canal,Gulf,Bay
Earth Science,What is the layer of gases that surrounds the Earth called?,Atmosphere,Troposphere,Stratosphere,Ionosphere
Astronomy,What is the study of space and the universe called?,Astronomy,Astrophysics,Astronautics,Cosmology
Astronomy,What is the name of the star closest to Earth?,Sun,Alpha Centauri,Proxima Centauri,Betelgeuse
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Pinwheel,Sombrero
Astronomy,What is the phenomenon where the moon passes directly in front of the sun| blocking out its light?,Solar Eclipse,Lunar Eclipse,Aurora,Meteor Shower
Anatomy,What is the bone in the upper arm called?,Humerus,Femur,Tibia,Radius
Anatomy,What is the largest organ in the human body?,Skin,Liver,Lungs,Heart
Anatomy,What is the main function of the stomach?,Digestion,Pumping Blood,Filtering Waste,Breathing
Anatomy,What is the part of the eye that controls how much light enters?,Pupil,Iris,Lens,Retina
Anatomy,What is the tough| flexible tissue that connects bone to muscle?,Tendon,Cartilage,Ligament,Epidermis
Zoology,What type of animal is a blue whale?,Mammal,Bird,Fish,Reptile
Zoology,What is a group of lions called?,Pride,Pack,Herd,Flock
Zoology,What is the process by which insects transform from immature forms to adults?,Metamorphosis,Hibernation,Migration,Cocooning
Zoology,What is the smallest mammal in the world?,Bumblebee Bat,Mouse,Shrew,Chipmunk
Zoology,What is the largest living bird in the world?,Ostrich,Eagle,Penguin,Emu
Botany,What is the process by which plants make their own food called?,Photosynthesis,Respiration,Transpiration,Evaporation
Botany,What is the largest plant in the world?,Sequoia Tree,Bamboo,Cactus,Fern
Botany,What is the process by which plants release water vapor from their leaves called?,Transpiration,Photosynthesis,Respiration,Evaporation
Botany,What is the name of the fleshy| underground part of a plant where nutrients are stored?,Root,Stem,Leaf,Tuber
Botany,What is the pigment that gives plants their green color called?,Chlorophyll,Melanin,Carotene,Hemoglobin
Ecology,What is a group of organisms that live together and interact with each other in a specific area called?,Ecological Community,Ecosystem,Biosphere,Population
Ecology,What is the term for the variety of life on Earth?,Biodiversity,Ecosystem,Habitat,Population
Ecology,What is a form of symbiosis where both organisms benefit?,Mutualism,Commensalism,Predation,Parasitism
Ecology,What is the gradual process by which one community of organisms replaces another in an area called?,Succession,Adaptation,Evolution,Natural Selection
Ecology,What is the process by which plants and animals store carbon?,Carbon Sequestration,Photosynthesis,Respiration,Burning
