Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Earth Science,What is the outermost layer of the Earth?,A) Core,B) Mantle,C) Crust,D) Lithosphere
Chemistry,"Which element has the symbol ""S""?",A) Sulfur,B) Silicon,C) Sodium,D) Scandium
Biology,What is the powerhouse of the cell?,A) Mitochondria,B) Chloroplast,C) Ribosome,D) Nucleus
Physics,What is the formula for work?,A) W = F * d,B) W = F / d,C) W = F + d,D) W = F - d
Anatomy,What is the largest organ in the human body?,A) Liver,B) Brain,C) Heart,D) Skin
Earth Science,What is the process that forms sedimentary rock?,A) Erosion,B) Volcanism,C) Tectonic activity,D) Compaction and cementation
Chemistry,Which element is the most abundant in the Earth's atmosphere?,A) Nitrogen,B) Oxygen,C) Argon,D) Carbon dioxide
Biology,What is the genetic material that carries traits from parent to offspring?,A) DNA,B) RNA,C) Proteins,D) Carbohydrates
Physics,What is the SI unit of force?,A) Newton,B) Joule,C) Watt,D) Ampere
Anatomy,What part of the brain is responsible for regulating body temperature?,A) Hypothalamus,B) Thalamus,C) Cerebellum,D) Medulla oblongata
Earth Science,What is the layer of the atmosphere where weather occurs?,A) Troposphere,B) Stratosphere,C) Mesosphere,D) Thermosphere
Chemistry,What is the pH of a neutral solution?,A) 7,B) 8,C) 6,D) 5
Biology,What is the structure that allows a plant to take in carbon dioxide and release oxygen?,A) Chloroplast,B) Mitochondria,C) Root,D) Stoma
Physics,What is the formula for calculating speed?,A) v = d/t,B) v = t/d,C) v = d + t,D) v = d - t
Anatomy,What is the scientific term for the collarbone?,A) Clavicle,B) Scapula,C) Humerus,D) Radius
Earth Science,What is the process by which water vapor changes into liquid water?,A) Condensation,B) Evaporation,C) Sublimation,D) Precipitation
Chemistry,At room temperature| which state of matter is helium in?,A) Gas,B) Liquid,C) Solid,D) Plasma
Biology,What is the process by which an organism produces offspring that are genetically identical to itself?,A) Asexual reproduction,B) Sexual reproduction,C) Mitosis,D) Meiosis
Physics,What is the unit of measurement for electrical resistance?,A) Ohm,B) Newton,C) Watt,D) Joule
Anatomy,What is the part of the eye that controls the amount of light that enters?,A) Iris,B) Pupil,C) Cornea,D) Lens
Earth Science,What is the process by which rocks are broken down into smaller pieces?,A) Weathering,B) Erosion,C) Compaction,D) Cementation
Chemistry,Which of the following is a noble gas?,A) Helium,B) Sodium,C) Chlorine,D) Sulfur
Biology,What is the name for a symbiotic relationship in which both organisms benefit?,A) Mutualism,B) Commensalism,C) Parasitism,D) Predation
Physics,What is the formula for pressure?,A) P = F / A,B) P = A / F,C) P = F * A,D) P = F + A
Anatomy,What is the part of the brain that controls balance and coordination?,A) Cerebellum,B) Hypothalamus,C) Thalamus,D) Amygdala
Earth Science,What is the process by which a gas changes directly into a solid without going through the liquid state?,A) Deposition,B) Condensation,C) Freezing,D) Solidification
Chemistry,Which of the following is an example of a chemical change?,A) Boiling water,B) Melting ice,C) Rusting of iron,D) Breaking a glass
Biology,What is the term for the variety of life on Earth?,A) Biodiversity,B) Ecosystem,C) Biome,D) Habitat
Physics,What is the formula for acceleration?,A) a = (Vf - Vi) / t,B) a = (Vi - Vf) / t,C) a = Vf * Vi * t,D) a = Vf + Vi + t
Anatomy,What is the part of the ear that vibrates when sound waves enter?,A) Eardrum,B) Cochlea,C) Auditory canal,D) Vestibular system
Earth Science,What is the process by which rocks are formed from molten magma or lava?,A) Igneous rock formation,B) Sedimentary rock formation,C) Metamorphic rock formation,D) Mineral crystalization
Chemistry,Which of the following is the lightest element on the periodic table?,A) Hydrogen,B) Helium,C) Lithium,D) Carbon
Biology,What is the term for the process by which plants make their own food?,A) Photosynthesis,B) Cellular respiration,C) Fermentation,D) Digestion
Physics,What is the formula for kinetic energy?,A) KE = 1/2 * m * v^2,B) KE = m * v^2,C) KE = m * v,D) KE = m + v + 2
Anatomy,What is the part of the eye that detects color and detail?,A) Cones,B) Rods,C) Retina,D) Optic nerve
Earth Science,What is the process by which sediments are deposited in a new location?,A) Deposition,B) Erosion,C) Weathering,D) Compaction
Chemistry,What type of chemical bond involves the sharing of electrons?,A) Covalent bond,B) Ionic bond,C) Metallic bond,D) Hydrogen bond
Biology,What is the name for an organism that can produce its own food?,A) Autotroph,B) Heterotroph,C) Decomposer,D) Parasite
Physics,What is the formula for potential energy?,A) PE = m * g * h,B) PE = m * g / h,C) PE = m + g + h,D) PE = m - g - h
Anatomy,What is the part of the brain responsible for regulating sleep cycles?,A) Pineal gland,B) Pituitary gland,C) Hippocampus,D) Corpus callosum
Earth Science,What is the process by which rock is changed by heat and pressure?,A) Metamorphism,B) Weathering,C) Erosion,D) Compaction
Chemistry,Which of the following is a strong acid?,A) Hydrochloric acid,B) Vinegar,C) Lemon juice,D) Baking soda
Biology,What is the term for the process by which organisms break down food to release energy?,A) Cellular respiration,B) Photosynthesis,C) Fermentation,D) Digestion
Physics,What is the formula for force?,A) F = m * a,B) F = a / m,C) F = m / a,D) F = m + a + 2
Anatomy,What is the part of the brain responsible for processing visual information?,A) Occipital lobe,B) Frontal lobe,C) Temporal lobe,D) Parietal lobe
Earth Science,What is the term for the movement of water between the Earth's surface and the atmosphere?,A) Water cycle,B) Carbon cycle,C) Nitrogen cycle,D) Oxygen cycle
Chemistry,What is the state of matter that has a fixed volume but not a fixed shape?,A) Liquid,B) Gas,C) Solid,D) Plasma
Biology,What is the name for the process by which DNA is copied?,A) Replication,B) Translation,C) Transcription,D) Mutation
Physics,What is the formula for power?,A) P = W / t,B) P = t / W,C) P = W * t,D) P = W + t + 2
Anatomy,What is the name for the bones that make up the spine?,A) Vertebrae,B) Sternum,C) Pelvis,D) Femur
