Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Chloroplast,Cytoplasm
Physics,What is the formula for force?,F=ma,F=mv,F=md,F=mb
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Astronomy,What is the closest planet to the sun?,Mercury,Venus,Mars,Jupiter
Biology,What is the largest organ in the human body?,Skin,Heart,Liver,Kidneys
Physics,Which law states that for every action there is an equal and opposite reaction?,Newton's Third Law,Newton's Second Law,Newton's First Law,The Law of Inertia
Chemistry,What is the chemical formula for water?,H2O,CO2,O2,NaCl
Astronomy,What is a group of stars called?,Galaxy,Cluster,Nebula,Constellation
Biology,What is the name of the process by which plants convert sunlight into energy?,Photosynthesis,Respiration,Digestion,Fermentation
Physics,What is the unit of measurement for frequency?,Hertz,Watts,Volts,Amps
Chemistry,What is the atomic number of carbon?,6,8,10,12
Astronomy,What is the name of the red planet?,Mars,Venus,Jupiter,Saturn
Biology,What is the role of the ribosome in a cell?,Protein Synthesis,Energy Production,Waste Elimination,Cell Movement
Physics,What type of energy is stored in a stretched rubber band?,Elastic Potential Energy,Gravitational Potential Energy,Kinetic Energy,Thermal Energy
Chemistry,How many elements are in the periodic table?,118,92,100,110
Astronomy,What is the name of the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Biology,What is the name of the long| coiled tube that makes up the majority of the human digestive system?,Small Intestine,Large Intestine,Stomach,Esophagus
Physics,What is the speed of light in a vacuum?,299|792|458 m/s,200|000|000 m/s,100|000|000 m/s,500|000|000 m/s
Chemistry,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Water vapor
Astronomy,What is the name of the first man to walk on the moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Alan Shepard
Biology,Which type of blood cell is responsible for carrying oxygen throughout the body?,Red Blood Cells,White Blood Cells,Platelets,Plasma
Physics,What is the equation for work?,W=Fd,W=Fv,W=mv^2,W=F/d
Chemistry,What element has the symbol Fe?,Iron,Silver,Gold,Copper
Astronomy,What is the name of the spacecraft that carried humans to the moon?,Apollo,Challenger,Columbia,Endeavor
Biology,What type of joint connects the upper arm bone to the shoulder blade?,Ball-and-Socket Joint,Hinge Joint,Pivot Joint,Gliding Joint
Physics,What is the force that opposes motion between two surfaces in contact?,Friction,Gravity,Momentum,Inertia
Chemistry,What is the formula for glucose?,C6H12O6,H2O,CO2,NaCl
Astronomy,What is the name of the second largest planet in our solar system?,Saturn,Jupiter,Uranus,Neptune
Biology,What hormone is responsible for regulating blood sugar levels in the human body?,Insulin,Serotonin,Testosterone,Estrogen
Physics,What is the unit of measurement for electric current?,Ampere,Volts,Watts,Ohms
Chemistry,What element has the symbol Na?,Sodium,Chlorine,Potassium,Magnesium
Astronomy,What is the name of the comet that orbits the sun every 76 years?,Halley's Comet,Hale-Bopp,Hyakutake,Lovejoy
Biology,Which of the following is NOT a type of muscle tissue?,Cartilage,Smooth,Cardiac,Skeletal
Physics,What is the equation for calculating potential energy?,PE=mgh,PE=mv,PE=F/d,PE=Fv
Chemistry,What is the formula for table salt?,NaCl,H2O,CO2,CH4
Astronomy,What is the name of the first satellite launched into space?,Sputnik,Explorer 1,Telstar,Vostok
Biology,What is the name of the flap of cartilage that covers the trachea when swallowing food?,Epiglottis,Esophagus,Larynx,Pharynx
Physics,What is the equation for calculating power?,P=W/t,P=F/v,P=mv^2,P=W/d
Chemistry,What element has the symbol Hg?,Mercury,Gold,Iron,Copper
Astronomy,What is the name of the largest moon in our solar system?,Ganymede,Titan,Callisto,Io
Biology,What is the name of the tube that carries sperm from the testes to the urethra?,Vas deferens,Ejaculatory duct,Epididymis,Seminal vesicles
Physics,What is the equation for calculating acceleration?,a=(Vf - Vi)/t,a=F/m,a=P/t,a=Wt
Chemistry,What is the chemical symbol for oxygen?,O2,O,N2,CO2
Astronomy,What is the name of the brightest star in the sky?,Sirius,Polaris,Vega,Betelgeuse
Biology,What is the name of the largest muscle in the human body?,Gluteus Maximus,Biceps,Quadriceps,Triceps
Physics,What is the equation for calculating density?,d=m/v,d=F/m,d=P/t,d=W/t
Chemistry,What element has the symbol Cu?,Copper,Silver,Gold,Iron
Astronomy,What is the name of the asteroid belt located between Mars and Jupiter?,The Main Belt,The Kuiper Belt,The Oort Cloud,The Scattered Disk
