Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the formula for force?,F=ma,F=mv,F=md,
Physics,What is the SI unit for force?,Newtons,Watts,Joules,
Physics,What is the formula for kinetic energy?,KE=1/2mv^2,KE=mv^2,KE=1/2mv,
Physics,What is the SI unit for energy?,Joules,Watts,Newtons,
Physics,What is the formula for work?,W=Fd,W=Fv,W=Ft,
Physics,What is the SI unit for work?,Joules,Watts,Newtons,
Physics,What is the formula for power?,P=W/t,P=W+d,P=W/v,
Physics,What is the SI unit for power?,Watts,Joules,Newtons,
Physics,What is the formula for potential energy?,PE=mgh,PE=mg,PE=gh,
Physics,What is the formula for velocity?,v=d/t,v=d/t^2,v=t/d,
Physics,What is the SI unit for velocity?,m/s,m^2/s,m/s^2,
Physics,What is the formula for acceleration?,a=(vf-vi)/t,a=vf/t,a=vi/t,
Physics,What is the SI unit for acceleration?,m/s^2,m^2/s,m/s,
Physics,What is the formula for frequency?,f=1/T,f=T,f=T/2,
Physics,What is the SI unit for frequency?,Hertz,Watts,Joules,
Physics,What is the formula for wavelength?,λ=c/f,λ=f/c,λ=cT,
Physics,What is the SI unit for wavelength?,meters,Hertz,Watts,
Physics,What is the formula for wave speed?,v=λf,v=f/λ,v=λ/T,
Physics,What is the SI unit for wave speed?,m/s,meters,Hertz,
Physics,What is the formula for electric potential energy?,U=qV,U=V/q,U=q/V,
Physics,What is the SI unit for electric potential energy?,Joules,Volts,Coulombs,
Physics,What is the formula for electric charge?,q=It,q=I/t,q=t/I,
Physics,What is the SI unit for electric charge?,Coulombs,Volts,Joules,
Physics,What is the formula for electric current?,I=q/t,I=q\tI=qt,,
Physics,What is the SI unit for electric current?,Amperes,Volts,Watts,
Physics,What is the formula for resistance?,R=V/I,R=I/V,R=VxI,
Physics,What is the SI unit for resistance?,Ohms,Amperes,Volts,
Physics,What is the formula for Ohm's law?,V=IR,V=I/R,V=I+R,
Physics,What is the formula for capacitance?,C=q/V,C=V/q,C=I/V,
Physics,What is the SI unit for capacitance?,Farads,Amperes,Volts,
Physics,What is the formula for magnetic force?,F=qvB,F=Bqv,F=q/Bv,
Physics,What is the SI unit for magnetic force?,Newtons,Tesla,Volts/meter,
Physics,What is the formula for electromagnetic waves?,E=cB,E=cB^2,E=c/B,
Physics,What is the SI unit for electromagnetic waves?,m/s,Hertz,Tesla,
Chemistry,What is the chemical symbol for oxygen?,O,H,N,
Chemistry,How many elements are in the periodic table?,118,25,60,
Chemistry,What is the atomic number for carbon?,6,7,8,
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,
Chemistry,What is the chemical symbol for copper?,Cu,Ag,Au,
Chemistry,What is the chemical formula for water?,H2O,HO,H2O2,
Chemistry,What is Avogadro's number?,6.02x10^23,6.02x10^22,6.02x10^24,
Chemistry,What is the formula for sodium chloride?,NaCl,NaOH,Na2SO4,
Chemistry,What is the formula for methane?,CH4,CO2,C2H6,
Chemistry,What is the formula for ammonia?,NH3,N2O,NO2,
Chemistry,What is the formula for hydrogen peroxide?,H2O2,HO,H2O,
Biology,What is the basic unit of life?,Cell,Atom,Molecule,
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,
Biology,What is the smallest bone in the human body?,Stapes,Femur,Humerus,
Biology,What is the largest gland in the human body?,Liver,Pancreas,Spleen,
Biology,What is the powerhouse of the cell?,Mitochondria,Ribosome,Lysosome,
Biology,What is the process by which plants make food?,Photosynthesis,Respiration,Digestion,
Biology,What is the process by which animals get rid of waste?,Excretion,Respiration,Digestion,
Biology,What is the name of the hormone that regulates blood sugar?,Insulin,Glucagon,Estrogen,
Biology,What is the smallest unit of classification in biology?,Species,Genus,Family,
Biology,What is the largest unit of classification in biology?,Kingdom,Phylum,Class,
