Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Ribosome,Lysosome,Nucleus
Physics,What is the SI unit for electric current?,Ampere,Volts,Watts,Ohms
Chemistry,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Astronomy,What causes the gravitational force on Earth?,Mass of the Earth,Rotation of the Earth,Distance from the Earth,Atmosphere of the Earth
Biology,What is the longest bone in the human body?,Femur,Tibia,Fibula,Humerus
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transformed,Energy is conserved when it is converted from one form to another,Energy can be created or destroyed but not transformed,Energy is not conserved
Chemistry,What is the pH of pure water?,7,1,14,0
Astronomy,What is a galaxy?,A system of millions or billions of stars held together by gravity,A single star with its planets,A meteorite in the solar system,A group of comets
Biology,What is the smallest unit of life?,Cell,Atom,Molecule,Organelle
Physics,What is the formula for acceleration?,a = (v_f - v_i) / t,a = F / m,a = d / t,a = P / V
Chemistry,What is the chemical symbol for gold?,Au,Ag,Pb,Cu
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Mars
Biology,What is the process by which plants produce oxygen and glucose from carbon dioxide and water?,Photosynthesis,Chemosynthesis,Respiration,Glycolysis
Physics,What is the unit for force?,Newton,Joule,Watt,Pascal
Chemistry,What is the process by which a gas changes to a liquid?,Condensation,Evaporation,Sublimation,Melting
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Whirlpool,Triangulum
Biology,What is the function of the pancreas in the human body?,Produces insulin,Digests proteins,Filters blood,Transports oxygen
Physics,What is the law of inertia?,An object at rest tends to stay at rest and an object in motion tends to stay in motion at a constant velocity,An object will accelerate in the direction of the force applied,An object will exert an equal but opposite force on another object,An object's velocity is proportional to its mass
Chemistry,What is the process by which a solid changes directly to a gas?,Sublimation,Evaporation,Melting,Condensation
Astronomy,What is a black hole?,A region of space where gravity is so strong that nothing can escape,A dense ball of gas that emits light,A pulsating star that emits radio waves,A supernova explosion
Biology,What is the function of the respiratory system?,To exchange gases,To filter blood,To pump blood,To digest food
Physics,What is the formula for work?,W = Fd,W = Fv,W = F/m,W = mgh
Chemistry,What is the chemical symbol for Carbon?,C,O,H,N
Astronomy,What is a comet?,A small icy object orbiting the sun,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Biology,What is the function of the liver in the human body?,Filters blood,Produces bile for digestion,Transports oxygen,Regulates body temperature
Physics,What is the formula for power?,P = W/t,P=Fv,P = E/Q, P = V/I
Chemistry,What is the process by which a liquid changes to a gas?,Evaporation,Condensation,Melting,Sublimation
Astronomy,What is a meteor?,A small| fast-moving celestial object that burns up upon entering the Earth's atmosphere,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Biology,What is the function of red blood cells in the human body?,Transport oxygen,Fight infection,Digest food,Remove waste
Physics,What is the formula for force?,F=ma,F=P/V,F = t/v,F = E/Q
Chemistry,What is the chemical symbol for sodium?,Na,K,Ca,Fe
Astronomy,What is a supernova?,The explosion of a star,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Biology,What is the function of white blood cells in the human body?,Fight infection,Transport oxygen,Digest food,Remove waste
Physics,What is the formula for pressure?,P = F/A,P = mgh,P = V/I,P = E/Q
Chemistry,What is the process by which a liquid changes to a solid?,Solidification,Freezing,Vaporization,Condensation
Astronomy,What is a planet?,A large celestial body that orbits a star and does not emit light of its own,A small celestial body that orbits a planet,A star that emits radio waves,A galaxy consisting of billions of stars
Biology,What is the function of the circulatory system in the human body?,To transport blood,To digest food,To filter blood,To regulate body temperature
Physics,What is the law of reflection?,The angle of incidence equals the angle of reflection,The angle of incidence is larger than the angle of reflection,The angle of incidence is smaller than the angle of reflection,The angle of incidence varies depending on the medium
Chemistry,What is the process by which a gas changes to a solid?,Deposition,Condensation,Sublimation,Melting
Astronomy,What is a nebula?,A cloud of gas and dust in space,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Biology,What is the function of the nervous system in the human body?,To transmit and receive signals,To digest food,To filter blood,To regulate body temperature
Physics,What is the formula for weight?,W = mg,W = F/m,W = Fd,W = Pt
Chemistry,What is the process by which a solid changes to a liquid?,Melting,Freezing,Solidification,Vaporization
Astronomy,What is an asteroid?,A small rocky object orbiting the sun,A planet with a tail of gas and dust,A star that emits radio waves,A galaxy consisting of billions of stars
Biology,What is the function of the skeletal system in the human body?,To provide support and protection,To filter blood,To transport oxygen,To regulate body temperature
