Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Pt
Physics,What is the unit for measuring force?,Newtons,Joules,Watts,Amps
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Cell Membrane,Chloroplasts
Geology,What is the largest layer of the Earth's interior?,Mantle,Crust,Core,Asthenosphere
Astronomy,What is the closest planet to the Sun?,Mercury,Venus,Mars,Jupiter
Chemistry,What is the chemical formula for water?,H2O,CO2,O2,C6H12O6
Physics,What is the speed of light?,299|792|458 meters per second,10 meters per second,1|000 meters per second,500|000 meters per second
Biology,Which of the following is not a type of blood cell?,Hormone,Red Blood Cell,White Blood Cell,Platelet
Geology,What type of rock is formed from the cooling of lava or magma?,Igneous,Sedimentary,Metamorphic,Basalt
Astronomy,What is the name of the largest moon in our solar system?,Ganymede,Titan,Europa,Callisto
Chemistry,What is the pH level of a neutral solution?,7,1,14,5
Physics,What is the equation for calculating work?,Force x distance,Distance x Time,Velocity x Time,Acceleration x Mass
Biology,What is the process by which green plants use sunlight to synthesize foods?,Photosynthesis,Respiration,Transpiration,Fermentation
Geology,What is a mineral composed of pure carbon?,Diamond,Quartz,Feldspar,Mica
Astronomy,What is the name of the gravitational constant?,G,H,K,J
Chemistry,What type of chemical bond involves the sharing of electrons?,Covalent,Ionic,Hydrogen,Van der Waals
Physics,What is the equation for calculating velocity?,Distance/Time,Mass x Acceleration,Force x Distance,Work/Time
Biology,What is the function of the ribosomes in a cell?,Protein synthesis,Energy production,Cell division,Waste removal
Geology,What is the largest mountain range on Earth?,The Andes,The Himalayas,The Rockies,The Alps
Astronomy,What is the name of the next nearest galaxy to our Milky Way?,Andromeda,Orion,Leo,Aries
Chemistry,What is the element with the symbol Na on the periodic table?,Sodium,Nitrogen,Neon,Nickel
Physics,What is the unit for measuring power?,Watt,Joule,Newton,Amp
Biology,What is the genetic material that carries the instructions for the development and function of all living organisms?,DNA,RNA,Protein,Water
Geology,What type of rock is formed from the accumulation and cementation of sediments?,Sedimentary,Igneous,Metamorphic,Granite
Astronomy,What is the name of the process that powers the Sun?,Nuclear Fusion,Nuclear Fission,Mass Defect,Black Hole
Chemistry,What is the chemical formula for table salt?,NaCl,KCl,MgCl2,CaCO3
Physics,What is the equation for calculating force?,mass x acceleration,velocity x time,work/time,distance/time
Biology,What is the function of the mitochondria in a cell?,Energy production,Protein synthesis,Cell division,Waste removal
Geology,What is the process by which one rock type changes into another rock type?,Metamorphism,Erosion,Deformation,Weathering
Astronomy,What is the name of the red supergiant star that is expected to go supernova at some point?,Betelgeuse,Antares,Canopus,Vega
Chemistry,What is the most common element in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon,Hydrogen
Physics,What is the unit for measuring acceleration?,m/s2,Meters per second,Newtons,Joules
Biology,What is the process by which cells break down glucose to release energy?,Cellular Respiration,Photosynthesis,Transcription,Translation
Geology,What is the layer of the Earth's atmosphere closest to the planet's surface?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Astronomy,What is the name of the largest volcano in the solar system| located on Mars?,Olympus Mons,Mauna Loa,Mount St. Helens,Pavlof Volcano
Chemistry,What is the element with the symbol O on the periodic table?,Oxygen,Osmium,Ozone,Oganesson
Physics,What is the equation for calculating momentum?,mass x velocity,force x time,work/time,distance/time
Biology,What is the process by which cells divide and produce two identical daughter cells?,Mitosis,Meiosis,Transcription,Translation
Geology,What is the name of the point within the Earth where an earthquake originates?,Focus,Epicenter,Fault,Fracture
Astronomy,What is the name of the planet known for its ring system?,Saturn,Jupiter,Uranus,Neptune
Chemistry,What is the element with the symbol C on the periodic table?,Carbon,Calcium,Chlorine,Copper
Physics,What is the unit for measuring electric current?,Ampere,Volt,Ohm,Watt
Biology,What is the function of the cell membrane in a cell?,Regulates what enters and exits the cell,Produces energy,Synthesizes proteins,Removes waste
Geology,What is the name of the process by which rocks are physically broken down into smaller pieces?,Weathering,Erosion,Deposition,Transport
Astronomy,What is the name of the closest moon to Jupiter?,Io,Europa,Callisto,Ganymede
Chemistry,What is the formula for methane?,CH4,C2H6,C3H8,C4H10
Physics,What is the equation for calculating electrical power?,Current x Voltage,Resistance x Current,Voltage^2/Resistance,Work/Time
Biology,What is the process by which a cell takes in substances from its external environment?,Endocytosis,Exocytosis,Mitosis,Meiosis
Geology,What is the name of the largest rock on Earth?,Uluru,El Capitan,Half Dome,Ayers Rock
Astronomy,What is the name of the red planet in our solar system?,Mars,Venus,Eris,Saturn
Chemistry,What is the element with the symbol Fe on the periodic table?,Iron,Gold,Silver,Platinum
