Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,Which of the following is not a type of blood cell?,Plasma,Erythrocytes,Leukocytes,Thrombocytes
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Physics,What is the formula for calculating velocity?,Velocity = Distance/Time,Velocity = Time/Distance,Velocity = Mass x Acceleration,Velocity = Energy x Power
Earth Science,What is the largest layer of Earth's atmosphere?,Exosphere,Thermosphere,Mesosphere,Stratosphere
Biology,What is the process of cells dividing called?,Mitosis,Meiosis,Replication,Fertilization
Chemistry,What is the chemical formula for water?,H2O,NaCl,CO2,O2
Physics,What is Newton's first law of motion?,An object at rest stays at rest| and an object in motion stays in motion with the same speed and in the same direction| unless acted upon by an unbalanced force.,Force equals mass times acceleration.,For every action| there is an equal and opposite reaction.,None of the above
Earth Science,What is the process of water changing from a liquid to a gas called?,Evaporation,Condensation,Precipitation,Transpiration
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Golgi Apparatus
Chemistry,What does the pH scale measure?,Acidity or alkalinity,Concentration of ions,Temperature,Pressure
Physics,What is the unit of measure for force?,Newtons,Joules,Amps,Watts
Earth Science,What is the layer of Earth's atmosphere that contains the ozone layer?,Stratosphere,Troposphere,Mesosphere,Thermosphere
Biology,What is the scientific name for humans?,Homo sapiens,Canis lupus,Felis catus,Panthera tigris
Chemistry,What is the name of the process by which plants convert sunlight into energy?,Photosynthesis,Cellular respiration,Fermentation,Digestion
Physics,What type of energy is stored in fossil fuels?,Chemical,Mechanical,Thermal,Electrical
Earth Science,What is the name of the layer of Earth's atmosphere where most weather occurs?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Biology,Which of the following is not a type of muscle tissue?,Tendons,Skeletal,Cardiac,Smooth
Chemistry,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Physics,What is the formula for calculating work?,Work = Force x Distance,Work = Mass x Velocity,Work = Energy x Power,Work = Pressure x Volume
Earth Science,What is the process by which rocks| minerals| and soil are moved from one place to another?,Erosion,Weathering,Deposition,Sedimentation
Biology,What is the process by which plants and animals get rid of waste?,Excretion,Digestion,Circulation,Respiration
Chemistry,What is the process of a liquid turning into a gas called?,Evaporation,Condensation,Solidification,Melting
Physics,What is the unit of measure for energy?,Joules,Newtons,Meters,Seconds
Earth Science,What is the name of the part of Earth's atmosphere that contains the ozone layer?,Stratosphere,Troposphere,Mesosphere,Thermosphere
Biology,What is the process by which plants make their own food called?,Photosynthesis,Respiration,Fermentation,Digestion
Chemistry,What is the smallest unit of an element that retains the properties of that element?,Atom,Molecule,Compound,Ion
Physics,What is Newton's second law of motion?,Force equals mass times acceleration.,An object at rest stays at rest| and an object in motion stays in motion with the same speed and in the same direction| unless acted upon by an unbalanced force.,For every action| there is an equal and opposite reaction.,None of the above
Earth Science,What is the name of the process by which water changes from a gas to a liquid?,Condensation,Evaporation,Precipitation,Transpiration
Biology,What is the name for the outermost layer of skin?,Epidermis,Dermis,Hypodermis,Subcutaneous layer
Chemistry,What is the name for the positively charged particle in the nucleus of an atom?,Proton,Neutron,Electron,Ion
Physics,What is the formula for calculating acceleration?,Acceleration = (Final Velocity - Initial Velocity) / Time,Acceleration = Force / Mass,Acceleration = Work / Time,Acceleration = Power / Time
Earth Science,What is the name of the process by which rocks and minerals are broken down?,Weathering,Erosion,Transportation,Deposition
Biology,What is the largest organ in the human body?,Skin,Liver,Brain,Lungs
Chemistry,What is the name for the negatively charged particle in the nucleus of an atom?,Electron,Proton,Neutron,Ion
Physics,What is the name of the law that says for every action| there is an equal and opposite reaction?,Newton's third law of motion,Newton's first law of motion,Newton's second law of motion,None of the above
Earth Science,What is the name for the process by which water falls from clouds to Earth's surface?,Precipitation,Evaporation,Condensation,Transpiration
Biology,What is the name for the specialized cells that make up nervous tissue?,Neurons,Epithelial cells,Muscle cells,Blood cells
Chemistry,What is the name for a substance that speeds up a chemical reaction without being consumed by it?,Catalyst,Product,Reactant,Enzyme
Physics,What is the formula for calculating power?,Power = Work / Time,Power = Force x Distance,Power = Mass x Acceleration,Power = Current x Voltage
Earth Science,What is the name for the process by which rocks and minerals are transported from one place to another?,Transportation,Erosion,Deposition,Sedimentation
Biology,What organ system is responsible for the production of hormones?,Endocrine system,Nervous system,Circulatory system,Respiratory system
Chemistry,What is the name for the bond formed between two atoms sharing electrons?,Covalent bond,Ionic bond,Hydrogen bond,Polar bond
Physics,What is the unit of measure for electric current?,Amps,Volts,Ohms,Watts
Earth Science,What is the name for the process by which sediment is laid down in a new location?,Deposition,Erosion,Transportation,Sedimentation
Biology,What is the name for the organ system that is responsible for gas exchange?,Respiratory system,Digestive system,Circulatory system,Urinary system
Chemistry,What is the name for a solution with a pH of 7?,Neutral,Acidic,Alkaline,Basic
Physics,What is the name for the unit of measure for electrical resistance?,Ohms,Amps,Volts,Watts
Earth Science,What is the name for the layer of Earth's atmosphere that contains the Southern and Northern lights?,Ionosphere,Thermosphere,Mesosphere,Exosphere
