Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Golgi apparatus,Ribosomes,Endoplasmic reticulum
Physics,What is the formula used to calculate force?,F=ma,E=mc²,P=mv,W=Fd
Chemistry,What is the atomic number of carbon?,6,7,8,5
Biology,What kind of cells have a nucleus?,Eukaryotic cells,Prokaryotic cells,Plant cells,Animal cells
Physics,What is the SI unit for measuring temperature?,Kelvin,Celsius,Fahrenheit,Rankine
Chemistry,Which element is represented by the symbol Mg on the periodic table?,Magnesium,Mercury,Manganese,Molybdenum
Biology,What is the function of the ribosomes?,Protein synthesis,Lipid synthesis,Carbohydrate synthesis,Nucleic acid synthesis
Physics,What is the speed of light in a vacuum?,299|792|458 m/s,300|000|000 m/s,299|999|999 m/s,299|900|000 m/s
Chemistry,What is the symbol for gold on the periodic table?,Au,Ag,Al,Ac
Biology,What are organisms that produce their own food known as?,Autotrophs,Heterotrophs,Consumers,Decomposers
Physics,What is the acceleration due to gravity on Earth?,9.81 m/s²,10 m/s²,8.81 m/s²,9 m/s²
Chemistry,How many electrons are in the outermost shell of an atom of chlorine?,7,8,6,9
Biology,What is the function of the cell membrane?,Regulating the transport of materials in and out of the cell,Storing genetic information,Generating ATP,Synthesizing proteins
Physics,What is the formula for kinetic energy?,KE=½mv²,KE=mv²,KE=½mv,KE=m/v²
Chemistry,What is the symbol for oxygen on the periodic table?,O,N,C,H
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Brain
Physics,What is the term for the amount of matter in an object?,Mass,Weight,Volume,Density
Chemistry,What is the formula for water?,H₂O,CO₂,HCl,NaCl
Biology,What is the function of the Golgi apparatus?,Sorting and modifying proteins,Producing ATP,Storing genetic information,Synthesizing lipids
Physics,What is the distance traveled per unit time called?,Speed,Velocity,Acceleration,Force
Chemistry,What is the symbol for nitrogen on the periodic table?,N,O,C,H
Biology,What is the process of converting light energy into chemical energy called?,Photosynthesis,Respiration,Digestion,Fermentation
Physics,What is the term for the rate at which an object changes its velocity?,Acceleration,Velocity,Momentum,Force
Chemistry,What is the formula for carbon dioxide?,CO₂,CO,CH₄,H₂O
Biology,What is the process of breaking down glucose to produce energy called?,Cellular respiration,Photosynthesis,Fermentation,Digestion
Physics,What is the term for the resistance to motion of an object in a fluid?,Drag,Lift,Thrust,Gravity
Chemistry,What is the symbol for iron on the periodic table?,Fe,Ni,Cu,Zn
Biology,What is the function of the mitochondria?,Producing ATP,Synthesizing lipids,Storing genetic information,Regulating the transport of materials in and out of the cell
Physics,What is the term for the force of attraction between two objects?,Gravity,Magnetic force,Electrostatic force,Nuclear force
Chemistry,What is the formula for methane?,CH₄,C₂H₄,CH₃COOH,H₂O
Biology,What is the process by which gametes are formed called?,Meiosis,Mitosis,Replication,Translation
Physics,What is the term for the energy used to move an object against a force?,Work,Power,Force,Torque
Chemistry,What is the symbol for copper on the periodic table?,Cu,Au,Ag,Fe
Biology,What is the process of a cell dividing into two daughter cells called?,Mitosis,Meiosis,Replication,Translation
Physics,What is the formula for gravitational force?,Fg=G(m₁m₂/r²),Fg=G(m₁+m₂/r²),Fg=G(m₁m₂r²),Fg=G(m₁-m₂/r²)
Chemistry,What is the formula for ammonia?,NH₃,NO₂,HNO₃,NaOH
Biology,What is the process of making two identical copies of a DNA molecule called?,Replication,Translation,Transcription,Recombination
Physics,What is the term for the amount of energy needed to remove an electron from an atom?,Ionization energy,Electro negativity,Atomic radius,Electron affinity
Chemistry,What is the symbol for helium on the periodic table?,He,H,Li,Be
Biology,What is the process of turning RNA into a protein called?,Translation,Transcription,Replication,Recombination
Physics,What is the term for the force exerted by a magnetic field on a current-carrying wire?,Lorentz force,Coulomb force,Gravitational force,Electromagnetic force
Chemistry,What is the formula for sulfuric acid?,H₂SO₄,HNO₃,HCl,H₃PO₄
Biology,What is the process of copying a segment of DNA onto RNA called?,Transcription,Translation,Replication,Recombination
Physics,What is the term for the resistance of an object to changes in its rotational motion?,Moment of inertia,Angular momentum,Angular velocity,Angular acceleration
Chemistry,What is the formula for hydrochloric acid?,HCl,H₂SO₄,HNO₃,H₃PO₄
Biology,What is the process of exchanging genetic information between chromosomes called?,Recombination,Replication,Translation,Transcription
Physics,What is the term for the energy per unit charge in a circuit?,Voltage,Current,Resistor,Capacitance
Chemistry,What is the formula for acetic acid?,CH₃COOH,HNO₃,HCl,NaOH
Biology,What is the process of synthesizing RNA using DNA as a template called?,Transcription,Translation,Replication,Recombination
Physics,What is the term for the ratio of the output force to the input force in a machine?,Mechanical advantage,Velocity ratio,Efficiency,Power ratio
